"技能ID","名称","卡面文案","类别","来源","AP","魔力","生命","冷却","次数","目标与范围","效果链","结算规则","启用","版本","主构筑","职责","主词条","附带词条","伤害类别"
"academy_sealed_core_mechanic","维护链终考","","首领机制","单位或系统","全部剩余","0","0","0","无限","全场；自身与维护单位","按公开意图运行护盾—破势维护链","具体阶段动作由首领遭遇配置；敌方全回合动作","是","1","","","","",""
"ARTIFACT-F-T01","炎脉封装筒","十字范围内的敌人和友方各受到16点火焰伤害。轻掩体会被摧毁；空格生成持续3回合的火场。重掩体会挡住投放。","法宝","法宝:F-T01","0","0","0","0","2","4 格内可见空格；十字范围；重掩体截断投放线","范围内单位各受到 16 点火焰伤害，友军同样受影响；轻掩体立即摧毁，重掩体不受直接摧毁；结算后范围内空格生成持续 3 回合的燃烧地格","会误伤并封住己方路线；分散、离开十字、重掩体与清除火场可反制","是","1","","","","",""
"ARTIFACT-G-T01","折盾匣","目标获得20点护盾。","法宝","法宝:G-T01","0","0","0","0","3","3 格内可见友军或自身","目标获得 20 护盾","不治疗生命、不清状态；集中火力、破盾和延迟交战可消耗收益","是","1","","","","",""
"ARTIFACT-G-T02","移相线轴","移动到目标空格。你的行动条减少4点，因此下次行动会晚一些。被束缚时无法使用。","法宝","法宝:G-T02","0","0","0","0","2","自身；选择 3 格内可见、未占用、可站立空格；不能穿过重掩体闭合边界；束缚时非法","使用者直接移至目标格","施放后下一次行动延后 4 刻度；束缚、封死落点与重掩体边界可反制","是","1","","","","",""
"ARTIFACT-G-T03","缚位框","使目标束缚1回合：目标无法移动，但仍可攻击、施术和使用物品。","法宝","法宝:G-T03","0","0","0","0","2","3 格内可见敌方单位","施加束缚 1 个目标回合","目标仍能攻击、施术和使用物品；清除、远程攻击及原地任务互动可反制","是","1","","","","",""
"ARTIFACT-G-T04","显迹测镜","清空目标的护盾，并使其在下次自身回合结束前无法获得护盾。不会造成伤害，也不会阻止目标行动。","法宝","法宝:G-T04","0","0","0","0","4","4 格内可见敌人","清除目标当前护盾，并施加破势至其下一次自身回合结束；期间不能获得护盾","不造成伤害，也不能阻止目标移动或攻击；被迫势的守点单位在窗口内无法补盾","是","1","","","","",""
"ARTIFACT-G-T05","以太虹吸泵","仅在你的个人魔力未满且生命值高于8时可用。恢复4点个人魔力，然后失去8点生命；这次生命损失无视护盾。","法宝","法宝:G-T05","0","0","0","0","3","自身；个人魔力未满且当前生命大于 8","恢复 4 个人魔力，然后失去 8 生命；生命损失绕过护盾","可能把自己置于斩杀线；治疗、直接压血与迫使其满魔可改变取舍","是","1","","","","",""
"ARTIFACT-G-T06","复元编架","仅能以生命未满且至少有12点护盾的友军或自己为目标。恢复20点生命，然后失去12点护盾。","法宝","法宝:G-T06","0","0","0","0","2","3 格内可见友军或自身；目标生命未满且至少有 12 护盾","目标恢复 20 生命，再失去 12 护盾；两步均不超过/低于各自边界","不能无盾救治，且会拆除当下防线；集中火力和先破盾可令其失去合法目标","是","1","","","","",""
"ARTIFACT-G-T07","掩体压模","在目标格生成耐久24的重掩体。它会阻挡双方移动和攻击线。","法宝","法宝:G-T07","0","0","0","0","2","2 格内可见、未占用、有承重表面的空格；任务格/现有物件格非法","在目标格建立 24 耐久重掩体，不可进入并阻挡双方移动与攻击线","占格且双方都能利用或摧毁；穿透、绕侧、物件伤害可反制","是","1","","","","",""
"ARTIFACT-G-T08","解构楔","对相邻物件造成24点耐久伤害，不伤害敌人或友方。","法宝","法宝:G-T08","0","0","0","0","4","相邻轻/重掩体或装置","目标物件失去 24 耐久；不波及单位","必须贴身，重掩体与核心装置通常需多次处理；占位保护、推拉与近战威胁可反制","是","1","","","","",""
"ARTIFACT-G-T09","导位罗盘","将目标拉向你，最多移动2格。遇到边界、阻挡或占用格时会停止。","法宝","法宝:G-T09","0","0","0","0","3","4 格内可见友军或敌人；必须能沿主轴建立通向使用者的逐格路径","目标向使用者拉近至多 2 格，遇边界、阻挡或占用格立即停止","不造成伤害；定锚、障碍、错开主轴和占格可反制","是","1","","","","",""
"ARTIFACT-G-T10","截击铃","标记一格，持续到你的下次行动。首个进入该格的敌人受到12点伤害，并被推开1格；之后标记消失。推位受阻时仍会造成伤害。","法宝","法宝:G-T10","0","0","0","0","2","标记 3 格内可见空格，持续至使用者下一次行动；已有同类标记时非法","首个敌人进入标记格时受到 12 点伤害并被沿进入方向推 1 格，随后消耗反应","绕行、远攻、先占格或让不重要单位触发可反制；推位遇阻时只结算伤害","是","1","","","","",""
"ARTIFACT-G-T11","险地冷凝器","目标范围内至少要有一格临时火场或烟尘。移除范围内所有临时火场和烟尘。","法宝","法宝:G-T11","0","0","0","0","4","3 格内目标格及正交邻格；范围至少含一格临时燃烧地格或烟尘","移除范围内的临时燃烧地格与烟尘；不改变水面、冰面、强光区、暗区、导电路径、永久/任务地形或单位状态","会同时清掉己方利用的火场或烟尘；再次铺设、利用其他地形标签和迫使其离场可反制","是","1","","","","",""
"ARTIFACT-G-T12","行程簿","只能在本次行动仍可继续执行命令时使用。立即获得2点行动点；你的行动条减少8点，因此下次行动会晚一些。","法宝","法宝:G-T12","0","0","0","0","2","自身；本行动尚能继续执行命令","立即获得 2 AP；下一次行动延后 8 刻度","强延时公开；敌人可利用长空窗反攻，控制或逼迫其先防守可降低收益","是","1","","","","",""
"ARTIFACT-G-T13","定锚支架","装备后，自动抵消下一次推或拉；抵消时消耗1次使用机会。不会阻止伤害、状态或主动移动。","法宝","法宝:G-T13","0","0","0","0","4","装备于快捷栏；使用者即将受到一次推或拉","自动抵消这次强制位移并消耗 1 次；无触发时不耗次","反应式自动触发；不防主动移动、位置交换、移相位移、伤害或状态；多次推拉可逐次耗尽","是","1","","","","",""
"ARTIFACT-G-T14","棱返调节器","效果持续到你的下次行动。期间首次受到远程伤害前，获得8点护盾，并对攻击者造成8点伤害。近战和环境伤害不会触发此效果。","法宝","法宝:G-T14","0","0","0","0","2","自身架势，持续至下一次行动","首次受到有来源且在视线内的远程伤害前获得 8 临时护盾，本次伤害按护盾优先公式结算；随后对攻击者返还 8 伤害并消耗反应","不是固定减伤；未吸收完的护盾遵守普通护盾清除时点。近战、遮断视线、无来源环境伤害或等待架势结束可反制","是","1","","","","",""
"ARTIFACT-G-T15","诱导灯","部署耐久12的诱导灯。5格内能走到它身边的普通敌人会优先靠近并攻击它。诱导灯占据一个格子，可以被摧毁。","法宝","法宝:G-T15","0","0","0","0","2","3 格内可见、未占用空格","部署 12 耐久、占格的诱导灯；5 格内存在可达路线的普通敌人会把公开意图改为接近并破坏诱导灯；持续到使用者下一次行动开始","占格、可被任意方摧毁且不控制魔法生物；超出 5 格、无路可达或执行专属任务的敌人可不响应；范围伤害可反制","是","1","","","","",""
