"状态ID","名称","类别","目标","施加效果","持续与计时","周期效果","属性修正","动作限制","叠加与移除","启用","版本"
"status_burning","燃烧","负面","单位","记录来源、强度与持续量","来源指定；目标自身回合结束扣减","目标自身回合结束：按实例强度造成火焰伤害","无","无","重复施加刷新持续量且强度不叠加；进入浅水移除","是","1"
"status_slow","迟缓","负面","单位","生效期间可移动步数为3格","来源指定；目标自身回合结束扣减","无","移动步数固定为3格","无","重复施加刷新持续量；到期或明确净化移除","是","1"
"status_agility","敏捷","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","有效步数+数值，最低为0","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_bound","束缚","控制","单位","无","来源指定；目标自身回合开始扣减","无","无","禁止主动移动；特定强制位移是否受限由来源声明","重复施加刷新持续量；到期或明确净化移除","是","1"
"status_break_stance","破势","负面","单位","立即清空当前护盾","直到目标下一次自身回合结束","无","无","持续期间不能获得护盾","重复施加刷新结束窗口；到期移除","是","1"
"status_fireground_boost","火势","增益","单位","记录来源与强度","来源指定；目标自身回合开始扣减","无","己方来源火场伤害 +强度","无","重复施加刷新持续量且强度不叠加；到期移除","是","1"
"status_fireground_vulnerable","助燃","负面","单位","记录来源与强度","来源指定；目标自身回合开始扣减","无","承受火场伤害 +强度","无","重复施加刷新持续量且强度不叠加；到期移除","是","1"
"status_strength","力量","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","所有物理伤害+数值","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_spell_power","法强","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","所有奥术、火焰、以太伤害+数值","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_shield_efficiency","护盾效能","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","自身每次获得护盾+数值","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_shield_grant","护盾授予","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","自身每次给予他人护盾+数值","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_control","控制","增益／减益","单位","记录正负回合","来源指定；本场或来源指定","无","施加的束缚、敏捷、标记持续时间+数值回合","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_range","射程","增益／减益","单位","记录正负格数","来源指定；本场或来源指定","无","攻击与术式射程+数值格；范围形状不变","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_speed","速度","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","有效速度+数值","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_damage_taken","承伤","增益／减益","单位","记录正负数值","来源指定；本场或来源指定","无","受到的所有伤害+数值，最低为0","无","同名数值相加；到期、净化或战斗结束移除","是","2"
"status_next_weapon_damage","武器蓄力","临时增益／减益","单位","记录正负数值","至下次武器命中或回合结束","无","下次武器命中伤害+数值","无","命中或回合结束移除","是","2"
"status_next_weapon_fire","火焰附着","临时增益","单位","记录伤害数值","至下次武器命中或回合结束","无","下次武器命中额外造成数值点火焰伤害","无","命中或回合结束移除","是","2"
"status_move_bonus","行进强化","临时增益／减益","单位","记录正负格数","至下次主动移动或回合结束","无","下次主动移动最大步数+数值格","无","移动或回合结束移除","是","2"
"status_spell_cost","术式调律","临时增益／减益","单位","记录正负魔力","至下次术式支付或回合结束","无","下次术式魔力成本+数值，最低0","无","支付或回合结束移除","是","2"
"status_pending_mana","待回魔","延迟资源","单位","记录正负魔力","下一次自身回合开始","无","恢复或失去数值点个人魔力","无","结算后移除","是","2"
"status_pending_ap","待行动点","延迟资源","单位","记录正负行动点","下一次自身回合开始","无","获得或失去数值点行动点","无","结算后移除","是","2"
"status_pending_shield","待护盾","延迟资源","单位","记录正负护盾","下一次自身回合开始","无","获得或失去数值点护盾","无","结算后移除","是","2"
"status_cooldown_delta","冷却调节","临时增益／减益","单位","记录正负自身回合","施加时","无","指定技能剩余冷却+数值自身回合，最低0","无","结算后移除","是","2"
"status_marked","标记","负面","单位","无","来源指定","无","藏身无效；可被标记效果读取","无","到期或净化移除","是","2"
"status_prepared","架设","增益","单位","无","来源指定","无","允许使用要求架设的攻击","无","攻击后、移动后或明确解除时移除","是","2"
"status_invulnerable","霸体","增益","单位","无","来源指定","无","不能被打倒、推离或阻挡","无","到期或阶段结束移除","是","2"
