"字段名","字段说明","内容要求","格式或示例","是否必填"
"技能ID","技能定义的稳定主键","全表唯一","BASE-FIRE-MELEE","是"
"名称","按钮、卡片与日志显示名","使用正式短名称","灼触","是"
"类别","命令来源分类","基础术式／出身术式／个人术式-*／装备动作／武器动作／敌人能力／精英能力／首领机制／法宝","基础术式","是"
"来源","提供该技能的内容类型与ID","写类型:内容ID；系统共用可写单位或系统","装备:ACA-EQ-MH01","是"
"AP","行动点成本","非负整数；敌方全回合动作写全部剩余","1","是"
"魔力","个人魔力成本","非负整数","2","是"
"生命","作为费用主动支付的生命","非负整数；效果中的反噬不写在此列","0","是"
"冷却","成功使用后的冷却","0或N自身回合","2自身回合","是"
"次数","每战可用次数","正整数或无限","无限","是"
"目标与范围","目标资格、距离、形状、攻击线和路径合法性","用；连接必要条件，不能只写裸射程","可见敌单体；菱形4格；要求攻击线","是"
"效果链","按顺序执行的确定性结果","多步用；分隔，不把费用重复写入","造成8点火焰伤害；施加燃烧","是"
"结算规则","合包、友伤、拦截、失败和特殊限制","没有额外规则写无","中心与邻格分别结算；可伤友军","是"
"启用","是否可被引用和提交","是／否；冲突或待重写内容写否","是","是"
"版本","规则版本","从1开始的整数","1","是"
