"优先级","批次","资产域","范围或ID","数量","规格","现有状态","正式生产动作","验收出口"
"P0","A01 教程主路径闭环","主角单位","victor／hero","1套","32 PPU；侧视；32×64基准；待机／移动／攻击／受击／倒地","已有静态正式单位与立绘；历史动画原料未完成现行合同闭环","保留正式静态母版；按动作分别建立现行manifest并做运行时接触复核","四场固定教程战斗中动作、足底、遮挡和点击归属一致"
"P0","A01 教程主路径闭环","教程普通敌人","tether_hound／pyromancer／sigil_mauler／raider","4套","32 PPU侧视；自适应32倍数画布","已有同名正式静态单位","复核与当前数据ID、意图和占格映射；缺动作时按角色逐项补齐","FIRST-B1／B2／B3不使用文字或通用几何体代替单位"
"P0","A01 教程主路径闭环","教程精英敌人","breach_ram","1套","32 PPU侧视精英构装体；正面楔形承压头、侧面稳压环、背部泄压阀","旧候选已达三轮上限且未入正式目录","保留为阻塞项，不重复消耗生成轮次；先使用明确占位并等待独立重启决定","FIRST-X能区分待机、蓄压、锁线、撞击、浅水冷却和干地卸压"
"P0","A01 教程主路径闭环","教程战场地表","rain_lantern_court／greenhouse_collection／rain_prism_court／three_material_pressure","4套","6×5／7×6／8×5／8×6布局；32×32地面；32×40方向外沿；32×8前立面；统一32 PPU","已有正式学院地面、宏块、结构和覆盖素材；逐关组合接触未完成","不重做已有模块；为四关建立资产映射表与1×／6×实际应用图，缺什么再补什么","四关正式布局无占位底色、错误透视、重复网格或非整数缩放"
"P0","A01 教程主路径闭环","教程场地物件","浅水／灯藤／普通晶簇／精英稳压晶簇／轻掩体／重掩体／器材匣或宝箱","7类","地表32×32；透明物件32 PPU；破坏物至少完整／受损／移除状态","已有部分正式地表、晶簇、掩体和宝箱；精英稳压晶簇身份与全套状态需复核","先做现有映射审计；仅补缺失状态和精英专属剪影","四关机制变化在不读文字时也能识别"
"P2","A01 教程主路径闭环","教程术式与被动图标","首轮固定基础配置＋三组奖励＋精英被动","按教程流程解析","固定32×32；功能先于元素；单一主符号；无文字","FormalSkillIcons32为空；BASE-FIRE-MELEE三轮未通过","战斗地图和敌人主线完成后再恢复图标批次","奖励卡、术式栏和悬停说明使用同一正式图标且1×可读"
"P0","A01 教程主路径闭环","教程装备／法宝／材料图标","学院装备33＋教程法宝与强化材料子集","按权威数据表","固定32×32；背包占格图独立","33件学院装备图标与占格图、20件法宝图标已在正式目录；材料覆盖待核对","冻结已有GUID；只补教程实际引用但未映射的材料与法宝","三次奖励、工坊、背包和商店不回退通用图标"
"P0","A01 教程主路径闭环","教程战斗VFX","火焰命中／投射／护盾／束缚／破势／推位／晶簇爆裂／水灭火／灯藤破坏／冲压","10族","32×32单帧基线；4–10独立帧；最多12色","FormalVfx32为空；存在旧QA原料但未形成现行正式资产","按真实结算事件分族生产，先做火焰近战接触与晶簇爆裂","关闭动画不改结果；命中时刻与结算快照一致"
"P0","A02 启动与地图入口","维克多立绘与头像","victor_portrait／角色选择全身图／地图头像","3用途","立绘与UI头像职责分离；当前只开放维克多","已有1张正式头像；全身角色选择用途待复核","复用身份母版，补缺失裁切或独立原料，不用战斗Sprite放大","角色选择、地图抬头和档案页身份稳定"
"P2","A02 启动与地图入口","主界面与流程背景","startup／landing／map／briefing／inventory／settlement／archive／settings","8类","1920×1080参考；像素UI；内容区与交互区分层","正式背景目录已有10张","战斗地图和敌人主线完成后再做真实入口接触验收","首次设置到战斗摘要全流程无临时渐变或测试底图"
