"字段名","字段说明","内容要求","格式或示例","是否必填"
"奖励包ID","奖励包定义的稳定主键","全表唯一","REWARD-NORMAL-WEAK","是"
"来源","玩家界面显示的奖励来源类别","普通战／精英战／Boss战／容器／临场委托","弱普通战","是"
"适用范围","哪些节点或模式可以引用该奖励包","教程固定奖励必须明确排除常规随机包","随机常规学院地图","是"
"固定金币","整包确认后固定获得的金币数量","非负整数；没有写0","3","是"
"固定学院贡献","整包确认后固定获得的学院贡献数量","非负整数；没有写0","1","是"
"构筑选择","候选槽、候选类别与选择次数","写清几选几以及每个类别数量；没有写无","三选一：术式×1；装备×1；机动候选×1","是"
"附加回收","不占构筑选择的固定或可选所得","写清完整取得、固定获得或几选几；没有写无","支援二选一","是"
"稀有度与保底","稀有度概率、最低档次和池空回退","不得用高概率、大概率等模糊词；没有写无","术式位35%升为稀有","是"
"玩家操作","领取、拆解、揭示、放弃与销毁规则","必须与F40／F41或现场搜刮流程一致","支付1行动点搜索后揭示","是"
"启用","是否允许节点引用","是／否","是","是"
"版本","奖励生成与存档共同使用的规则版本","从1开始的整数","1","是"
