"状态ID","状态名称","类别","目标","数值格式","直接效果","结算时点","移除条件","来源示例","口径"
"status_burning","燃烧","负面","单位","强度N","自身回合结束受到N点火焰伤害。","目标自身回合结束","持续时间结束或进入浅水","火矢、火场","现有"
"status_slow","迟缓","负面","单位","无","基础移动步数改为3格。","持续期间","持续时间结束或净化","铭盾冲撞","现有；再叠加敏捷"
"status_bound","束缚","控制","单位","无","不能主动移动。","持续期间","持续时间结束或净化","石索、撕咬","现有"
"status_break_stance","破势","负面","单位","无","护盾清零；不能获得护盾。","施加时与持续期间","目标下一次自身回合结束","贴压、旧脉冲","现有"
"status_fireground_boost","火势","增益","单位","N","己方火场伤害+N。","火场伤害结算时","持续时间结束","火场构筑","现有"
"status_fireground_vulnerable","助燃","负面","单位","N","承受火场伤害+N。","火场伤害结算时","持续时间结束","火场构筑","现有"
"status_strength","力量","增益／减益","单位","±N","所有物理伤害+N。","物理伤害结算时","持续时间结束或战斗结束","敌人成长、未来术式","草案"
"status_spell_power","法强","增益／减益","单位","±N","所有奥术、火焰、以太伤害+N。","元素伤害结算时","持续时间结束或战斗结束","敌人成长、未来术式","草案"
"status_agility","敏捷","增益／减益","单位","±N","移动最大步数+N。","移动预览与结算时","持续时间结束或战斗结束","敌人成长、装备","草案"
"status_tenacity","韧性","增益／减益","单位","±N","每次获得或给予护盾时，护盾量+N。","护盾结算时","持续时间结束或战斗结束","敌人成长、未来术式","草案"
"status_control","控制","增益／减益","单位","±N回合","施加的束缚、迟缓、标记持续时间+N回合。","施加控制状态时","持续时间结束或战斗结束","拴索助教成长","草案"
"status_range","射程","增益／减益","单位","±N格","所有标明射程的攻击与术式射程+N格；范围形状不变。","目标合法性检查时","持续时间结束或战斗结束","远投定距杖、未来术式","草案"
"status_speed","速度","增益／减益","单位","±N","有效速度+N。","行动条推进与排序时","持续时间结束或战斗结束","未来术式","草案"
"status_damage_taken","承伤","增益／减益","单位","±N","受到的所有伤害+N；N为负时减少伤害，最低0。","伤害结算时","持续时间结束或战斗结束","未来术式","草案"
"status_next_weapon_damage","武器蓄力","临时增益／减益","单位","±N","下一次武器命中伤害+N。","下一次武器命中时","武器命中后；回合结束时也移除","炉压蓄势","草案"
"status_next_weapon_fire","火焰附着","临时增益","单位","N","下一次武器命中额外造成N点火焰伤害。","下一次武器命中时","武器命中后；回合结束时也移除","动势点火、火线协同","草案"
"status_move_bonus","行进强化","临时增益／减益","单位","±N格","本回合下一次主动移动最大步数+N格。","下一次主动移动时","移动后或回合结束","借障导流、轻装传令衣","草案"
"status_spell_cost","术式调律","临时增益／减益","单位","±N魔力","本回合下一次术式魔力成本+N；成本最低0。","下一次术式支付时","支付后或回合结束","接触耦合环、导流副环","草案"
"status_pending_mana","待回魔","延迟资源","单位","±N魔力","下一次自身回合开始时恢复或失去N点个人魔力。","下一次自身回合开始","结算后","未来术式／敌人意图","草案"
"status_pending_ap","待行动点","延迟资源","单位","±NAP","下一次自身回合开始时获得或失去N点行动点。","下一次自身回合开始","结算后","未来术式／敌人意图","草案"
"status_pending_shield","待护盾","延迟资源","单位","±N护盾","下一次自身回合开始时获得或失去N点护盾。","下一次自身回合开始","结算后","未来术式／敌人意图","草案"
"status_pending_gauge","待行动条","延迟资源","单位","±N行动条","下一次自身回合结束后，行动条增加或减少N点。","下一次自身回合结束","结算后","移相线轴、行程簿","草案"
"status_cooldown_delta","冷却调节","临时增益／减益","单位","±N回合","指定技能的剩余冷却减少或增加N个自身回合，最低0。","状态施加时","结算后","塔之守卫并链、未来术式","草案"
"status_marked","标记","负面","单位","无","藏身无效；可被标记相关效果读取。","持续期间","持续时间结束或净化","老寻环鸣","草案"
"status_prepared","架设","增益","单位","无","允许使用标明“需要架设”的攻击；未架设时该攻击不可用。","持续期间","攻击后、移动后或被明确解除","背弩生架弩","草案"
"status_invulnerable","霸体","增益","单位","无","不能被打倒、推离或阻挡；不免疫伤害，除非效果另行声明。","持续期间","阶段结束","塔之守卫前3回合","草案"
