"字段名","字段说明","内容要求","格式或示例","是否必填"
"状态ID","状态定义的稳定主键","全表唯一","status_burning","是"
"名称","状态栏显示名","使用正式短名称","燃烧","是"
"类别","规则性质","正面／负面／中性／控制","负面","是"
"目标","可施加对象","单位或更窄的受控资格","单位","是"
"施加效果","状态加入当下执行的有序结果","没有写无","立即清空当前护盾","是"
"持续与计时","持续类型、计时者和扣减或结束窗口","必须明确固定回合、直到事件或永久","直到目标下一次自身回合结束","是"
"周期效果","生效窗口与有序结果","没有写无","目标自身回合结束：造成4点火焰伤害","是"
"属性修正","状态持续期间的属性变化","没有写无","步数固定为3","是"
"动作限制","状态阻止的命令","没有写无","禁止主动移动","是"
"叠加与移除","重复施加及移除规则","必须同时写刷新、叠加或替换与移除条件","刷新持续量；进入浅水移除","是"
"启用","是否允许施加","是／否","是","是"
"版本","规则版本","从1开始的整数","1","是"
