"技能ID","名称","类别","AP","魔力","生命","冷却","次数","目标与范围","效果链","结算规则"
"ARTIFACT-F-T01","炎脉封装筒","法宝","0","0","0","0","2","4 格内可见空格；十字范围；重掩体截断投放线","范围内单位各受到 16 点火焰伤害，友军同样受影响；轻掩体立即摧毁，重掩体不受直接摧毁；结算后范围内空格生成每次造成 8 点伤害、持续 3 回合的燃烧地格","会误伤并封住己方路线；分散、离开十字、重掩体与清除火场可反制"
"ARTIFACT-G-T01","折盾匣","法宝","0","0","0","0","3","3 格内可见友军或自身","目标获得 20 护盾","不治疗生命、不清状态；集中火力、破盾和延迟交战可消耗收益"
"ARTIFACT-G-T02","移相线轴","法宝","0","0","0","0","2","自身；选择 3 格内可见、未占用、可站立空格；不能穿过重掩体闭合边界；束缚时非法","使用者直接移至目标格","施放后下一次行动延后 4 刻度；束缚、封死落点与重掩体边界可反制"
"ARTIFACT-G-T03","缚位框","法宝","0","0","0","0","2","3 格内可见敌方单位","施加束缚 1 个目标回合","目标仍能攻击、施术和使用物品；清除、远程攻击及原地任务互动可反制"
"ARTIFACT-G-T04","显迹测镜","法宝","0","0","0","0","4","4 格内可见敌人","清除目标当前护盾，并施加破势至其下一次自身回合结束；期间不能获得护盾","不造成伤害，也不能阻止目标移动或攻击；被迫势的守点单位在窗口内无法补盾"
"ARTIFACT-G-T05","以太虹吸泵","法宝","0","0","0","0","3","自身；个人魔力未满且当前生命大于 8","恢复 4 个人魔力，然后失去 8 生命；生命损失绕过护盾","可能把自己置于斩杀线；治疗、直接压血与迫使其满魔可改变取舍"
"ARTIFACT-G-T06","复元编架","法宝","0","0","0","0","2","3 格内可见友军或自身；目标生命未满且至少有 12 护盾","目标恢复 20 生命，再失去 12 护盾；两步均不超过/低于各自边界","不能无盾救治，且会拆除当下防线；集中火力和先破盾可令其失去合法目标"
"ARTIFACT-G-T07","掩体压模","法宝","0","0","0","0","2","2 格内可见、未占用、有承重表面的空格；任务格/现有物件格非法","在目标格建立 24 耐久重掩体，不可进入并阻挡双方移动与攻击线","占格且双方都能利用或摧毁；穿透、绕侧、物件伤害可反制"
"ARTIFACT-G-T08","解构楔","法宝","0","0","0","0","4","相邻轻/重掩体或装置","目标物件失去 24 耐久；不波及单位","必须贴身，重掩体与核心装置通常需多次处理；占位保护、推拉与近战威胁可反制"
"ARTIFACT-G-T09","导位罗盘","法宝","0","0","0","0","3","4 格内可见友军或敌人；必须能沿主轴建立通向使用者的逐格路径","目标向使用者拉近至多 2 格，遇边界、阻挡或占用格立即停止","不造成伤害；定锚、障碍、错开主轴和占格可反制"
"ARTIFACT-G-T10","截击铃","法宝","0","0","0","0","2","标记 3 格内可见空格，持续至使用者下一次行动；已有同类标记时非法","首个敌人进入标记格时受到 12 点伤害并被沿进入方向推 1 格，随后消耗反应","绕行、远攻、先占格或让不重要单位触发可反制；推位遇阻时只结算伤害"
"ARTIFACT-G-T11","险地冷凝器","法宝","0","0","0","0","4","3 格内目标格及正交邻格；范围至少含一格临时燃烧地格或烟尘","移除范围内的临时燃烧地格与烟尘；不改变水面、冰面、强光区、暗区、导电路径、永久/任务地形或单位状态","会同时清掉己方利用的火场或烟尘；再次铺设、利用其他地形标签和迫使其离场可反制"
"ARTIFACT-G-T12","行程簿","法宝","0","0","0","0","2","自身；本行动尚能继续执行命令","立即获得 2 AP；下一次行动延后 8 刻度","强延时公开；敌人可利用长空窗反攻，控制或逼迫其先防守可降低收益"
"ARTIFACT-G-T13","定锚支架","法宝","0","0","0","0","4","装备于快捷栏；使用者即将受到一次推或拉","自动抵消这次强制位移并消耗 1 次；无触发时不耗次","反应式自动触发；不防主动移动、位置交换、移相位移、伤害或状态；多次推拉可逐次耗尽"
"ARTIFACT-G-T14","棱返调节器","法宝","0","0","0","0","2","自身架势，持续至下一次行动","首次受到有来源且在视线内的远程伤害前获得 8 临时护盾，本次伤害按护盾优先公式结算；随后对攻击者返还 8 伤害并消耗反应","不是固定减伤；未吸收完的护盾遵守普通护盾清除时点。近战、遮断视线、无来源环境伤害或等待架势结束可反制"
"ARTIFACT-G-T15","诱导灯","法宝","0","0","0","0","2","3 格内可见、未占用空格","部署 12 耐久、占格的诱导灯；5 格内存在可达路线的普通敌人会把公开意图改为接近并破坏诱导灯；持续到使用者下一次行动开始","占格、可被任意方摧毁且不控制魔法生物；超出 5 格、无路可达或执行专属任务的敌人可不响应；范围伤害可反制"
"ARTIFACT-G-T16","护盾均衡阀","法宝","0","0","0","0","3","3 格内未占用、无物件的空格；自身至少有 12 护盾","失去 12 点护盾；在目标格生成 12 耐久轻掩体","掩体双方都能利用或摧毁；护盾不足 12 时不可用"
"ARTIFACT-G-T17","震测铅锤","法宝","0","0","0","0","2","3 格内可见地格；目标格及正交邻格至少有一个单位","正交邻格单位分别沿径向被震退 1 格；中心单位不移动，遇阻、占位或定锚停止，敌我共同生效","友军同受影响；用于拆夹击、推出距离带与制造敌方友伤角度；不改变行动条"
"ARTIFACT-G-T18","静默幕","法宝","0","0","0","0","2","3 格内可见、未占用且无物件的空格","在目标格生成持续 8 行动刻度的烟幕；该格仍可进入，但会截断敌我穿过、射入或射出的远程攻击线","近战不受影响；险地冷凝器可提前清除；也会遮断己方远程输出"
"ARTIFACT-G-T19","冒险封签","法宝","0","0","0","0","2","4 格内可见敌人；使用者生命大于 12","对目标造成 28 点伤害；若完整结算后目标仍存活，使用者失去 12 生命，绕过护盾","护盾和高生命目标会稳定触发反噬；精确预览后收割或先破势是主要用法"
"F-P-M01","热脉增压","个人术式-M近战","1","3","0","1自身回合","无限","自身单体；射程自身","本行动移动+2且下次相邻近战追加8点火焰伤害","平衡职责：接敌兼小爆发；状态：待固定种子验证；束缚时拒绝"
"F-P-M02","炉压突步","个人术式-M近战","1","3","0","1自身回合","无限","空格路径；射程2","直线突进至敌相邻空格但不攻击","平衡职责：纯接敌；状态：待固定种子验证；不可穿单位墙体"
"F-P-M03","焦痕跃进","个人术式-M近战","2","4","0","2自身回合","无限","空格路径；射程3","起点留下每次造成8点伤害且持续2回合的火场并突进；路径正交邻接的单位与物件各承受8点伤害","平衡职责：攻击型接敌；状态：已接入待实机验收；路径终点须合法；单位与物件同值"
"F-P-M04","热流折步","个人术式-M近战","1","2","0","1自身回合","无限","相邻敌单体；射程1","与敌交换位置","平衡职责：换位；状态：待固定种子验证；锚定/束缚拒绝"
"F-P-M05","爆燃追步","个人术式-M近战","1","3","0","2自身回合","无限","相邻敌单体；射程1","目标首次主动移动后自身追1格","平衡职责：追击反应；状态：待固定种子验证；每次仅一次"
"F-P-M06","熔势贯击","个人术式-M近战","1","3","0","1自身回合","无限","自身附着；射程自身","下次近战命中后施加破势","平衡职责：接触破势；状态：待固定种子验证；无盾目标仍禁盾"
"F-P-M07","炉心穿刺","个人术式-M近战","2","5","0","3自身回合","无限","相邻敌单体；射程1","造成20点武器伤害＋8点火焰伤害并施加破势；施法者行动条+4","平衡职责：爆发攻坚；状态：待同步；策划要求同次命中合并伤害包"
"F-P-M08","炉压横扫","个人术式-M近战","2","4","0","2自身回合","无限","前方3格锥形；射程3","每个目标受到12点武器伤害＋4点火焰伤害且会伤及友军","平衡职责：近距范围；状态：待固定种子验证；重掩体截断"
"F-P-M09","热震重击","个人术式-M近战","2","4","0","2自身回合","无限","相邻敌单体；射程1","造成16点武器伤害＋8点火焰伤害并推1格；施法者行动条+4","平衡职责：击退重击；状态：待同步；策划要求同次命中合并伤害包"
"F-P-M10","熔隙刺击","个人术式-M近战","1","3","0","1自身回合","无限","相邻敌单体；射程1","对破势目标造成20点武器伤害；否则造成12点武器伤害","平衡职责：破势收割；状态：待固定种子验证；不消费破势"
"F-P-M11","热障架势","个人术式-M近战","1","3","0","2自身回合","无限","自身姿态；射程自身","首次远距受伤前获得8盾","平衡职责：反远程防御；状态：待固定种子验证；相邻伤害不触发"
"F-P-M12","余烬格挡","个人术式-M近战","1","3","0","2自身回合","无限","自身姿态；射程自身","先得12盾且近战命中后再得4盾","平衡职责：攻防转盾；状态：待固定种子验证；普通盾下回合开始清除"
"F-P-M13","炉心反击","个人术式-M近战","1","4","0","3自身回合","无限","自身姿态；射程自身","首次受到相邻攻击后反击并造成12点武器伤害＋4点火焰伤害","平衡职责：近战反应；状态：待固定种子验证；远程不触发"
"F-P-M14","灼缚解离","个人术式-M近战","1","3","0","2自身回合","无限","相邻敌单体；射程1","清除自身束缚并对敌人造成8点火焰伤害","平衡职责：脱困；状态：待固定种子验证；无束缚不可施放"
"F-P-M15","焰压退击","个人术式-M近战","1","3","0","1自身回合","无限","相邻敌单体；射程1","造成8点火焰伤害并推1格","平衡职责：脱离；状态：待固定种子验证；撞玩法物块时双方各受4点碰撞伤害，其他非法格只取消位移"
"F-P-M16","燃势收割","个人术式-M近战","1","3","0","1自身回合","无限","相邻燃烧敌；射程1","造成16点武器伤害＋8点火焰伤害且保留燃烧","平衡职责：燃烧直伤收益；状态：待固定种子验证；需燃烧前置"
"F-P-M17","焦甲吸热","个人术式-M近战","0","0","0","0自身回合","无限","相邻燃烧敌；射程1","造成12点火焰伤害、消费燃烧并获得12点护盾","平衡职责：燃烧转盾；状态：待固定种子验证；需燃烧前置"
"F-P-M18","火场踏行","个人术式-M近战","1","2","0","1自身回合","无限","燃烧格路径；射程3","沿连续火场移动且不触发该火场伤害","平衡职责：火场机动；状态：待固定种子验证；不可穿单位墙体"
