"优先级","内容ID","战斗名称","底图或场地","敌群","现有地图资产状态","敌人资产缺口","本轮动作","验收重点"
"P0","FIRST-B1","雨后灯庭","rain_lantern_court","tether_hound＋pyromancer","水面、灯藤、学院地面和掩体已有正式资产；缺逐格映射与整场接触图","同名正式静态单位已存在","先建立地图资产映射和1×／6×应用证据","积水横带、双列灯藤和三条路线必须一眼可读"
"P0","FIRST-B2","温室藏品间","greenhouse_collection","raider＋sigil_mauler","灯藤、晶簇和宝箱已有基础资产；温室空间身份与中央藤圈组合未闭环","同名正式静态单位已存在","补温室区域识别件并建立组合证据","中央宝箱、南北晶簇与南侧普通长路不混淆"
"P0","FIRST-B3","雨痕晶庭","rain_prism_court","sigil_mauler＋pyromancer","水、晶簇、轻重掩体已有；封门晶簇与器材匣入口关系未形成正式应用图","同名正式静态单位已存在","建立封门、冷却沟和干路的组合证据","破晶开匣、入水熄火和干路绕行均可预判"
"P0","FIRST-X","三材承压场","three_material_pressure","breach_ram","浅水、灯藤和稳压晶簇基础资产可用；精英稳压晶簇身份需复核","楔角旧候选三轮被拒绝，当前无正式资源","地图先闭环；楔角维持明确占位阻塞，不重复生成","锁线、撞晶、撞藤、浅水冷却和干地卸压可区分"
"P1","N01","中庭侧锋对练","rail_patrol","raider＋shieldguard","石路与中庭模块可复用；缺关卡接触证据","同名正式静态单位已存在","组合现有模块，不新增专属素材","半开放演练场和两侧撤退线清晰"
"P1","N02","宿舍外寻迹测试","depot_wreck","tether_hound＋shieldguard","废弃驿站模块可复用；缺宿舍外区域识别","同名正式静态单位已存在","补一个区域识别结构并组合验收","环形练习场不被装饰阻断"
"P1","N03","护障课程示范","signal_hub","barrier_mender＋shieldguard","传讯石庭和设施结构可复用","同名正式静态单位已存在","组合验收","补盾来源与结构依赖在画面中可追踪"
"P1","N04","锅炉房火线演练","relay_raid","pyromancer＋raider","导能柱和工业结构可复用；锅炉房材质身份不足","同名正式静态单位已存在","补锅炉房区域识别结构","火线、可走区和设备轮廓不混淆"
"P1","N05","回廊重弩校准","gatehouse","rune_arbalist＋raider","门厅和回廊模块可复用","同名正式静态单位已存在","组合验收","最小射程与折角死区在地图上可读"
"P1","N06","校准台约束考核","transmission_tower","stone_snare＋raider","校准台与导能结构可复用","同名正式静态单位已存在","组合验收","刻印、绕行和掩体关系明确"
"P1","N07","材料库承压事故","depot_wreck","tether_hound＋sigil_mauler＋stone_snare","仓储结构资产充足；缺完整应用证据","同名正式静态单位已存在","组合验收","三口收束和上下宽口形成不同接敌节奏"
"P1","N08","实训场综合对抗","rail_patrol","shieldguard＋pyromancer＋raider","石路中庭模块可复用","同名正式静态单位已存在","组合验收","中央盾位不封死两翼路线"
"P1","N09","市集护送演练","gatehouse","shieldguard＋sigil_mauler＋rune_arbalist","门厅模块可复用；市集识别件不足","同名正式静态单位已存在","补市集区域识别结构并组合验收","护送轴、重弩线和侧向掩体不互相遮蔽"
"P0","E01","刻阵工坊高阶考核","elite_foundry","elite_vanguard＋barrier_mender＋sigil_mauler","工坊模块可复用；刻阵工坊专属识别件待补","elite_vanguard已有32×64正式候选资产；本轮不导入Unity","补刻阵工坊识别结构并制作三敌组合接触图","精英教官、补盾链和替身偶三种压力可区分"
"P0","E02","失控校准室封锁","calibration_lockdown","prototype_hand＋rune_arbalist＋stone_snare","校准室底图已建；美术接触证据待补","prototype_hand已有32×64正式候选资产；本轮不导入Unity","补护罩发生器／过载装置并做三敌组合接触图","试制员不得看成拴索助教"
"P0","E03","断崖导能柱考察","cliff_relay_survey","elder_tracker_hound＋signal_keeper＋barrier_mender","断崖底图已建；郊野材质和导能柱接触待复核","elder_tracker_hound与signal_keeper均复用旧单位","分别生产老寻与灯台值守专属静态单位","兽类追踪、灯台直线压力和补盾支援剪影独立"
"P0","B01","学院封存塔核心","core_finale","core_overseer＋塔内机关3组","底图已建；三类机关和阶段线路表现未闭环","core_overseer正式静态单位存在；机关不是单位且需独立物件","生产三种塔内机关、护障墙、显影光带、冲压线、塔压与并链表现","三阶段和三条维护链无需阅读长文即可追踪"
