"字段名","字段说明","内容要求","格式或示例","是否必填"
"法宝ID","法宝定义的稳定主键","全表唯一","F-T01","是"
"slug","程序与资源使用的英文短名","小写英文与下划线","demolition_canister","是"
"名称","界面显示名","使用正式短名称","炎脉封装筒","是"
"元素","以太素元素与工程方向","沿用世界观受控术语","火倾向；火","是"
"稀有度","法宝品质档","普通／少见／稀有","稀有","是"
"占格","背包占用尺寸","正整数×正整数","2×1","是"
"重量","基础重量","非负整数","2","是"
"次数","每战最大使用次数","正整数或无限","2","是"
"技能ID","使用法宝时提交的技能","必须存在于技能配置表","ARTIFACT-F-T01","是"
"来源","制作背景与当前投放池","可合并多个来源，但不写技能效果","学院试制；精英奖励","是"
"构筑用途","该法宝的战术职责","一句话说明与其他法宝的区分","破障与区域封锁","是"
"启用","是否进入当前内容池","是／否；关联技能也必须启用","是","是"
"版本","规则版本","从1开始的整数","1","是"
