变体ID,等级,底图,空间语法,敌群,玩家可见压力,池归属
weak_flank_drill,弱,rail_patrol,半开放演练场,raider+shieldguard,盾术生守中侧锋生从一侧接近且身后有退路,常规池
weak_fire_drill,弱,relay_raid,双台校准场,pyromancer+raider,火矢生远压与侧锋生接近,常规池
weak_tracker_test,弱,depot_wreck,环形练习场,tether_hound+shieldguard,寻迹兽与盾术生分守两侧,常规池
weak_barrier_demo,弱,signal_hub,环形练习场,barrier_mender+shieldguard,补盾助教与盾术生隔设施照应,常规池
weak_arbalist_calibration,弱,gatehouse,回廊折角,rune_arbalist+raider,远端背弩生线与下方侧锋生通道,常规池
weak_restraint_exam,弱,transmission_tower,回廊折角,stone_snare+raider,远程约束与另一出口侧锋生,常规池
strong_rail_patrol_a,强,rail_patrol,开阔交叉线,shieldguard+pyromancer+raider,盾术生居中火矢生与侧锋生分列两翼,常规池
strong_rail_patrol_b,强,rail_patrol,开阔交叉线·反向翼位,shieldguard+pyromancer+raider,盾术生前压两翼职责反置,常规池
strong_depot_wreck_a,强,depot_wreck,三口收束,tether_hound+sigil_mauler+stone_snare,双束缚源错层替身偶守中口,常规池
strong_depot_wreck_b,强,depot_wreck,三口收束·偏置中口,tether_hound+sigil_mauler+stone_snare,寻迹兽近翼拴索助教远翼替身偶偏心,常规池
strong_relay_raid_a,强,relay_raid,偏心目标,raider+rune_arbalist+tether_hound,双接近压力与公开背弩生线,常规池
strong_relay_raid_b,强,relay_raid,偏心目标·对角争夺,raider+rune_arbalist+tether_hound,背弩生与目标对角双近战分守两路,常规池
strong_signal_hub_a,强,signal_hub,三角维护网,barrier_mender+lantern_revealer+shieldguard,补盾与提灯破势与回合盾循环,常规池
strong_signal_hub_b,强,signal_hub,三角维护网·断链,barrier_mender+lantern_revealer+shieldguard,提灯巡查前置补盾助教与盾术生分居后翼,常规池
strong_gatehouse_a,强,gatehouse,双向门厅,shieldguard+sigil_mauler+rune_arbalist,正面阻挡贴身破势与背弩生远程重击,常规池
strong_gatehouse_b,强,gatehouse,双向门厅·错位门线,shieldguard+sigil_mauler+rune_arbalist,两门压力错位且中央可换路,常规池
strong_transmission_tower_a,强,transmission_tower,三扇区,pyromancer+stone_snare+lantern_revealer,燃烧束缚与破势各守一扇区,常规池
strong_transmission_tower_b,强,transmission_tower,三扇区·对角封线,pyromancer+stone_snare+lantern_revealer,远程三角错位并保留两条切入线,常规池
elite_foundry_a,精英,elite_foundry,编织狭口,elite_vanguard+barrier_mender+sigil_mauler,划线教官居中补盾助教与替身偶分守两路,本阶段固定池
elite_foundry_b,精英,elite_foundry,编织狭口·维护侧,elite_vanguard+barrier_mender+sigil_mauler,补盾维护链偏左右路可直取目标,本阶段固定池
elite_foundry_c,精英,elite_foundry,编织狭口·检验侧,elite_vanguard+barrier_mender+sigil_mauler,替身偶前置划线教官与补盾助教后置,本阶段固定池
calibration_lockdown_a,精英,calibration_lockdown,设备间的校准台走廊,prototype_hand+rune_arbalist+stone_snare,试制员逐件布放装置背弩生封长线拴索助教刻印地面,本阶段固定池
calibration_lockdown_b,精英,calibration_lockdown,校准台走廊·装置侧,prototype_hand+rune_arbalist+stone_snare,试制件先铺靠核心一侧长线与刻印从另一侧压上,本阶段固定池
cliff_relay_survey_a,精英,cliff_relay_survey,断崖坡面与导能柱基座,elder_tracker_hound+signal_keeper+barrier_mender,老寻循痕破藏身灯台值守封住一条廊道补盾助教贴结构续盾,本阶段固定池
library_discipline_a,精英,library_discipline,高书架切出的走廊与阅览长桌,wind_librarian+barrier_mender+sigil_mauler,小铃换风搬散页书架切出暗段补盾助教贴结构续盾,扩展池（本阶段不参与生成）
sealed_vault_certification_a,精英,sealed_vault_certification,旧检定台与读数桩之间的库房通道,legacy_storekeeper+lantern_revealer+sigil_mauler,老库管投影直线并退件提灯巡查沿直线显影替身偶贴身破势,扩展池（本阶段不参与生成）
outer_ring_clearance_a,精英,outer_ring_clearance,高塔外环的直线廊道与物块堆,elite_vanguard+lantern_revealer+rune_arbalist,划线教官现场改掩体提灯巡查沿直线显影背弩生封住长线,扩展池（本阶段不参与生成）
boss_academy_sealed_core,首领,core_finale,中心核心与三道机关门槛,core_overseer,塔之守卫逐回合放行一组塔内机关；三条维护链与首回合公开意图；拆掉已放行机关可切断其施术介质,常规池
first_battle_rain_lantern_court,首轮教程,rain_lantern_court,雨后旧庭院中央灯藤割裂与南侧浅水沟,tether_hound+pyromancer,寻迹兽贴近与火矢生远压；正式格局与固定脚本见OCC_教程战斗规格数据表_v1.0.csv,常规池
first_battle_greenhouse_collection,首轮教程,greenhouse_collection,中央藤圈宝箱与双蓄能晶簇；南侧保留普通长路,raider+sigil_mauler,侧锋生利用灯藤切入；替身偶贴晶使玩家奖励1能立刻改变接敌与爆裂节奏；正式格局见教程战斗规格表,常规池
first_battle_rain_prism_court,首轮教程,rain_prism_court,冷却沟与封门晶簇共同控制器材匣；D9保留普通绕行,sigil_mauler+pyromancer,替身偶受晶簇与术式双重邻格伤害；火矢生制造燃烧并封锁冷却沟出口；正式格局见教程战斗规格表,常规池
first_elite_three_material_pressure,首轮固定精英,three_material_pressure,浅水横断推进预算；双灯藤带改变搜查边界；中央稳压晶簇承受冲压,breach_ram,楔角公开锁线并损伤晶簇或摧毁灯藤；玩家利用战场变化与干地卸压反击；无额外支援敌人,本阶段固定池
