"被动ID","名称","来源","触发","条件","效果","上限与重置","优先级","启用","备注","版本"
"ORIGIN-TALENT-01","就地接线","出身:维克多·维恩","主动移动结束","每场第一次且终点正交邻接轻或重掩体","获得2护盾；恢复1个人魔力","每场1次；战斗开始重置","30","是","状态栏常驻展示来源与触发条件","1"
"PASSIVE-ACA-EQ-AC01","余烬珠","装备:ACA-EQ-AC01","对已燃烧单位造成直接伤害后","本回合第一次","追加2点火焰伤害","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-AC02","空槽魔力计","装备:ACA-EQ-AC02","支付术式成本后","本场第一次使魔力恰好为0","恢复1个人魔力","每场1次；战斗开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-AC03","贴身守誓牌","装备:ACA-EQ-AC03","自己回合开始","正交相邻至少1个敌人","获得2护盾","每个自己回合1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-AC04","灰线行程扣","装备:ACA-EQ-AC04","不适用","停用待重写","无","不适用","10","否","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-BP01","勘验背架","装备:ACA-EQ-BP01","提交继续搜索时","本场第一次合法提交","本次AP成本降为0","每场1次；战斗开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-BP02","快挂整备架","装备:ACA-EQ-BP02","背包与快捷栏交换战术道具时","本场第一次合法交换","本次AP成本降为0","每场1次；战斗开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CH01","夹棉练习衣","装备:ACA-EQ-CH01","自己回合开始","总是","获得2护盾","每个自己回合1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CH02","补强巡行衣","装备:ACA-EQ-CH02","自己回合开始","总是","获得4护盾","每个自己回合1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CH03","塔卫承压带","装备:ACA-EQ-CH03","自己回合开始","总是","获得6护盾","每个自己回合1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CH04","轻装传令衣","装备:ACA-EQ-CH04","本回合第一次移动前","本回合尚未主动移动","本次移动最大步数+1","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CH05","封存巡检袍","装备:ACA-EQ-CH05","提交任务设备互动或继续搜索时","本场第一次合法提交","本次AP成本降为0","每场1次；战斗开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CR02","余焰回收芯","装备:ACA-EQ-CR02","对单位施加燃烧后","本回合第一次","恢复1个人魔力","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CR03","塔心并联芯","装备:ACA-EQ-CR03","不适用","停用待重写","无","不适用","10","否","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-CR04","苗床回流芯","装备:ACA-EQ-CR04","成功支付个人术式魔力后","本场第一次且支付至少1魔力","恢复2个人魔力，不超过上限","每场1次；战斗开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-DG02","接触耦合环","装备:ACA-EQ-DG02","施放M线术式时","本回合第一次","本次魔力成本-1，最低1","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-HD02","低压回路护额","装备:ACA-EQ-HD02","自己回合开始","当前个人魔力≤2","获得2护盾","每个自己回合1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-HN01","行进握带","装备:ACA-EQ-HN01","移动后提交武器攻击时","本回合第一次","追加2点物理伤害","每个自己回合1次；自己回合开始重置","10","否","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-HN02","回授护臂","装备:ACA-EQ-HN02","防御性个人术式结算后","本回合第一次且结算成功","获得2护盾","每个自己回合1次；自己回合开始重置","10","否","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-LG01","石路行靴","装备:ACA-EQ-LG01","本回合第一次移动前","本回合尚未主动移动","本次移动最大步数+1","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-LG02","定锚胫甲","装备:ACA-EQ-LG02","受到强制位移前","本次敌方行动尚未抵消","位移距离-1，最低0","每个敌方行动1次","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-MH06","灰炉导杖","装备:ACA-EQ-MH06","自己回合内武器命中后","本回合首次命中燃烧目标","恢复1个人魔力","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ACA-EQ-OH04","导流副环","装备:ACA-EQ-OH04","施放U线武器附着术式时","本回合第一次","本次魔力成本-1，最低1","每个自己回合1次；自己回合开始重置","10","是","装备卸下时移除该被动","1"
"PASSIVE-ELITE-01","回火导流","被动术式:PASSIVE-ELITE-01","个人术式造成火焰伤害后","本回合首次且至少命中一个敌人","恢复1个人魔力","每个自己回合1次；自己回合开始重置","20","是","多目标或多段同一伤害包只触发一次","1"
"PASSIVE-ELITE-02","动势点火","被动术式:PASSIVE-ELITE-02","主动移动结束","实际路径至少3格且本回合未触发","生成当前战斗效果：本回合下次武器命中额外造成4点火焰伤害","每个自己回合1次；自己回合开始重置；回合结束到期","20","是","强制位移、直接传送和失败移动不计","1"
"PASSIVE-ELITE-03","缓冲覆层","被动术式:PASSIVE-ELITE-03","自己回合开始清除旧护盾后","当前护盾低于3","将护盾补至3","每个自己回合1次；自己回合开始重置","20","是","与其他回合开始护盾按同来源限制结算","1"
