"类别","ID","名称","数量或配置","出现位置","玩家操作","验收结果"
"Build","FIRST-RUN-V1","首次存档固定体验","目标约10分钟；固定到精英后商店首次展开","新存档第一轮","完成固定开局或死于精英","同版本同命令序列结果一致"
"实施阶段","PHASE-A","流程骨架与系统口径收口","已完成；725／725项EditMode测试通过","Unity流程、存档、战斗、背包与装备","使用占位内容验证固定图、存档和底层机制契约","内容替换不重写状态机；Console无编译错误；系统口径与总案一致"
"实施阶段","PHASE-B","冻结内容接入","四场战斗与三组奖励确认后实施","战斗／奖励／事件数据","替换占位数据并验证","不由实施任务临时发明数值"
"出身","ORIGIN-STORY-01","护障检修户","固定故事背景","首次领装","查看出身卡","与天赋和专属术式同屏"
"出身","ORIGIN-TALENT-01","就地接线","固定出身天赋；效果待内容冻结","首次领装／战斗","触发出身天赋","首战产生可见差异"
"出身","ORIGIN-SPELL-01","借障导流","固定出身专属术式；效果待内容冻结","首次领装／战斗","施放过渡术式","不锁死后续构筑"
"地图节点","O","起点","固定入口","首次地图","进入B1","不计入内容节点"
"地图节点","B1","普通战斗1","固定遭遇槽；内容待冻结","O后","完成战斗并固定三选一","完成后开放EV1和EV2"
"地图节点","EV1","事件1","装备锻造材料＋第一件有限次数法宝","B1支线","确认一个公开选项","只结算一次"
"地图节点","EV2","事件2","学院食材＋贡献或金币","B1支线","确认一个公开选项","只结算一次"
"地图节点","B2","普通战斗2","固定遭遇槽；内容待冻结","EV1和EV2均完成后","完成战斗并固定三选一","完成后开放W和EV3"
"地图节点","W","工坊","一次装备锻造＋一次术式专精","B2支线","选择对象和固定结果","可复访但次数不刷新"
"地图节点","EV3","事件3","术式专精材料＋贡献或第二件一次性法宝","B2支线","确认一个公开选项","完成后开放B3"
"地图节点","B3","普通战斗3","固定遭遇槽；内容待冻结","EV3后","完成战斗并固定三选一","完成后开放M和X入口"
"战场机制","MECHANIC-SLOT-A","特色地块槽A","阶段A仅定义标识和接口","普通战1／3","按公开条件触发","实际机制与数值等待内容冻结"
"战场机制","MECHANIC-SLOT-B","特色地块槽B","阶段A仅定义标识和接口","普通战1／2","按公开条件触发","实际机制与数值等待内容冻结"
"战场机制","MECHANIC-SLOT-C","特色地块槽C","阶段A仅定义标识和接口","普通战2／3","按公开条件触发","实际机制与数值等待内容冻结"
"战场机制","MECHANIC-TRIGGER","通用触发上下文","攻击／靠近／进入／经过／互动／受击／破坏","首次体验战斗","敌我双方按同一规则结算","阶段A接口可承载全部触发窗口"
"关卡路径","ROUTE-CONTRACT","理想通关路径","每场普通战至少3条；非机制路径仍可通关","首次体验三场普通战","查看入口／决策点／机制／风险／收益","阶段A可用占位路径验证结构"
"构筑反馈","BUILD-FEEDBACK","新选择即时反馈","第二第三战读取此前获得的术式／装备标签","普通战2／3","使用新选择解决战场问题","正式联动等待内容冻结"
"敌人表达","ENEMY-IDENTITY","敌人统一内容身份","意图／人设／外观／技能表现／技能效果／台词集合","首次体验战斗","查看意图并观察行动与台词","公开意图与实际脚本一致"
"界面","UI-RULE-HOVER","规则悬停说明","短标题＋主要效果＋关键词解释；默认隐藏","特色地块／敌人／状态／资源","悬停查看","低常驻信息密度且规则完整"
"地图节点","M","医务室","免费健康确认；治疗和餐食各一次","B3支线","确认健康状态并可选服务","确认不恢复生命；复访不刷新"
"地图节点","X","第一场精英战","固定精英遭遇槽；内容待冻结","B3支线","完成首次锻造、专精、健康确认后出战","胜利开放S；死亡结束本轮"
"地图节点","S","精英后商店","固定三件库存","X胜利后","购买或离开","首次展开结束固定教学段"
"地图拓扑","GRAPH-01","固定连线","O-B1-B2-B3；B1-EV1；B1-EV2；B2-W；B2-EV3；B3-X；B3-M；X-S","首次地图","点击已解锁节点","10个内容节点；精英前8个"
"地图移动","TRAVEL-01","无成本往返","不消耗时序／金币／生命／法宝次数","已解锁节点间","点击目的地并快速移动","已完成节点可作通路"
"地图状态","NODE-STATE-01","节点状态集","锁定／可达／推荐／完成／可复访／已使用或售罄","首次地图","查看状态和解锁条件","读档后状态一致"
"奖励","REWARD-GROUP-1","战后固定三选一1","3项术式或装备；内容待冻结","B1后","选择1项","候选不重抽"
"奖励","REWARD-GROUP-2","战后固定三选一2","3项术式或装备；内容待冻结","B2后","选择1项","候选不重抽"
"奖励","REWARD-GROUP-3","战后固定三选一3","3项术式或装备；内容待冻结","B3后","选择1项","候选不重抽；总路径3×3×3=27"
"法宝","RELIC-1","第一件法宝","稳定获得；有限次数；内容待冻结","EV1","取得并装入战术栏","后续普通战可安全试用"
"法宝","RELIC-2","第二件法宝","可选；一次性；内容待冻结","EV3","放弃贡献后取得","不是精英唯一钥匙"
"医务室","MEDICAL-CHECK","健康确认","免费；无恢复","M首次进入","查看当前生命和精英压力","完成后满足精英解锁条件之一"
"医务室","MEDICAL-HEAL","伤势处理","1学院贡献；恢复最大生命50%；一次","M","支付贡献或放弃","不自动执行；复访不刷新"
"餐食","MEAL-FIRST-POOL","首轮固定餐食","强攻炖肉／导能热饮／岩盐浓汤","M","最多购买1种","固定显示；读档不重抽"
