"规则ID","类别","名称","适用范围","触发或压力","结算与上限","预览要求","取消或反制","启用","版本"
"PRESS-REACTION-POST","被动反击","后置反击","敌我共用","具有反击效果的被动在触发命令成功完成后结算","不撤销已完成命令；同一来源默认每个玩家回合最多1次；效果数值按具体被动独立配置","来源／目标／几何／单项与合计结果／顺序／最终站位","来源死亡或受控、攻击线切断、距离或次数不合法","是","2"
"PRESS-REACTION-INTERCEPT","被动反击","路径截击","敌我共用","具有反击效果的被动在移动者第一次进入公开触发格后且踏出下一步前结算","同一移动命令对同一来源只触发1次；改位或路径失效时取消剩余路径；效果数值按具体被动独立配置","逐格触发位置／伤害／状态／推位／截停后的实际终点","绕行、改位或控制来源、切线、防护承受","是","2"
"PRESS-REACTION-STANCE","行动经济","警戒姿态","敌方单位","使用一次正式回合进入姿态并获得临时被动反击","持续至下一次自身回合开始或成功触发一次；效果数值按具体被动与遭遇独立配置","姿态范围／触发／效果／剩余次数与失效时点","不进入范围、消耗姿态、击倒或控制来源","是","2"
"PRESS-REACTION-INNATE","行动经济","固有被动反击","敌方单位","常驻被动按公开条件触发反击","伤害／位移／状态／范围不设全局数值上下限，由具体单位与遭遇独立配置和平衡；每个玩家回合默认最多1次","触发条件／次数／伤害／状态／推位／冷却","失去条件、次数耗尽、来源死亡或受控","是","2"
"PRESS-REACTION-CHAIN","结算边界","反击链截止","敌我共用","原始命令触发被动反击","最多一层被动反击结算；反击结果不再触发新的即时攻击","原始命令与全部同层反击按顺序显示","后续效果只在正常时点读取","是","2"
"PRESS-REACTION-ORDER","结算顺序","多来源顺序","敌我共用","同一步或同一命令触发多个来源","路径先按首次进入格；同格与后置反击按行动条／有效速度／固定顺序；每项后重验后续条件","完整顺序与每步重算后的结果","前项导致来源／目标／距离／攻击线／占位不合法则取消后项","是","1"
"PRESS-REACTION-COUNT-WEAK","认知上限","弱战反击来源","教程／弱普通战","同时可触发的敌方被动反击来源","最多1个","地图与命令预览只显示1个活动来源","通过击倒、控制、切线或次数耗尽解除","是","2"
"PRESS-REACTION-COUNT-STRONG","认知上限","强战反击来源","强普通战／精英战","同时可触发的敌方被动反击来源","最多2个","同时显示两个来源和合计结果","至少保留一个触发不超过1次反击的基础行动链","是","2"
"PRESS-REACTION-COUNT-BOSS","认知上限","Boss反击来源","Boss公开阶段","同时可触发的敌方被动反击来源","最多3个且不得全部来自同一单位的常驻被动","分来源显示拆除／切线／离开方式","阶段内至少两种性质不同的应对","是","2"
"PRESS-CROSSFIRE","交叉火力","交叉覆盖","常规与首领战","两条以上公开攻击几何形成高风险交点","教程与普通战主要伤害覆盖线最多2条；按行动顺序逐项重算","攻击线／交点／死区／敌我误伤／物块结果","移动、切线、改位、死区、防护；用于交叉覆盖的攻击命中几何内敌我与可受击物块","是","1"
"PRESS-LONG-RANGE","射程边界","小图长射程","默认25–36格地图","射程5及以上","除攻击线外至少具有最低射程／架设／上弦／冷却／固定方向之一","有效区与死区同时显示","切线、贴近、打断架设或利用冷却","是","1"
"PRESS-UNAVOIDABLE","伤害边界","不可回避磨损","普通敌群","无法通过移出几何完全规避的伤害","单项1–4；玩家下一次合法行动前合计不超过8；来源公开且有限或可拆","来源／次数／合计伤害／移除方式","拆除来源、缩短战斗、减伤或恢复","是","1"
"PRESS-BLOCK-UNIQUE","堵路边界","唯一通路保护","全部地图","单位或结构占据一格宽唯一通路","不得永久封死；至少一种基础配置解法，且不得只依赖随机奖励","占位／替代路线／移除成本／被包围后的出口","击杀、推拉、换位、跳跃、绕行或破坏相邻结构","是","1"
"PRESS-BLOCK-SPAWN","堵路边界","动态封路","全部地图","生成临时墙、召唤物或阶段结构","不得生成在单位脚下；无上一窗口预告时不得封闭最后合法出口","生成格／时点／持续／移除条件／剩余出口","提前离开、破坏、覆盖或阻止来源","是","1"
"PRESS-KITE-LOOP","反放风筝","开放循环检查","默认小图","1AP远程攻击＋两次普通移动连续使用","连续3个玩家回合内敌人须能命中、建立被动反击威胁、占据争夺格、激活可拆来源或迫使防护资源中的至少一项","三回合路径／距离／敌方意图／资源变化","改线、改位、处理压力来源或主动承受后反攻","是","2"
"PRESS-BUDGET-WEAK","压力预算","教程／弱普通战","教程／弱普通战","高伤覆盖／被动反击／堵路／强制位移／持续场地／资源压制／成长","1种主压力＋1种辅助压力","当前主压力和辅助压力","至少两种性质不同的有效应对","是","2"
"PRESS-BUDGET-STRONG","压力预算","强普通战","强普通战","同上","2种主压力","当前两种主压力及其交集","至少一条不依赖特定奖励的普通路线","是","1"
"PRESS-BUDGET-ELITE","压力预算","精英战","精英战","同上","2种主压力＋1个可中断成长来源","压力来源／成长阶段／中断结果","处理来源、改线、改位或承受后反攻","是","1"
"PRESS-BUDGET-BOSS","压力预算","Boss阶段","Boss战","同上","每阶段最多2种并行主压力；阶段变化替换或强化其一","当前阶段、下一变化和移除条件","不得把全部阶段机制永久叠加","是","1"
"PRESS-GROWTH-PLAYER","战斗内成长","玩家临时资源","玩家单位","摧毁、路径、格挡、火场等真实战场结果","最多2–3层并主动消费；战斗结束清除","当前层数／获得来源／可消费结果","不由击杀无限叠攻，不形成行动点或魔力正循环","是","1"
"PRESS-GROWTH-ENEMY","战斗内成长","敌方来源成长","敌方／装置／Boss","可拆装置、可覆盖法阵、争夺格或公开生命阶段","改变几何或选择；战斗结束清除","来源／阶段／下一效果／中断方式","拆除、覆盖、夺回、改位或阶段应对；不使用隐藏回合涨攻和适应抗性","是","1"
