类别,ID,名称,正式规格,适用战斗,实现备注
遭遇,FIRST-B1,雨后灯庭,"12×9；石板底图；水 C7-G7；灯藤 E1-F5；轻掩体 C3/H4/C8；重物块 A1/B1/L1/A2/L2/A9/B9/C9/H9/I9/J9/K9/L9；主角 B8；寻迹兽 H7；火矢陪练生 I2",战斗1,"边界外不可通行；任务为击倒两名对手"
瓦片,FIRST-B1-WATER,浅水,"主角进入消耗2移动距离；寻迹兽进入消耗1移动距离；进入时移除燃烧；不伤害、不遮视线、不附加状态",战斗1,"地表瓦片；首版与返修v2均已否决；v3按完整方形石板、无框薄水膜和断裂反光重新生成，机器与用户审美PASS，Unity稳定GUID、Importer及B1运行时接触复核通过，状态FORMAL"
物块,FIRST-B1-LAMP_VINE,灯藤,"可进入；进入消耗2移动距离；阻挡双方视线；藤内仅能攻击相邻目标；美术表现为单位站在中心空腔、四周藤叶包围的单格中空树篱；可作用物块的火焰立即烧毁，露出原瓦片并留纯视觉焦痕",战斗1,"灼触与火花不能直接选空格灯藤；首版与藤屏式v2均已否决；v3按北高侧围南低的方格中空树篱重新生成，人物实际站入(4,4)且底层IsLampVine=True，Unity稳定GUID、Importer及运行时接触复核通过，状态FORMAL"
出身,FIRST-B1-ORIGIN,护障检修户,"就地接线：每场第一次移动结束时，终点正交相邻轻/重掩体则获得2护盾并恢复1魔力；借障导流：1AP/1魔力，仅正交相邻轻/重掩体时对自身施放，获得4护盾且本回合下次移动行动移动力+2，同回合不叠加",战斗1,"首次触发显示来源和条件"
敌人,FIRST-B1-HOUND,缚环寻迹兽,"12生命；速度11；导能撕咬：1AP、射程1、4物理伤害；缚环扑咬：1AP、1魔力、冷却1、射程1、2物理伤害、束缚1回合",战斗1,"按固定搜索脚本行动"
AI,FIRST-B1-HOUND-AI,寻迹兽搜索,"可见主角：相邻且扑咬可用则优先扑咬，否则按固定最短路径接近；失去视线：朝最后进入藤丛的方向前往入口，到达后完整停留一个自身回合嗅探，仍未发现则按顺时针格序沿藤丛外围搜索；重获视线立即恢复追击",战斗1,"不显示最后目击点、搜索路线或灰色足迹；以移动、朝向、停顿和嗅探动画表达"
敌人,FIRST-B1-PYROMANCER,高年级陪练生·火矢,"16生命；速度9；火矢：1AP、2魔力、冷却1、射程5、5火焰伤害、燃烧2回合；焚藤开线：1AP、1魔力、冷却0、射程5，单个自身回合最多一次",战斗1,"焚藤开线不伤及藤内主角"
AI,FIRST-B1-PYROMANCER-AI,火矢陪练生脚本,"可见主角且火矢射程合法时优先火矢；否则依次焚毁F3、F4、F5；均已烧毁时沿固定路线移动至下一北侧射击点",战斗1,"射击点、同距离路径优先级与烧藤目标必须配置化，禁止运行时随机"
任务,FIRST-B1-VICTORY,入学资格验证,"击倒缚环寻迹兽与火矢陪练生；对手分别以缚环熄灭和认输结算；无倒计时、援军、撤离或额外交互目标；主角生命归零按肉鸽战败",战斗1,"非致命叙事不改变战斗失败规则"
路径,FIRST-B1-ROUTES,三条验证路线,"灯藤斩首：西南入藤、寻迹兽嗅探、另一侧集火火矢；湿地强攻：经水沟灭燃烧后持续前压；掩体清犬：以C8轻掩体先处理寻迹兽再走干路接近火矢",战斗1,"三条均须用当前开局装备、四个基础术式与三件套通关；掩体清犬较慢且战损较高"
配置,FIRST-B1-HOUND-PATH,寻迹兽确定性路径,"同距离邻格优先级北→东→南→西；入口为主角进入灯藤前最后一格；外围顺时针格序 D1→D2→D3→D4→D5→D6→E6→F6→G6→G5→G4→G3→G2→G1",战斗1,"远距离目标先求完整最低成本路径，再按本次移动预算截断；禁止随机"
配置,FIRST-B1-PYROMANCER-PATH,火矢陪练生确定性路径,"烧藤 F3→F4→F5；北侧射击点 I2→I4→H6；同距离邻格优先级北→东→南→西",战斗1,"每个自身回合最多烧藤一次；3行动点内按公开优先级继续行动"
路径,FIRST-B1-ROUTE-VINE,灯藤斩首固定路线,"B8→D6→E5→G5→H4→I3",战斗1,"逐段最低成本路径可复现；最终通关须在获准 Play Mode 后补操作证据"
路径,FIRST-B1-ROUTE-WATER,湿地强攻固定路线,"B8→C7→E7→G7→H6→I3",战斗1,"覆盖浅水移动代价与解除燃烧"
路径,FIRST-B1-ROUTE-COVER,掩体清犬固定路线,"B8→C8→F8→H8→I7→I3",战斗1,"覆盖首次移动邻接掩体的出身天赋"
