变体ID,等级,底图,空间语法,敌群,玩家可见压力
weak_flank_drill,弱,rail_patrol,半开放演练场,raider+shieldguard,盾术守中侧锋从一侧接近且身后有退路
weak_fire_drill,弱,relay_raid,双台校准场,pyromancer+raider,火矢远压与侧锋接近
weak_tracker_test,弱,depot_wreck,环形练习场,tether_hound+shieldguard,寻迹兽与盾术分守两侧
weak_barrier_demo,弱,signal_hub,环形练习场,barrier_mender+shieldguard,护障助教与盾术隔设施照应
weak_arbalist_calibration,弱,gatehouse,回廊折角,rune_arbalist+raider,远端重弩线与下方侧锋通道
weak_restraint_exam,弱,transmission_tower,回廊折角,stone_snare+raider,远程束缚与另一出口侧锋
strong_rail_patrol_a,强,rail_patrol,开阔交叉线,shieldguard+pyromancer+raider,盾术居中火矢与侧锋分列两翼
strong_rail_patrol_b,强,rail_patrol,开阔交叉线·反向翼位,shieldguard+pyromancer+raider,盾术前压两翼职责反置
strong_depot_wreck_a,强,depot_wreck,三口收束,tether_hound+sigil_mauler+stone_snare,双束缚源错层检验偶守中口
strong_depot_wreck_b,强,depot_wreck,三口收束·偏置中口,tether_hound+sigil_mauler+stone_snare,寻迹兽近翼助教远翼检验偶偏心
strong_relay_raid_a,强,relay_raid,偏心目标,raider+rune_arbalist+tether_hound,双接近压力与公开重弩线
strong_relay_raid_b,强,relay_raid,偏心目标·对角争夺,raider+rune_arbalist+tether_hound,重弩与目标对角双近战分守两路
strong_signal_hub_a,强,signal_hub,三角维护网,barrier_mender+lantern_revealer+shieldguard,护障破势与回合盾循环
strong_signal_hub_b,强,signal_hub,三角维护网·断链,barrier_mender+lantern_revealer+shieldguard,巡查员前置助教与盾术分居后翼
strong_gatehouse_a,强,gatehouse,双向门厅,shieldguard+sigil_mauler+rune_arbalist,正面阻挡贴身破势与远程重击
strong_gatehouse_b,强,gatehouse,双向门厅·错位门线,shieldguard+sigil_mauler+rune_arbalist,两门压力错位且中央可换路
strong_transmission_tower_a,强,transmission_tower,三扇区,pyromancer+stone_snare+lantern_revealer,燃烧束缚与破势各守一扇区
strong_transmission_tower_b,强,transmission_tower,三扇区·对角封线,pyromancer+stone_snare+lantern_revealer,远程三角错位并保留两条切入线
elite_foundry_a,精英,elite_foundry,编织狭口,elite_vanguard+barrier_mender+sigil_mauler,教官居中助教与检验偶分守两路
elite_foundry_b,精英,elite_foundry,编织狭口·维护侧,elite_vanguard+barrier_mender+sigil_mauler,护障维护链偏左右路可直取目标
elite_foundry_c,精英,elite_foundry,编织狭口·检验侧,elite_vanguard+barrier_mender+sigil_mauler,检验偶前置教官与助教后置
core_approach_a,精英,core_approach,对角封线,elite_vanguard+rune_arbalist+stone_snare,教官与重弩对角约束助教守换路线
core_approach_b,精英,core_approach,对角封线·双入口,elite_vanguard+rune_arbalist+stone_snare,约束线不覆盖出生左右均可切入
core_approach_c,精英,core_approach,对角封线·远近换位,elite_vanguard+rune_arbalist+stone_snare,教官前置远程二人分守外翼
boss_academy_sealed_core,首领,core_finale,中心核心与外围维护,academy_sealed_core+elite_vanguard+barrier_mender+lantern_revealer,固定核心守卫居中三条外围维护链首回合公开
