ID,类别,项目,规格,状态色或材质,限制
ART-GRID-01,战场,逻辑格,32×32原生像素,中性地材,Point Clamp 无MipMap无压缩
ART-ICON-16,图标,语义图标,16×16最多4色,功能状态色,不画材质体积文字或环境光
ART-PICKUP-24,物品,材质拾取物源稿,24×24约5–8色,真实材质色,以4px留白居中到32×32交付画布
ART-ASSET-32,资产,装备法宝术式地块单格物件,32×32,质朴材质,多格物不得压回单格
ART-MULTI-32,资产,多格场景物与背包素材,(W×32)×(H×32),质朴材质,占格与画布一致
ART-UNIT-64,单位,战棋单位,64×64,阵营与职业轮廓,人形高44–48目标46脚底Y58中心X32
ART-BG-480,页面,周边页面背景,480×270最多24色,暖纸石材旧木锻铁,1920与960严格4倍和2倍显示
ART-OPENING-BRAND,页面,开场双品牌印记,480×270最多6级灰阶,黑底白标,先OC世界印记后OCC游戏印记；随后仅本机首次设置；再播放游戏级首次世界观动画；1920与960严格4倍和2倍显示；品牌段与动画可跳过但设置不可绕过
ART-PORTRAIT-B,角色,立绘B层,384×576最多40色,身份材质,硬Alpha四边至少2px
ART-PERFORM-C,角色,全身演出C层,192×288最多24色,身份材质,硬Alpha四边至少2px
ART-VFX-32,特效,VFX单帧,32×32最多12色,元素状态色,完整效果4–10个独立帧
ART-UI-BASE,界面,参考画布,1920×1080与960×540,暖纸档案主题,整数位置与Pixel Perfect
ART-UI-SPLIT,界面,战场与右HUD,1440×1080上部区域与480×1080上部区域,中性与状态色,底栏以上75比25
ART-UI-BOTTOM,界面,底部指令栏,1888×200外边距16,深色承重托盘,横跨全宽
ART-UI-GROUPS,界面,底栏五组宽度,200/1100/152/176/204,功能分组,移动武器/术式/交互/战术栏/结束回合
ART-MAP-REGION-BLOCK,地图界面,区域底图与边界,每个区域使用固定色块,区域色,不要求独立地貌建筑或区域背景资产
ART-MAP-LEGEND,地图界面,地图说明,左上角常驻显示区域色块与名称,清晰文字与色块,不得遮挡节点和连线操作
ART-MAP-REGION-MARK,地图界面,区域名称或标识,色块内补充显示,区域色,仅作辅助且不能替代色块和地图说明
ART-SPELL-CARD,界面,术式卡,268×76共8张4×2,2px炭墨细框,名称最多两行且不得侵入64×64图标和60×64费用区；无九宫格厚边灰底边白费用框
ART-SPELL-LOADOUT,界面,术式编组槽,478×104共8张4×2,九宫格厚边与状态色,名称和行动/魔力/冷却摘要各占40px文字槽；内边安全区至少12px
ART-SPELL-DETAIL-COST,界面,术式详情消耗块,164×64共3块,2px状态色细框,行动/魔力/冷却使用32px图标和单行24px文字；不得使用厚框挤压正文
ART-SPELL-TOOLTIP,界面,全游戏共用内容悬浮窗,444×自适应且最高360；2px方角硬边框；顶部类别栏440×50；名称下2px分隔线,术式与装备冷青／物品与正面状态医务绿／负面状态封存红／敌人意图黄铜／地形医务绿,物品／装备／法宝／术式／人物状态／敌人意图／地形／奖励候选共用类别栏→名称→正文结构且不设摘要条；用于鼠标悬停和键盘或手柄聚焦的跨页面快速查看；背包／整备／奖励／商店按Pixso保留页面内完整卡片或详情区；后续游戏内百科可独立成页
ART-FRAME-TEXT-SAFE,界面,厚边框文字安全区,内边至少12px,所有九宫格厚边面板,直接文字不得进入6px边框及6px附加安全距；空间不足改用2px细框或无框分隔
ART-CONTEXT-ACTION,界面,战场右键双行指令,536×104行距112,九宫格厚边,名称与资源摘要各40px且上下内边至少12px
ART-REWARD-CARD,界面,装备／法宝／材料商品与奖励完整选择卡,336×260共3张；预览区高128；预览格32,2px炭墨细框；选中态黄铜色描边；售罄整体降透明度,商店与三选一按Pixso共用完整内容卡；卡内显示类型名称图标选中或售罄状态必要即时价格风味说明占格完整效果比较与确定用途；ART-SPELL-TOOLTIP复用相同内容用于悬停和键盘或手柄焦点；Reward仍先选中后确认并保留放弃奖励确认，Shop仍按可购买商品直接提交，不合并两类行为
ART-COMBAT-STATUS,界面,右侧英雄状态首行,226×40,状态语义色,只展开一个状态其余显示+N且不得侵入行动点与资源条
ART-SPELL-ICON,界面,术式图标,64×64,元素轮廓,快捷键24×24叠左上
ART-SPELL-COST,界面,术式资源块,60×64,深冷炭墨,两枚16px语义图严格2倍显示为32px
ART-FONT-BODY,字体,正文按钮菜单关键数值,24px,FusionPixel12ProportionalZhHans,Normal字形无BestFit阴影或描边
ART-FONT-TITLE,字体,页面标题,48px,FusionPixel12ProportionalZhHans,文字槽至少72px
ART-FONT-FEEDBACK,字体,强反馈,72px,FusionPixel12ProportionalZhHans,短时显示
ART-COLOR-AETHER,颜色,主动以太选中可执行,#2E7B82,冷青仅局部使用,
ART-COLOR-DANGER,颜色,敌对伤害非法危险,#A4493F,封存红不作常规底色,
ART-COLOR-LOOT,颜色,物资维护交互战利品,#A86F22,氧化黄铜,
ART-COLOR-HEAL,颜色,治疗安全成功,#4F785B,医务绿,
ART-PIPELINE,生产,资产状态机,CONCEPT→PROTOTYPE→QA_PENDING→REVIEW_READY→FORMAL_CANDIDATE→FORMAL,可追溯原料,仅FORMAL可进入正式运行时
ART-REVIEW-FIRST-B1,审核,雨后灯庭水面与灯藤v3当前复审,2026-09-05两项QA_PENDING，当前批准0/2,以飞书rev320与本轮用户裁决为基准,旧FORMAL仅追溯；本轮技术2/2与Importer通过；新布局实机接触和人工审美待验；批准0/2，不新增正式替换或扩散复用
ART-PLAN-20260905,规划,首战美术与视觉迭代方案交付,方案与评审页及顺序清单已归档，新增正式资产0项,沿用当前暖纸档案方向,布局、真实移动、攻击/火术与法宝反馈代码门禁通过；底栏双分辨率静态接触已修复遮挡；整体实机与审美待完成；完整目标进行中
ART-VIEWPORT-OVERVIEW,战场表现,首轮全场视口与像素倍率,视口16/80/1408/768；默认64px格；放大128px格,统一世界像素倍率；单位画布2倍格宽,1920与960均整数倍率；血条默认56×8护盾56×4；隐藏非当前范围；特殊地形说明含占位单位
ART-HUD-SAFE-AREA,界面,右侧栏与底栏安全区,右栏1456/80/448/768；底栏顶864,内层2px细框；正文24；资源行32+20,四模块96/244/264/96；保留五个行动位和三资源；摘要两行；详情悬停
ART-ROGUE-INLINE-RESULT,界面,肉鸽节点结果信息归属,事件选项／加工卡／医疗服务卡／商品卡内直接显示条件成本和确定结果,沿用对应功能状态色,不另设结果预览块；事件加工医疗最终确认后结算；商品卡点击直接购买且无确认交易按钮；出发页仅保留耗时且不另设生命结算出身提示或构筑摘要
ART-FEEDBACK-SOURCE,表现,火术结算来源,来源ID与结算前格快照；主动/延迟标记,读取真实结算,延迟触发不重播施法起手；不能将受影响目标当来源；发布不改状态
ART-FEEDBACK-READABILITY,表现,结算与飘字可读性,状态240×48上浮28；伤害168×104上浮52；内边距8,结算字形完整不透明，CanvasGroup淡入淡出,文字不缩放；2px位置量化；格框2px贴合64/128格，仅淡出
ART-VFX-SEQUENCE,表现,多段特效与清理,主动起手120ms；每段180ms；能力/即时反馈分层,实际结算步骤门控，同格依次播放,只挂载不提前命中；重叠新能力替换旧链；随视口更新；关闭动画/退出/重开/停用清理；EditMode通过，实机待验
ART-MOVEMENT-PATH,表现,实际移动路径与信息随行,逐格80ms；120–350ms；64px格位移2px量化,真实路线；连续接续拐点；血盾状态随行；当前足底排序,不可信或过期路径对齐最终状态；无未来路线；不改玩法；EditMode通过，双分辨率实机审美待验
ART-ACTION-CONTACT,表现,动作命中与镜头衔接,攻击160ms；普通投递180ms；火术按实际序列；命中后保留420ms,结算前显示快照；AP与费用即时；死亡地形飘字同一命中时刻,普通攻击/火术时序与法宝复合反馈EditMode通过；AI和结果页等待有界；关闭动画保留反馈；实机待验
ART-ARTIFACT-RESULTS,表现,法宝逐项真实反馈,按结算记录保存来源与目标ID及实际生命/护盾/魔力/状态变化,护盾承伤、消耗、转出、转入、恢复分开；复用既有图标,不读取合计量推测个体伤害；不补发重复飘字；零效果不伪造反馈；反应只消费一次；不恢复已删除状态；实机待验
ART-COMPACT-COMMANDS,界面,底栏指令与快捷槽可读性,武器184×54两行；交互136×54；快捷槽76×54；细框2px,正文24px；32px图标；名称费用分区；空槽槽号与空；占用槽图标槽号次数分区,两档生产UI静态渲染自检通过；82项相关检查通过；不代替实机交互与人工审美；完整目标继续
ART-DECISION-GLYPH,界面,行动摘要实际字形边界,380×52；位置16/40；24px；两行间隔26px；每行最多15字,显式两行；不自动折出第三行；详情悬停,14组双分辨率静态字形检查通过；底部留白1920为6参考px、960为4参考px；实际交互待验
ART-READING-FONT-REVIEW,审核,战斗记录阅读字体口径,统一采用总案FusionPixel12；现有SimHei实现不符合现行口径,实现需同步为FusionPixel12,当前静态渲染只证明布局；SimHei不构成字体例外；全界面字体一致性仍需实机验收
ART-UNIT-ANNOTATIONS,表现,当前行动者定位与敌情避让,64px格角标56×12/2px线/8px角；128档倍增；徽记最多25候选,友方冷青敌方红；避让角色血盾状态及徽记；短正交引线,不改大小排序玩法；离屏隐藏；空间不足报告；引线按需创建；位移徽记沿用所属格点击悬停；实机审美待验
ART-MOVE-RANGE,战场,步数真实性,高亮／有效格数／目标失败原因共用真实路径与当前步数预算,仅当前操作范围显著；沿用现有样式,束缚／AP／回合／结局门控；水藤代价、迟缓、出身加成、障碍占位与变化失效；只读缓存；实机性能待验
ART-TERRAIN-DEPTH,表现,灯藤前沿与地面附属物层级,原图32px按后22行前10行分层；64/128格整数采样,前沿固定地块并按深度遮同格脚部；地面附属物在环境物件之下,空藤合成像素一致；移动不拖地形；命中快照烧毁清理；点击透传；原图GUIDImporter不变；v3仍QA_PENDING0/2；实机审美待验
ART-UNIT-PIXEL-INPUT,交互表现,越格角色输入归属,身体Alpha≥128映射所属格；透明穿透；重叠按绘制深度,当前Rect/UV/事件相机与视口裁剪；沿用格位指令,1bit/像素缓存；绑定时按贴图读取一次；指针事件无读回；组件按需建立；Importer不变；四显示组合射线通过；Play连续输入待验
ART-HOUND-COMPACT-REVIEW,审核,寻迹兽紧凑轮廓候选,64×64画布；可见40×33px；中心X32脚底Y58；23色硬Alpha,内置独立原料经用户授权脚本规范化；美术方向已认可,机器审计及四组Unity静态接触已完成；QA_PENDING；应用人工审美及配套动作与动态待验；未导入或替换正式资产
