"ID","适用范围","触发保证","首次触发条件","界面形式","高亮目标","输入规则","完成条件","存档与重播","备注"
"B1-01","首次存档／战斗1","固定保证","战斗加载完成且尚未开放输入","大型图文页","胜利目标、战场、右侧HUD、底部指令栏","冻结战斗；仅继续可用","点击继续","完成ID写入当前存档；教程档案可重看；设置可跳过后续首次教程","整体系统说明"
"B1-02","首次存档／战斗1","固定保证","两名敌人的首条公开意图已生成","聚光说明卡","敌人与右侧意图","冻结战斗；仅了解可用","点击了解","完成ID写入当前存档；教程档案可重看","一条公开意图对应敌人的一个完整回合"
"B1-03","首次存档／战斗1","固定保证","主角首次获得操作权","聚光说明卡／双箭头","当前行动点、底部指令栏、结束回合","冻结战斗；仅了解可用","点击了解","完成ID写入当前存档；教程档案可重看","主角可在资源允许时连续行动"
"B1-04","首次存档／战斗1","固定保证","首次进入移动模式","操作教学层","真实可达格、路径、行动点费用","仅合法移动与取消可用","完成一次合法移动","动作完成后写入当前存档；中途读档仍等待对应状态","不能以打开面板代替完成"
"B1-05","首次存档／战斗1","固定保证","首次显示武器或术式行动预览","操作教学层","目标、结果预览、行动点／魔力／冷却费用","仅当前动作的取消或合法提交可用","取消或执行该动作","完成ID写入当前存档；教程档案可重看","按实际动作动态显示适用费用"
"B1-06","首次存档／战斗1","固定保证","首个敌方回合即将结算","聚光说明卡","行动条、行动敌人、对应意图","冻结敌方结算；仅继续可用","点击继续后播放行动","确认后写入当前存档；教程档案可重看","动作结算后敌人行动点清空并结束回合"
"B1-07A","首次存档／战斗1","路线分支","路径预览首次经过浅水且移动成本受影响","聚光说明卡","浅水、路径、变化后的移动成本","冻结移动提交；了解后恢复当前预览","点击了解","完成ID写入当前存档；未经过浅水则不触发","在支付额外移动代价前说明"
"B1-07B","首次存档／战斗1","路线分支","路径预览首次经过灯藤且移动、藏身或攻击线规则受影响","聚光说明卡","灯藤、已知第一格及受影响的当前路径或目标关系","冻结移动或攻击提交；了解后恢复当前预览","点击了解","完成ID写入当前存档；未受灯藤规则影响则不触发","说明额外移动消耗、进入后隐藏真实格、从已知格种子搜索和藤内邻接攻击限制"
"B1-08","首次存档／战斗1","路线分支","就地接线首次实际生效","聚光说明卡","护盾、魔力变化、出身来源","冻结后续输入；仅了解可用","点击了解","完成ID写入当前存档；未触发天赋则不出现","先完成真实效果结算再说明来源"
"B1-09","首次存档／战斗1","战斗结果分支","主角首次获得燃烧或束缚","聚光说明卡","实际获得的状态图标、剩余时间、限制说明","冻结后续输入；仅了解可用","点击了解","完成ID写入当前存档；未获得负面状态则不出现","说明卡内容按实际触发状态动态生成"
"B1-10","首次存档／战斗1","固定保证","两名敌人均被击倒且胜利演出完成","结果教学层","保留生命、下场个人魔力恢复规则","仅确认战果可用","确认战果","确认后写入当前存档；教程档案可重看","不在敌人死亡演出前抢占画面"
"B1-11","首次存档／战斗1奖励","固定保证","战斗1固定三选一奖励出现","操作教学层","三个奖励、选择状态、确认区","仅奖励选择与确认可用","选择一个奖励并确认","奖励提交与教程完成随同一存档事务写入","候选固定；选择不固定；结果进入战斗2"
"B2-01","首次存档／战斗2","固定保证","战斗2加载完成且尚未开放输入","大型图文页","中央灯藤圈、蓄能晶簇、器材匣与南侧普通路线","冻结战斗；仅继续可用","点击继续","完成ID写入当前存档；教程档案可重看","说明三条路线都可通关，搜刮与特色机制只改善奖励、节奏或战损"
"B2-02","首次存档／战斗2","路线分支","首次预览会降低蓄能晶簇耐久的合法动作","聚光说明卡／共用悬浮窗","晶簇当前耐久、预计耐久、邻格爆裂范围与碎晶结果","冻结动作提交；了解后恢复当前预览","点击了解","完成ID写入当前存档；未走晶簇路线则不触发","在造成物件伤害前说明；不得把未命中的单位显示为受击"
"B2-03","首次存档／战斗2","路线分支","主角首次取得E4中央检修备件箱的合法互动预览","操作教学层","互动行动、苗床回流芯占格、背包去向与放弃搜刮结果","仅当前互动的取消或合法提交可用","完成搜刮或明确取消","完成ID与器材匣进度分别写入当前存档；未搜刮则不强制触发","跳过说明不代替真实搜刮；器材匣与掉落不因读档刷新"
"B3-01","首次存档／战斗3","固定保证","主角首次实际获得燃烧且伤害包结算完成","聚光说明卡／共用悬浮窗","燃烧图标、来源、强度4、下一触发窗口、剩余持续量2、刷新不叠加规则","冻结后续输入；仅了解可用","点击了解","完成ID写入当前存档；教程档案可重看","战斗1可自然接触燃烧但不替代本次固定完整教学"
"B3-02","首次存档／战斗3","固定保证","燃烧中的主角首次预览一条进入浅水的合法路径","操作教学层","浅水终点、当前燃烧与结果预览中的移除燃烧","冻结移动提交；了解后恢复当前预览","点击了解","完成ID写入当前存档；教程档案可重看","在支付移动代价前直接显示移除结果；浅水不清除其他位置的火场"
"B3-03","首次存档／战斗3","固定保证","主角首次进入浅水且燃烧已实际移除","大型图文页","燃烧、敏捷、束缚、破势四种单位状态及水面／火场／碎晶等场地状态","冻结战斗；仅继续可用","点击继续","完成ID写入当前存档；教程档案可重看","正式收束状态系统；明确单位状态与场地状态的区别"
"X-01","首次存档／精英战","固定保证","楔角首条贯场冲压意图生成","聚光说明卡","锁定目标格、当前可行路线、预计终点、沿途单位／物块碰撞、浅水或干地结算","冻结战斗；仅了解可用","点击了解","完成ID写入当前存档；教程档案可重看","锁定目标不因玩家移动暗换；地形或占位变化会实时刷新路线与预览"
