公式ID,系统,状态,公式或规则,输入,输出,边界与取整,策划用途,权威来源
BAL-CORE-01,行动经济,冻结,每个自身行动回合获得3AP,行动回合,可支配AP,不可为负；动作需在提交前合法,评估单回合动作链,肉鸽战斗伤害与护盾系统_v0.1
BAL-CORE-02,个人魔力,冻结,最大魔力=12；施法后魔力=当前魔力-术式成本,当前魔力与术式魔力成本,施法后魔力,不足成本拒绝；回蓝不超过12,评估资源效率,肉鸽战斗伤害与护盾系统_v0.1
BAL-DMG-01,同次命中伤害包,冻结,原始伤害包=同次命中的武器分量+元素追加分量+其他同包分量,同次命中全部伤害分量,原始伤害包,真正多次命中才分多个包,防止护盾被错误重复结算,肉鸽战斗伤害与护盾系统_v0.1
BAL-DMG-02,百分比减伤,冻结例外,同类减伤取最高；异类剩余倍率相乘；总减伤率=min(50%,1-Π(1-各类最高减伤率)),适用减伤效果,总减伤率,仅显式稀有例外可用,评估防御上限,肉鸽战斗伤害与护盾系统_v0.1
BAL-DMG-03,伤害结算,冻结,减伤后伤害=ceil(原始伤害包×(1-总减伤率)),原始伤害包与总减伤率,减伤后伤害,默认总减伤率=0；不设最低伤害,统一伤害预算,肉鸽战斗伤害与护盾系统_v0.1
BAL-DMG-04,护盾吸收,冻结,护盾吸收=min(当前护盾,减伤后伤害),当前护盾与减伤后伤害,护盾吸收,先于生命；同包只结算一次,评估主动盾价值,肉鸽战斗伤害与护盾系统_v0.1
BAL-DMG-05,生命伤害,冻结,生命伤害=减伤后伤害-护盾吸收,减伤后伤害与护盾吸收,生命损失,无护甲/固定减伤/最低4点规则,评估跨战战损,肉鸽战斗伤害与护盾系统_v0.1
BAL-SHD-01,普通护盾生命周期,冻结,自身回合开始：先清上回合遗留普通盾；再结算本回合开始获盾,普通盾与回合开始来源,当前护盾,不跨战斗/节点/阶段,控制防御覆盖率,肉鸽战斗伤害与护盾系统_v0.1
BAL-SHD-02,同回合叠盾,冻结,当前护盾=Σ不同合法来源的本回合获盾,合法护盾来源,当前护盾,无全局上限；同一来源每自身回合最多一次,防止循环叠盾,肉鸽战斗伤害与护盾系统_v0.1
BAL-SHD-03,掩体护盾,首轮基准,轻掩体=2盾；重掩体=4盾；同回合多满足时取最大值,合法掩体状态,掩体护盾,每自身回合最多一次；不与固定减伤混用,评估站位防御,肉鸽战斗伤害与护盾系统_v0.1
BAL-BRK-01,破势,冻结,施加时移除当前护盾；禁盾至目标下次自身回合结束,目标当前护盾与破势状态,当前护盾和禁盾窗口,无盾仍禁盾；重复仅刷新截止点,评估攻坚与敌盾路线价值,肉鸽战斗伤害与护盾系统_v0.1
BAL-BRN-01,燃烧,冻结档位,同名燃烧不叠层；强度取高且持续取长,燃烧强度和持续,目标燃烧状态,当前常用伤害档8/12；可被清除/消费,评估建立-维持-消费链,火元素个人术式池_v0.2
BAL-TIME-01,行动延时,冻结,下一次行动刻度=原行动间隔+延时,基础间隔与延时,下一行动刻度,轻延时=4；重延时=8,评估高爆发机会成本,战棋数值标尺合同_v0.1
BAL-CD-01,冷却,冻结,术式施放后按自身完整回合递减；归零后恢复可用,冷却值与自身回合,剩余冷却,短/标准/强力/极强=1/2/3/4,评估重复使用频率,战棋数值标尺合同_v0.1
BAL-ENEMY-01,敌人生命基线,现行实现,普通敌人16生命；猎犬12；精英24；首领32-36,敌方原型,敌人最大生命,少数特殊原型起始盾4-6且来源明确,计算击杀行动数,RogueAcademyContentService.cs
BAL-SHD-04,装备回合盾预算,首轮测试基准,典型装备盾前/中/后期=2/4/6；专门盾构筑=2/6-8/10-12,阶段与装备来源,回合护盾预算,非硬上限；需固定种子验证,评估护盾构筑支配性,肉鸽战斗伤害与护盾系统_v0.1
BAL-TEST-01,单项选择率阈值,验证规则,至少12次合法出现后选择率<10%或>70%则复审,合法出现次数与选择次数,复审信号,样本不足仅标INSUFFICIENT EVIDENCE,识别弱势/支配术式,火系60项减法审查与奖励配置_v0.1
BAL-TEST-02,奖励多样性,验证规则,同次奖励等价组冲突=0且个人术式候选不得全部同职责,一次奖励候选,冲突与同职责次数,过滤不足时重抽或公开转金币,验证奖励选择质量,火系60项减法审查与奖励配置_v0.1
