"字段名","字段说明","内容要求","格式或示例","是否必填"
"元素ID","地图元素定义的稳定主键","瓦片、物块、边、场地效果和环境状态共用主键空间","field_water_shallow","是"
"名称","悬停与日志显示名","使用正式短名称","浅水","是"
"类型","语义层分类","瓦片／物块／边／场地效果／环境状态","瓦片","是"
"标签","元素、材质与规则标签","多个用|分隔；没有写无","水|困难地形","是"
"移动消耗","进入该格支付的路径步数","正整数；不可进入写不适用","2","是"
"阻挡移动","是否禁止单位进入","是／否","否","是"
"阻挡攻击线","是否截断要求攻击线的动作","是／否","是","是"
"耐久","可破坏物件的耐久","正整数；不可破坏或非物块写不可破坏／不适用","16","是"
"持续与计时","存在时间及扣减窗口","永久、直到事件或N回合并写明计时者","永久，直到被摧毁","是"
"触发","触发效果的公开窗口","多项用；分隔；没有写无","单位进入；被摧毁","是"
"效果","触发后按顺序执行的结果","多步用；分隔；没有写无","移除燃烧；造成8点以太伤害","是"
"变化后元素","破坏或变化后的定义ID","没有写无","tile_crystal_shard","是"
"边与覆盖规则","连接、方向、搜索或场地覆盖规则","没有写无","正交连接；同级后生成覆盖","是"
"启用","是否可被战场引用","是／否；规则冲突未决写否","是","是"
"版本","规则版本","从1开始的整数","1","是"
