"单位ID","名称","类别","阵营","控制","生命","初始护盾","回合护盾","魔力","速度","移动","AP","占格","技能ID","被动ID","AI与反制","启用","版本"
"hero","维克多·维恩","玩家角色","玩家","玩家","50","0","0","12","11","3","3","1×1","ORIGIN-SPELL-01|BASE-FIRE-MELEE|BASE-FIRE-RANGED|BASE-AETHER-SHIELD|BASE-MANA-RECOVER","ORIGIN-TALENT-01","不适用","是","1"
"core_overseer","塔之守卫","固定首领","敌对","AI","36","6","0","0","8","5","3","1×1","academy_sealed_core_mechanic","无","前三个自身回合逐组放行护障维护、显影巡查与冲压隔离机关并保持霸体；第四回合起使用拆架重锤与塔压，生命不高于30%时进入并链；反制：优先拆除已放行机关以切断护盾与场地联动，再压制核心","是","1"
"barrier_mender","补盾助教","普通支援","敌对","AI","16","4","0","2","7","5","3","1×1","wand|enemy_ward_mend","无","为贴着同一片结构且护盾最低的友军给予4护盾；主角本回合伤到某友军时，下回合优先补该友军；反制：先拆结构或把他与结构分开","是","1"
"breach_ram","楔角","精英构装体","敌对","AI","36","8","4","0","9","5","3","1×1","breach_ram|breach_ram_charge","无","敌方全回合动作；锁定公开格且不暗中换目标但按当前公开地形与占位重算路线；逐格支付地形移动代价；首个可受击单位或物件均受到8点伤害；单位额外沿最后一步推1格，撞玩法物块时单位与有耐久物块各受4点伤害且单位留在位移前格，其他非法终点只取消位移；干地终点清盾并禁止得盾至下个自身回合结束；反制：正面楔形承压头／侧面稳压环／背部泄压阀构成单格轮廓；蓄压／锁线／撞击物块／浅水冷却／干地卸压使用不同姿态或灯色；反制为改位诱导撞晶／藏藤搜查旧入口／浅水缩短冲压／等待卸压","是","1"
"elder_tracker_hound","老寻","精英兽类","敌对","AI","14","0","0","0","10","5","3","1×1","SK-CORE-12|SK-CORE-13|SK-CORE-14|SK-CORE-15|SK-CORE-16","无","读取玩家留下的气味痕并沿痕移动，不受浅水与碎晶的额外消耗影响；痕迹加深后可直接扑击，环鸣待藏身系统接入；反制：用浅水、火或强风清除痕迹，或正面处理它","是","1"
"elite_vanguard","划线教官","精英教职","敌对","AI","24","0","4","2","10","5","3","1×1","hammer|enemy_vanguard_crush","无","造成4点物理伤害并清除护盾施加破势；主角在其所筑墙旁获得护盾或拆除墙体时，下回合优先处理该段结构；反制：避开重击窗口并拆除他筑的结构","是","1"
"lantern_revealer","提灯巡查","普通支援","敌对","AI","16","0","0","1","9","5","3","1×1","wand|enemy_revealing_lantern","无","造成1点奥术伤害并清除护盾施加破势；主角进入藏身时优先把灯转向其方向；反制：切线、用烟尘衰减或先处理破势来源","是","1"
"pyromancer","火矢生","普通学生","敌对","AI","16","0","0","2","9","5","3","1×1","wand|fire_bolt","无","造成5点火焰伤害并施加燃烧4且持续目标2个自身回合；目标自身回合结束时造成4点火焰伤害并扣减1次持续量；重复施加刷新2回合且不叠加强度；反制：切入远程位置／利用攻击线／进入浅水移除燃烧","是","1"
"raider","侧锋生","普通学生","敌对","AI","16","0","0","1","11","5","3","1×1","hammer|enemy_hooking_strike","无","造成3点物理伤害并束缚1回合；反制：控制其接近路线并保护侧背","是","1"
"rune_arbalist","背弩生","普通学生","敌对","AI","16","0","0","1","6","5","3","1×1","heavy_crossbow|enemy_windlass_bolt","无","造成5点物理伤害；失去攻击线后公开新架设点，架设期间不能射击；反制：利用低速与冷却窗口切入或遮断视线","是","1"
"shieldguard","盾术生","普通学生","敌对","AI","16","0","2","1","7","5","3","1×1","shield|enemy_shield_ram","无","造成2点物理伤害并施加敏捷-1，持续1回合；反制：绕侧破势或优先处理其支援者","是","2"
"sigil_mauler","替身偶","训练构造物","敌对","AI","16","0","0","1","8","5","3","1×1","hammer|enemy_sundering_sigil","无","造成2点物理伤害并清除护盾施加破势；反制：保持距离或在接近后优先击杀","是","1"
"stone_snare","拴索助教","普通控制","敌对","AI","16","0","0","2","8","5","3","1×1","wand|enemy_stone_snare","无","造成1点物理伤害并束缚2回合；主角绕开约束纹时，在新路线前一格补刻一处，每回合限一处；反制：切断视线、先处理远程控制源，或用浅水、火场、烟尘覆盖约束纹","是","1"
"tether_hound","寻迹兽","普通魔法生物","敌对","AI","12","0","0","1","10","5","3","1×1","tether_hound_bite|enemy_tether_pounce","无","造成2点物理伤害并束缚1回合；敌方全回合动作；反制：只能近战；一次公开动作后结束回合；利用距离和地形控制其接触节奏","是","1"
"wind_librarian","小铃","精英图书管理员（风系）","敌对","AI","16","2","0","0","9","5","3","1×1","SK-CORE-06|SK-CORE-07|SK-CORE-08|SK-CORE-09|SK-CORE-10|SK-CORE-11","无","回合开始结算一次场地动作，再进行常规攻击或走位；利用散页、风向、火场和页幕改变攻击线与空间；反制：烧光或打湿散页、利用书架挡风，或直接压制她本人","是","1"
"prototype_hand","试制员","精英工坊试制岗","敌对","AI","16","2","0","0","8","5","3","1×1","SK-SUP-13|SK-SUP-14|SK-SUP-15|SK-SUP-16","无","回合开始布放试制件或引爆主角相邻的过载装置，再进行常规攻击或走位；装置被拆后优先补放；反制：优先拆装置、反用过载区，或用生命交换其有限库存","是","1"
"legacy_storekeeper","老库管","精英封存保管","敌对","AI","18","2","0","0","7","5","3","1×1","SK-SUP-17|SK-SUP-18|SK-SUP-19|SK-SUP-20","无","使用旧脉冲清盾并施加破势，退件会清除双方场地效果或装置，登记会清除目标下一次获得的护盾；主角新生成效果时优先退件；反制：利用重物块切断旧脉冲、抢在标记生效前输出，或改用不依赖场地的手段","是","1"
"signal_keeper","灯台值守","普通郊野值守","敌对","AI","11","1","0","0","8","5","3","1×1","SK-SUP-21|SK-SUP-22","无","每个自身回合朝主角方向投出直线6格光柱，柱上单位回合结束时受到5点以太伤害；主角借暗段绕行时每场最多转镜2次；反制：沿遮蔽形成的暗段切线，或近身处理他","是","1"
