"敌人","敌人分类","循环","意图名字","伤害","范围","施加状态","获得效果／护盾","被动","口径"
"替身偶","训练构造物","普通攻击","双手重锤","按武器配置","相邻1格","无","无","无","临时补全"
"替身偶","训练构造物","移动","追击移动","无","5步内路径","无","移动至相邻攻击位","无","临时补全"
"替身偶","训练构造物","范围攻击","锤印震环","2物理","自身周围正交4格","破势","无","无","提案"
"补盾助教","普通支援","普通攻击","以太手杖","按武器配置","按武器射程","无","无","借墙：掩体被拆时获得4护盾","临时补全"
"补盾助教","普通支援","移动","追击移动","无","5步内路径","无","移动至攻击位或支援位","借墙","临时补全"
"补盾助教","普通支援","范围攻击","覆障投射","无","以友军为中心十字5格","无","同结构旁的友军各获得2护盾","借墙","提案"
"补盾助教","普通支援","防守／套盾","借墙整备","无","自身","无","获得2护盾；结构被拆时移除","借墙","提案"
"寻迹兽","普通魔法生物","普通攻击","导能撕咬","按武器配置","相邻1格","无","无","搜查：灯藤入口搜查","临时补全"
"寻迹兽","普通魔法生物","移动","追击移动","无","5步内路径","无","移动至相邻攻击位","搜查","临时补全"
"寻迹兽","普通魔法生物","范围攻击","缚环低吼","无","自身周围十字5格","束缚1回合","无","搜查","提案"
"盾术生","普通学生","普通攻击","训练盾击","按武器配置","相邻1格","无","无","回合整盾：回合开始获得2护盾","临时补全"
"盾术生","普通学生","移动","追击移动","无","5步内路径","无","移动至相邻攻击位","回合整盾","临时补全"
"盾术生","普通学生","范围攻击","盾面横扫","2物理","前方3格扇面","迟缓1回合","无","回合整盾","提案"
"盾术生","普通学生","防守／套盾","整盾防守","无","自身","无","获得4护盾","回合整盾","提案"
"火矢生","普通学生","普通攻击","以太手杖","按武器配置","按武器射程","无","无","无","临时补全"
"火矢生","普通学生","移动","追击移动","无","5步内路径","无","移动至有攻击线的位置","无","临时补全"
"火矢生","普通学生","范围攻击","爆炎散射","3火焰","目标格加正交4格","燃烧2，持续2目标回合","无","无","提案"
