"记录类型","敌人","敌人分类","循环状态","意图名字","意图类别","选择条件／公开规则","意图效果描述","执行后状态","被动／状态","口径"
"状态机","通用","全敌人","判定","条件应对","条件反应","已公开的条件反应被触发时优先；每回合最多执行1条。","按单位已公开的反应结果执行；不与移动或攻击连用。","判定","触发条件与结果必须同意图公开。","临时提案"
"状态机","通用","全敌人","判定","范围意图","主动","冷却、次数、目标与攻击线合法；若范围会覆盖玩家角色或关键地块，则优先于专属单体技能。","公开范围、目标与效果；敌方下一回合只执行这一项。","判定","范围必须在执行前完整显示。","临时提案"
"状态机","通用","全敌人","判定","专属意图","主动","专属技能合法且未被范围意图或条件应对占用。","按单位技能配置结算。","判定","冷却、次数与资源按自身回合结算。","现有规则归纳"
"状态机","通用","全敌人","判定","普通攻击","常规攻击","普通武器的目标、射程、攻击线均合法，且没有更高优先级意图。","按普通武器配置造成单体伤害；不附带专属技能效果。","判定","只造成武器定义的伤害。","临时补全"
"状态机","通用","全敌人","判定","追击移动","常规移动","没有合法攻击、范围或专属技能，且存在可达的下一攻击位。","沿公开的最低成本路径移动至该攻击位；敌人基础步数为5，受迟缓、束缚和地形移动消耗影响。","判定","只移动，不可在同一回合追加攻击。","临时补全"
"状态机","通用","全敌人","判定","防守／套盾","常规防守","无合法攻击位，且该单位具有护盾来源或配置了防守意图。","获得配置指定的护盾，或进入所依赖的掩体／结构相邻格；不得凭空为无防守配置的单位套盾。","判定","护盾在单位自身回合开始按现行规则清除与重算。","临时补全"
"状态机","通用","全敌人","判定","停留","兜底","上述意图均不合法，或无可达攻击位。","停留并结束回合。","判定","不得读取未公开信息或绕过阻挡。","现有规则归纳"
"意图","替身偶","训练构造物","判定","普通攻击·双手重锤","常规攻击","正交相邻存在玩家角色；无更高优先级意图。","按双手重锤的普通武器配置造成单体物理伤害。","判定","无。","临时补全"
"意图","替身偶","训练构造物","判定","追击移动","常规移动","不相邻且存在可达近战攻击位。","向可攻击玩家角色的相邻格移动。","判定","受束缚、迟缓与地形移动消耗影响。","临时补全"
"意图","替身偶","训练构造物","判定","锤印震环","范围攻击","玩家角色位于自身正交相邻格；冷却2自身回合。","以自身为中心，对四个正交相邻格各造成2点物理伤害并施加破势。","判定","破势。","补充提案"
"意图","补盾助教","普通支援","判定","普通攻击·以太手杖","常规攻击","射程与攻击线合法，且不存在护盾低于阈值的贴墙友军。","按以太手杖的普通武器配置造成单体伤害。","判定","借墙被动：掩体被拆除时获得4护盾。","临时补全"
"意图","补盾助教","普通支援","判定","追击移动","常规移动","无法攻击，且无法对贴墙友军施放贴墙续盾。","移动至可攻击玩家角色或可支援友军的位置。","判定","结构护盾。","临时补全"
"意图","补盾助教","普通支援","判定","覆障投射","范围支援","3格内至少2名友军贴靠同一结构，且其中任一护盾为0；冷却3自身回合。","选定友军为中心的十字5格；其中贴靠同一结构的友军各获得2护盾。","判定","结构护盾；掩体被拆除时由来源一并移除。","补充提案"
"意图","寻迹兽","普通魔法生物","判定","普通攻击·导能撕咬","常规攻击","正交相邻存在玩家角色，且撕咬专属技能不合法。","按导能撕咬的普通武器配置造成单体物理伤害。","判定","搜查被动关联灯藤与藏身。","临时补全"
"意图","寻迹兽","普通魔法生物","判定","追击移动","常规移动","没有可用近战意图且存在可达相邻格。","向玩家角色相邻格移动。","判定","束缚时不可执行。","临时补全"
"意图","寻迹兽","普通魔法生物","判定","缚环低吼","范围控制","玩家角色位于自身2格内；冷却3自身回合。","以自身为中心的十字5格内单位获得束缚1回合；不造成伤害。","判定","束缚。","补充提案"
"意图","盾术生","普通学生","判定","普通攻击·训练盾击","常规攻击","正交相邻存在玩家角色，且铭盾冲撞不合法。","按训练盾击的普通武器配置造成单体物理伤害。","判定","回合整盾：自身回合开始获得2护盾。","临时补全"
"意图","盾术生","普通学生","判定","追击移动","常规移动","没有合法近战意图且存在可达相邻格。","向玩家角色相邻格移动。","判定","受束缚、迟缓与地形移动消耗影响。","临时补全"
"意图","盾术生","普通学生","判定","盾面横扫","范围攻击","玩家角色位于正前、左前或右前相邻格；冷却3自身回合。","对面向前方的3格扇面各造成2点物理伤害并施加迟缓1回合。","判定","迟缓。","补充提案"
"意图","火矢生","普通学生","判定","普通攻击·以太手杖","常规攻击","射程与攻击线合法，且火矢不合法。","按以太手杖的普通武器配置造成单体伤害。","判定","无。","临时补全"
"意图","火矢生","普通学生","判定","追击移动","常规移动","没有合法远程攻击位。","移动至具有攻击线的远程攻击位。","判定","攻击线。","临时补全"
"意图","火矢生","普通学生","判定","爆炎散射","范围攻击","3至5格内存在有攻击线的目标格；冷却2自身回合。","公开选定目标格；目标格及其四个正交相邻格各受3点火焰伤害，并施加燃烧2，持续2个目标自身回合。","判定","燃烧；火焰伤害。","补充提案"
"意图","侧锋生","普通学生","判定","普通攻击·限位钩刃","常规攻击","正交相邻存在玩家角色，且钩刃牵制不合法。","按限位钩刃的普通武器配置造成单体物理伤害。","判定","无。","临时补全"
"意图","侧锋生","普通学生","判定","追击移动","常规移动","没有合法近战意图且存在可达相邻格。","向玩家角色侧后方优先的相邻攻击位移动。","判定","束缚时不可执行。","临时补全"
"意图","侧锋生","普通学生","判定","钩刃扫切","范围攻击","玩家角色位于正前、左前或右前相邻格；冷却3自身回合。","对面向前方的3格扇面各造成2点物理伤害；命中中心格的单位额外束缚1回合。","判定","束缚。","补充提案"
"意图","划线教官","精英教职","判定","普通攻击·刻阵重锤","常规攻击","正交相邻存在玩家角色，且拆架不合法。","按刻阵重锤的普通武器配置造成单体物理伤害。","判定","守位：贴靠自身所筑墙时回合开始额外获得4护盾。","临时补全"
"意图","划线教官","精英教职","判定","追击移动","常规移动","没有可用专属意图或近战攻击位。","移动至可攻击玩家角色或可执行划线的结构位。","判定","结构护盾。","临时补全"
"意图","划线教官","精英教职","判定","封线夯墙","范围攻击","直线3格内存在至少2格可合法生成临时重掩体的位置；冷却3自身回合。","公开一条直线3格，在其上生成最多3段耐久12临时重掩体；阻挡移动与攻击线。","判定","临时重掩体；结构护盾。","补充提案"
"意图","拴索助教","普通控制","判定","普通攻击·以太手杖","常规攻击","射程与攻击线合法，且石索不合法。","按以太手杖的普通武器配置造成单体伤害。","判定","无。","临时补全"
"意图","拴索助教","普通控制","判定","追击移动","常规移动","没有可用控制或攻击意图。","移动至可攻击玩家角色或可在其路径前刻印的位置。","判定","约束纹。","临时补全"
"意图","拴索助教","普通控制","判定","石索封线","范围攻击","直线3格内至少2格为空格；冷却3自身回合。","公开一条直线3格，并在每格刻下持续2回合的约束纹；进入任一格的单位该回合留在原地。","判定","约束纹。","补充提案"
"意图","提灯巡查","普通支援","判定","普通攻击·刻纹铜灯","常规攻击","射程与攻击线合法，且转灯不合法。","按刻纹铜灯的普通武器配置造成单体伤害。","判定","无。","临时补全"
"意图","提灯巡查","普通支援","判定","追击移动","常规移动","没有可用光带或攻击位。","移动至可让显影光带覆盖玩家角色路线的位置。","判定","光带；暗段。","临时补全"
"意图","提灯巡查","普通支援","判定","双灯扫照","范围攻击","两条相邻直线各至少覆盖1格合法地面；冷却3自身回合。","公开两条平行、各长3格的显影光带；光带上单位无法藏身、护盾被清除并受1点奥术伤害。","判定","光带；暗段；护盾清除；藏身无效。","补充提案"
"意图","背弩生","普通学生","判定","普通攻击·绞盘重弩","常规攻击","目标位于2至4格且攻击线合法，且重矢不合法。","按绞盘重弩的普通武器配置造成单体物理伤害。","判定","退距：无法命中时后退1格并重新架设。","临时补全"
"意图","背弩生","普通学生","判定","追击移动","常规移动","没有可用射击位。","移动或后退至2至5格且有攻击线的架设位。","判定","攻击线；架弩。","临时补全"
"意图","背弩生","普通学生","判定","裂矢","范围攻击","已架设，且3至5格存在有攻击线的目标格；冷却3自身回合。","公开选定目标格；目标格及四个正交相邻格各受3点物理伤害。","判定","攻击线。","补充提案"
"意图","塔之守卫","固定首领","判定","普通攻击·核心重击","常规攻击","相邻存在玩家角色，且拆架重锤不合法。","按核心重击的普通武器配置造成单体物理伤害。","判定","维护链各被动仍按阶段结算。","临时补全"
"意图","塔之守卫","固定首领","判定","推进移动","常规移动","阶段0固定意图或无合法攻击时。","按当前阶段规则向公开目标格移动；不与攻击同回合执行。","判定","阶段0不会被打倒、推离或阻挡。","临时补全"
"意图","塔之守卫","判定","塔压","范围攻击","现有技能；沿正交攻击线存在玩家角色；冷却1自身回合。","沿自身至玩家角色的正交直线结算，长度4加已放行机关数（上限6格），每格伤害5加机关数（上限8点），被物块截断。","判定","攻击线；维护链。","现有技能"
"意图","楔角","精英构装体","判定","普通攻击·普通撞击","常规攻击","正交相邻存在玩家角色，且贯场冲压不合法。","按普通撞击的普通武器配置造成单体物理伤害。","判定","锁线；干地卸压；浅水冷却。","临时补全"
"意图","楔角","精英构装体","判定","追击移动","常规移动","冲压不合法且不存在近战目标。","移动至可锁定冲压线或近战攻击位。","判定","移动消耗；浅水。","临时补全"
"意图","楔角","精英构装体","判定","贯场冲压","范围攻击","现有技能；锁定路线上的首个可受击目标存在。","沿公开锁定路线推进最多5格；首个可受击目标受8点伤害，单位沿最后一步方向推1格。","判定","移动消耗；强制位移；护盾。","现有技能"
"意图","老寻","精英兽类","判定","普通攻击·近战撕咬","常规攻击","正交相邻存在玩家角色，且扑咬不合法。","按近战撕咬的普通武器配置造成单体物理伤害。","判定","留味：玩家路径格留下持续3回合气味痕。","临时补全"
"意图","老寻","精英兽类","判定","追击移动","常规移动","没有可用近战意图且存在可达相邻格。","优先沿气味痕移动至玩家角色相邻格。","判定","循味使沿痕移动力加2，并免除浅水与碎晶额外消耗。","临时补全"
"意图","老寻","精英兽类","判定","环鸣","范围攻击","现有技能；4格内存在可标记单位；冷却2自身回合。","标记4格内所有单位1回合；被标记单位藏身无效。","判定","标记；藏身。","现有技能"
"意图","小铃","精英图书管理员（风系）","判定","普通攻击·引风短杖","常规攻击","射程与攻击线合法，且无可用场地意图。","按引风短杖的普通武器配置造成单体伤害。","判定","风仅搬动散页、碎晶与烟尘。","临时补全"
"意图","小铃","精英图书管理员（风系）","判定","追击移动","常规移动","没有可用场地意图或攻击位。","移动至可用散页、火场或可攻击玩家角色的位置。","判定","风；散页；火场。","临时补全"
"意图","小铃","精英图书管理员（风系）","判定","卷页／引火","范围攻击","现有范围技能；存在满足散页或火场条件的合法目标。","卷页消耗1格散页造成4点伤害；引火将已着火散页沿风吹出最多3格，沿途与被撞单位各受6点火焰伤害并在终点留下火场。","判定","散页；风；火场。","现有技能"
"意图","试制员","精英工坊试制岗","判定","普通攻击·工具","常规攻击","正交相邻存在玩家角色，且引爆不合法。","按工具的普通武器配置造成单体物理伤害。","判定","试制件均可被双方拆除。","临时补全"
"意图","试制员","精英工坊试制岗","判定","追击移动","常规移动","无法布放、引爆或攻击。","移动至可布放试制件或可攻击玩家角色的相邻格。","判定","护罩发生器；过载装置。","临时补全"
"意图","试制员","精英工坊试制岗","判定","连锁过载","范围攻击","场上至少2件过载装置且任一装置与玩家角色相邻；每场2次。","公开选定一件相邻过载装置并引爆；与其正交相邻的另一过载装置同时引爆；每次爆炸各造成8点以太伤害，敌我一致。","判定","过载装置；范围伤害。","补充提案"
"意图","老库管","精英封存保管","判定","普通攻击·旧式检定器","常规攻击","射程与攻击线合法，且旧脉冲不合法。","按旧式检定器的普通武器配置造成单体伤害。","判定","无。","临时补全"
"意图","老库管","精英封存保管","判定","追击移动","常规移动","没有可用专属意图或攻击位。","移动至可建立旧脉冲攻击线或普通攻击线的位置。","判定","攻击线。","临时补全"
"意图","老库管","精英封存保管","判定","旧脉冲","范围攻击","现有技能；直线4格内存在攻击线。","沿通过自身与玩家角色的正交直线结算；直线上每个单位受5点以太伤害、护盾清空并施加破势，被物块截断。","判定","攻击线；护盾；破势。","现有技能"
"意图","灯台值守","普通郊野值守","判定","普通攻击·塔上灯镜","常规攻击","射程与攻击线合法，且转镜不合法。","按塔上灯镜的普通武器配置造成单体伤害。","判定","无。","临时补全"
"意图","灯台值守","普通郊野值守","判定","追击移动","常规移动","没有可用光柱或攻击位。","移动至可让光柱或普通攻击覆盖玩家角色路线的位置。","判定","光柱；暗段。","临时补全"
"意图","灯台值守","普通郊野值守","判定","转镜","范围攻击","现有技能；每自身回合可投出一条直线6格光柱。","光柱随观测方向转动；自身回合结束时柱上单位受5点以太伤害；被重掩体、建筑或灯藤遮断处形成暗段。","判定","光柱；暗段。","现有技能"
"意图","补盾助教","普通支援","判定","借墙整备","防守／套盾","无法对贴墙友军施放贴墙续盾，且自身贴靠掩体或物块；冷却2自身回合。","自身获得2护盾；若该掩体或物块在下个自身回合开始前被拆除，该护盾立即移除。","判定","结构护盾。","补充提案"
"意图","盾术生","普通学生","判定","整盾防守","防守／套盾","本回合没有合法近战攻击位，且当前护盾为0；冷却2自身回合。","自身获得4护盾，并在下个自身回合开始时按回合整盾被动照常重算。","判定","护盾。","补充提案"
"意图","划线教官","精英教职","判定","守墙整备","防守／套盾","自身贴靠所筑临时重掩体，且本回合没有合法拆架或攻击意图；冷却2自身回合。","自身获得4护盾；该段临时重掩体被拆除时，结构护盾立即移除。","判定","结构护盾；临时重掩体。","补充提案"
