"敌人","成长意图","伤害","范围","施加状态","获得效果／护盾","口径"
"替身偶","重锤蓄势","0","自身","无","力量+1","提案"
"补盾助教","护障蓄能","0","自身","无","韧性+1","提案"
"寻迹兽","猎意增长","0","自身","无","力量+1；敏捷+1","提案"
"盾术生","整盾成长","0","自身","无","力量+1；韧性+1；立即获得2护盾","提案"
"火矢生","火矢蓄热","0","自身","无","法强+1","提案"
"侧锋生","侧锋蓄势","0","自身","无","力量+1","提案"
"划线教官","阵列加固","0","自身","无","力量+2；韧性+1；立即获得4护盾","提案"
"拴索助教","石索蓄能","0","自身","无","法强+1；控制+1","提案"
"提灯巡查","灯芯增亮","0","自身","无","法强+1","提案"
"背弩生","绞盘上紧","0","自身","无","力量+2","提案"
"塔之守卫","维护增压","0","自身","无","力量+2；法强+2","提案"
"楔角","冲压蓄能","0","自身","无","力量+2","提案"
"老寻","猎群本能","0","自身","无","力量+2；敏捷+1","提案"
"小铃","风场增强","0","自身","无","法强+2","提案"
"试制员","过载校准","0","自身","无","法强+2","提案"
"老库管","检定加压","0","自身","无","法强+2","提案"
"灯台值守","灯台升压","0","自身","无","法强+2","提案"
