"技能ID","稀有度","层级定位","版本"
"F-P-M01","普通","稳定骨架","v0.3"
"F-P-M02","普通","稳定骨架","v0.3"
"F-P-M03","罕见","空间转化","v0.3"
"F-P-M04","普通","稳定骨架","v0.3"
"F-P-M05","罕见","空间转化","v0.3"
"F-P-M06","普通","稳定骨架","v0.3"
"F-P-M07","稀有","终端改写","v0.3"
"F-P-M08","罕见","空间转化","v0.3"
"F-P-M09","罕见","空间转化","v0.3"
"F-P-M10","普通","稳定骨架","v0.3"
"F-P-M11","普通","稳定骨架","v0.3"
"F-P-M12","罕见","空间转化","v0.3"
"F-P-M13","稀有","终端改写","v0.3"
"F-P-M14","普通","稳定骨架","v0.3"
"F-P-M15","普通","稳定骨架","v0.3"
"F-P-M16","普通","稳定骨架","v0.3"
"F-P-M17","罕见","空间转化","v0.3"
"F-P-M18","普通","稳定骨架","v0.3"
"F-P-M19","罕见","空间转化","v0.3"
"F-P-M20","稀有","终端改写","v0.3"
"F-P-U01","普通","稳定骨架","v0.3"
"F-P-U02","普通","稳定骨架","v0.3"
"F-P-U03","罕见","空间转化","v0.3"
"F-P-U04","普通","稳定骨架","v0.3"
"F-P-U05","罕见","空间转化","v0.3"
"F-P-U06","普通","稳定骨架","v0.3"
"F-P-U07","普通","稳定骨架","v0.3"
"F-P-U08","罕见","空间转化","v0.3"
"F-P-U09","普通","稳定骨架","v0.3"
"F-P-U10","罕见","空间转化","v0.3"
"F-P-U11","普通","稳定骨架","v0.3"
"F-P-U12","罕见","空间转化","v0.3"
"F-P-U13","罕见","空间转化","v0.3"
"F-P-U14","普通","稳定骨架","v0.3"
"F-P-U15","普通","稳定骨架","v0.3"
"F-P-U16","罕见","空间转化","v0.3"
"F-P-U17","稀有","终端改写","v0.3"
"F-P-U18","普通","稳定骨架","v0.3"
"F-P-U19","稀有","终端改写","v0.3"
"F-P-U20","稀有","终端改写","v0.3"
"F-P-R01","普通","稳定骨架","v0.3"
"F-P-R02","普通","稳定骨架","v0.3"
"F-P-R03","普通","稳定骨架","v0.3"
"F-P-R04","普通","稳定骨架","v0.3"
"F-P-R05","罕见","空间转化","v0.3"
"F-P-R06","罕见","空间转化","v0.3"
"F-P-R07","普通","稳定骨架","v0.3"
"F-P-R08","罕见","空间转化","v0.3"
"F-P-R09","罕见","空间转化","v0.3"
"F-P-R10","罕见","空间转化","v0.3"
"F-P-R11","罕见","空间转化","v0.3"
"F-P-R12","普通","稳定骨架","v0.3"
"F-P-R13","普通","稳定骨架","v0.3"
"F-P-R14","稀有","终端改写","v0.3"
"F-P-R15","罕见","空间转化","v0.3"
"F-P-R16","稀有","终端改写","v0.3"
"F-P-R17","普通","稳定骨架","v0.3"
"F-P-R18","普通","稳定骨架","v0.3"
"F-P-R19","普通","稳定骨架","v0.3"
"F-P-R20","稀有","终端改写","v0.3"
