id,名称,分线,稀有度,AP,魔力,冷却_自身回合,延时_行动条,射程,目标与形状,核心效果,平衡职责,奖励等价组,学院奖励资格,平衡状态,策划备注
F-P-M01,热脉增压,M近战,普通,1,3,1,0,自身,自身单体,本行动移动+2且下次相邻近战追加8点火焰伤害,接敌兼小爆发,FIRE-ENGAGE,是,待固定种子验证,束缚时拒绝
F-P-M02,炉压突步,M近战,普通,1,3,1,0,2,空格路径,直线突进至敌相邻空格但不攻击,纯接敌,FIRE-ENGAGE,是,待固定种子验证,不可穿单位墙体
F-P-M03,焦痕跃进,M近战,少见,2,4,2,0,3,空格路径,起点生成火场2回合；突进并伤害路径邻接目标,攻击型接敌,FIRE-ENGAGE,是,已接入待实机验收,路径终点须合法；单位与物件同值
F-P-M04,热流折步,M近战,普通,1,2,1,0,1,相邻敌单体,与敌交换位置,换位,FIRE-SELF-CLEANSE,是,待固定种子验证,锚定/束缚拒绝
F-P-M05,爆燃追步,M近战,少见,1,3,2,0,1,相邻敌单体,标记敌人；其首次主动移动后追至原格,追击反应,独立,是,待固定种子验证,每次仅一次
F-P-M06,熔势贯击,M近战,普通,1,3,1,0,自身,自身附着,下次近战命中后施加破势,接触破势,FIRE-BREAK-APPLY,是,待固定种子验证,无盾目标仍禁盾
F-P-M07,炉心穿刺,M近战,稀有,2,5,3,4,1,相邻燃烧敌,造成20点武器伤害和8点火焰伤害；施加破势并消耗燃烧,爆发攻坚,FIRE-BREAK-ATTACK,是,待同步,策划要求同次命中合并伤害包
F-P-M08,炉压横扫,M近战,少见,2,4,2,0,3,前方3格锥形,扇形内造成12点武器伤害和4点火焰伤害；伤及友军,近距范围,FIRE-CONE-DAMAGE,是,待固定种子验证,重掩体截断
F-P-M09,热震重击,M近战,少见,2,4,2,4,1,相邻敌单体,造成16点武器伤害＋8点火焰伤害并推1格,击退重击,独立,是,待同步,策划要求同次命中合并伤害包
F-P-M10,熔隙刺击,M近战,普通,1,3,1,0,1,相邻敌单体,对破势目标造成20点武器伤害；否则造成12点武器伤害,破势收割,独立,是,待固定种子验证,不消费破势
F-P-M11,热障架势,M近战,普通,1,3,2,0,自身,自身姿态,首次远距受伤前获得8盾,反远程防御,FIRE-RANGED-DEFENSE,是,待固定种子验证,相邻伤害不触发
F-P-M12,余烬格挡,M近战,少见,1,3,2,0,自身,自身姿态,获得12点护盾；首次受相邻攻击后再得4点护盾,攻防转盾,FIRE-ACTIVE-SHIELD,是,待固定种子验证,普通盾下回合开始清除
F-P-M13,炉心反击,M近战,稀有,1,4,3,0,自身,自身姿态,首次受相邻攻击后，反击12点武器伤害和4点火焰伤害,近战反应,独立,是,待固定种子验证,远程不触发
F-P-M14,灼缚解离,M近战,少见,1,3,2,0,1,相邻敌单体,清除自身束缚并对敌人造成8点火焰伤害,脱困,FIRE-SELF-CLEANSE,是,待固定种子验证,无束缚不可施放
