"ID","slug","名称","元素工程","来源与稀有度","占格重量","AP与次数","内容池","目标与合法性","确定性效果","代价风险反制","构筑用途"
"F-T01","demolition_canister","炎脉封装筒","火倾向；火","学院试制，当代制作，稀有","2×1 / 2","2 / 2","精英、宝藏、首领奖励","4 格内可见空格；十字范围；重掩体截断投放线","范围内单位各受 16 火伤，友军同样受影响；轻掩体立即摧毁，重掩体不受直接摧毁；结算后范围内空格生成 8 伤、持续 6 行动条刻度的燃烧地格","2 AP；会误伤并封住己方路线；分散、离开十字、重掩体与清除火场可反制","唯一“破障伤害 + 临时火场”法宝；破障、区域封锁、火构筑联动"
"G-T01","aegis_fold","折盾匣","通用；光相位护幕","持证护具工坊，当代制作，少见","2×2 / 1","1 / 3","普通/精英奖励、商店","3 格内可见友军或自身","目标获得 20 护盾","1 AP；不治疗生命、不清状态；集中火力、破盾和延迟交战可消耗收益","纯即时加盾；守点、救援、护送容错"
"G-T02","phase_spindle","移相线轴","通用；风相位动量","学院定距器旧型，当代制作，稀有","1×2 / 1","1 / 2","精英、宝藏","自身；选择 3 格内可见、未占用、可站立空格；不能穿过重掩体闭合边界；束缚时非法","使用者直接移至目标格","1 AP；施放后下一次行动延后 4 刻度；束缚、封死落点与重掩体边界可反制","唯一主动自位移；接敌、撤离、越过单位堵位"
"G-T03","binding_frame","缚位框","通用；土相位锚定","边境猎团，当代制作，少见","2×2 / 2","2 / 2","精英、猎团事件","3 格内可见敌方单位","施加束缚 1 个目标回合","2 AP；目标仍能攻击、施术和使用物品；清除、远程攻击及原地任务互动可反制","单体硬控，不附伤害；守点、断追击、拆近战阵型"
"G-T04","survey_lens","显迹测镜","通用；光相位显影","遗迹勘验行，当代制作，普通","1×1 / 1","1 / 4","普通奖励、商店、调查战利品","待重写","待重写：原效果使用已删除的显形状态","待重写","保留条目编号，不作为当前可用内容"
"G-T05","field_siphon","以太虹吸泵","通用；暗相位吸收","边境检修工坊，当代制作，少见","3×2 / 2","1 / 3","商店、检修事件、精英奖励","自身；个人魔力未满且当前生命大于 8","恢复 4 个人魔力，然后失去 8 生命；生命损失绕过护盾","1 AP；可能把自己置于斩杀线；治疗、直接压血与迫使其满魔可改变取舍","唯一“生命换魔力”；资源循环与风险爆发"
"G-T06","mending_lattice","复元编架","通用；水相位复元","教会救护工坊，当代制作，稀有","3×2 / 3","1 / 2","医护事件、宝藏、精英奖励","3 格内可见友军或自身；目标生命未满且至少有 12 护盾","目标恢复 20 生命，再失去 12 护盾；两步均不超过/低于各自边界","1 AP；不能无盾救治，且会拆除当下防线；集中火力和先破盾可令其失去合法目标","唯一“护盾换生命”；恢复、救援与护盾构筑转换"
"G-T07","cover_stamp","掩体压模","通用；土相位构筑","城镇守备石工作坊，当代制作，少见","3×2 / 4","2 / 2","商店、精英奖励、守备事件","2 格内可见、未占用、有承重表面的空格；任务格/现有物件格非法","在目标格建立 24 耐久轻掩体","2 AP；占格且双方都能利用或摧毁；穿透、绕侧、物件伤害可反制","唯一造掩体；守点、改线、保护 NPC/装置"
"G-T08","breach_wedge","解构楔","通用；土相位震裂","采石行会，当代制作，普通","1×2 / 2","1 / 4","普通奖励、商店、物件战利品","相邻轻/重掩体或装置","目标物件失去 24 耐久；不波及单位","1 AP；必须贴身，重掩体与核心装置通常需多次处理；占位保护、推拉与近战威胁可反制","唯一低成本近距破障；开路、任务物攻坚、拆敌构筑"
"G-T09","relay_compass","导位罗盘","通用；风相位牵引","商路救援队，当代制作，少见","1×1 / 1","1 / 3","商店、救援事件、精英奖励","4 格内可见友军或敌人；必须能沿主轴建立朝向使用者的逐格路径","目标向使用者拉近至多 2 格，遇边界、阻挡或占用格立即停止","1 AP；不造成伤害；定锚、障碍、错开主轴和占格可反制","唯一他者牵引；救援、拉离掩体、聚怪、调整任务位置"
