"敌人","敌人分类","意图类型","意图名字","伤害","范围","施加状态","获得效果或护盾","口径"
"背弩生","普通学生","成长","绞盘上紧","0","自身","力量+2","无","提案"
"背弩生","普通学生","范围攻击","裂矢","3物理","目标格加正交4格","无","无","提案"
"背弩生","普通学生","攻击","绞盘重弩","3物理","直线2至4格","无","无","现有"
"背弩生","普通学生","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"补盾助教","普通支援","成长","护障蓄能","0","自身","护盾授予+1","无","提案"
"补盾助教","普通支援","范围支援","覆障投射","0","以友军为中心十字5格","无","同结构旁友军各+2护盾","提案"
"补盾助教","普通支援","防守／套盾","借墙整备","0","自身","护盾效能+1","立即获得2护盾","临时提案"
"补盾助教","普通支援","攻击","以太手杖","3奥术","直线3格","无","无","现有"
"补盾助教","普通支援","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"侧锋生","普通学生","成长","侧锋蓄势","0","自身","力量+1","无","提案"
"侧锋生","普通学生","范围攻击","钩刃扫切","2物理","前方3格扇面","中心格束缚1回合","无","提案"
"侧锋生","普通学生","攻击","限位钩刃","6物理","相邻1格","无","无","现有"
"侧锋生","普通学生","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"灯台值守","普通郊野值守","成长","灯台升压","0","自身","法强+2","无","提案"
"灯台值守","普通郊野值守","范围攻击","转镜","6以太","直线6格","被遮挡处形成暗段","无","提案"
"灯台值守","普通郊野值守","攻击","塔上灯镜","3奥术","直线3格","无","无","提案"
"灯台值守","普通郊野值守","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"盾术生","普通学生","成长","整盾成长","0","自身","力量+1；护盾效能+1","立即获得2护盾","提案"
"盾术生","普通学生","范围攻击","盾面横扫","2物理","前方3格扇面","敏捷-1持续1回合","无","提案"
"盾术生","普通学生","防守／套盾","整盾防守","0","自身","护盾效能+1","立即获得4护盾","临时提案"
"盾术生","普通学生","攻击","训练盾击","2物理","相邻1格","无","无","现有"
"盾术生","普通学生","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"划线教官","精英教职","成长","阵列加固","0","自身","力量+2；护盾效能+1","立即获得4护盾","提案"
"划线教官","精英教职","范围控制","封线夯墙","0","直线3格","无","生成3段耐久12重掩体","提案"
"划线教官","精英教职","防守／套盾","守墙整备","0","自身","护盾效能+1","立即获得4护盾","临时提案"
"划线教官","精英教职","攻击","刻阵重锤","7物理","相邻1格","无","无","提案"
"划线教官","精英教职","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"火矢生","普通学生","成长","火矢蓄热","0","自身","法强+1","无","提案"
"火矢生","普通学生","范围攻击","爆炎散射","3火焰","目标格加正交4格","燃烧2，持续2目标回合","无","提案"
"火矢生","普通学生","攻击","以太手杖","3奥术","直线3格","无","无","现有"
"火矢生","普通学生","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"老库管","精英封存保管","成长","检定加压","0","自身","法强+2","无","提案"
"老库管","精英封存保管","范围攻击","旧脉冲","7以太","正交直线4格","破势；清除护盾","无","提案"
"老库管","精英封存保管","攻击","旧式检定器","4奥术","直线3格","无","无","提案"
"老库管","精英封存保管","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"老寻","精英兽类","成长","猎群本能","0","自身","力量+2；敏捷+1","无","提案"
"老寻","精英兽类","范围控制","环鸣","0","4格内所有单位","标记1回合；藏身无效","无","现有"
"老寻","精英兽类","攻击","近战撕咬","4物理","相邻1格","无","无","提案"
"老寻","精英兽类","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"试制员","精英工坊试制岗","成长","过载校准","0","自身","法强+2","无","提案"
"试制员","精英工坊试制岗","范围攻击","连锁过载","8以太（两次）","相邻过载装置及正交相邻装置","无","引爆2件过载装置；敌我同伤","提案"
"试制员","精英工坊试制岗","攻击","工具","4物理","相邻1格","无","无","提案"
"试制员","精英工坊试制岗","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"拴索助教","普通控制","成长","石索蓄能","0","自身","法强+1；控制+1","无","提案"
"拴索助教","普通控制","范围控制","石索封线","0","直线3格","约束纹持续2回合","无","提案"
"拴索助教","普通控制","攻击","以太手杖","3奥术","直线3格","无","无","现有"
"拴索助教","普通控制","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"塔之守卫","固定首领","成长","维护增压","0","自身","力量+2；法强+2","无","提案"
"塔之守卫","固定首领","范围攻击","塔压","9以太","正交直线6格","无","无","提案"
"塔之守卫","固定首领","攻击","核心重击","8物理","相邻1格","无","无","提案"
"塔之守卫","固定首领","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"提灯巡查","普通支援","成长","灯芯增亮","0","自身","法强+1","无","提案"
"提灯巡查","普通支援","范围攻击","双灯扫照","每格1奥术","两条平行3格线","无法藏身；清除护盾","无","提案"
"提灯巡查","普通支援","攻击","刻纹铜灯","3奥术","直线3格","无","无","现有"
"提灯巡查","普通支援","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"替身偶","训练构造物","成长","重锤蓄势","0","自身","力量+1","无","提案"
"替身偶","训练构造物","范围攻击","锤印震环","2物理","自身周围正交4格","破势","无","提案"
"替身偶","训练构造物","攻击","双手重锤","6物理","相邻1格","无","无","现有"
"替身偶","训练构造物","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"小铃","精英图书管理员（风系）","成长","风场增强","0","全场","法强+2","无","提案"
"小铃","精英图书管理员（风系）","范围攻击","卷页","4物理","直线4格","无","消耗1格散页","现有"
"小铃","精英图书管理员（风系）","范围攻击","引火","6火焰","沿风最多3格","生成火场","吹动已着火散页","现有"
"小铃","精英图书管理员（风系）","攻击","引风短杖","3奥术","直线3格","无","无","提案"
"小铃","精英图书管理员（风系）","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"楔角","精英构装体","成长","冲压蓄能","0","自身","力量+2","无","提案"
"楔角","精英构装体","范围攻击","贯场冲压","8物理","公开路线最多5格","推1格","无","现有"
"楔角","精英构装体","攻击","普通撞击","6物理","相邻1格","无","无","提案"
"楔角","精英构装体","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
"寻迹兽","普通魔法生物","成长","猎意增长","0","自身","力量+1；敏捷+1","无","提案"
"寻迹兽","普通魔法生物","范围控制","缚环低吼","0","自身周围十字5格","束缚1回合","无","提案"
"寻迹兽","普通魔法生物","攻击","导能撕咬","3物理","相邻1格","无","无","现有"
"寻迹兽","普通魔法生物","移动","追击移动","0","5格内最低移动消耗路径","无","移动至下一次攻击可用的位置","临时提案"
