类别,ID,名称,数量或配置,出现位置,玩家操作,验收结果
Build,FIRST-RUN-V1,首次存档固定体验,典型约17分钟／快速约10分钟；固定到精英后商店首次展开,新存档第一轮,完成固定开局或进入失败结算,三场普通战快速操作各65–75秒且最大差不超过10秒；同版本同命令序列结果一致
实施阶段,PHASE-A,流程骨架与系统口径收口,已完成；与冻结内容合计862／862项EditMode测试通过,Unity流程、存档、战斗、背包与装备,验证固定图、存档和底层机制契约,Console无编译错误或警告；系统口径与总案一致
设计阶段,FLOW-DESIGN-01,首次固定体验完整流程,FR-00至FR-14页面状态／输入层级／必选可选／阻塞恢复／保存点／继承合同已冻结；常规学院接入待补,新存档第一轮,完成固定流程后继承当前状态进入常规学院；开发阶段失败可重试,三场普通战／三组普通奖励／三项事件／精英战／精英奖励及服务内容已冻结；四场战斗均有教学且精英奖励不新增教学层
实施阶段,PHASE-B,冻结内容接入,B1至B3、三组奖励、三个事件、工坊门槛、医务室门槛、第一场精英战与精英奖励整包均已接入,Unity正式战斗、节点内容与结算,正常首次流程构建、规则与存档通过862／862项EditMode回归,尚待Play Mode实际操作节奏、意图视觉刷新与战斗表现验收
基础配置,ORIGIN-STORY-01,维克多学生背景,固定角色背景,首次角色确认,查看角色卡,与天赋和专属术式同屏
出身,ORIGIN-TALENT-01,就地接线,就地接线；每场第一次移动结束正交邻接轻或重掩体时获得2护盾并恢复1魔力；已由总案10.4.1冻结,首次领装／战斗,触发出身天赋,首战产生可见差异
出身,ORIGIN-SPELL-01,借障导流,借障导流；1AP及1魔力；正交邻接轻或重掩体时对自身施放，获得4护盾且本回合下次移动行动步数+2；不叠加,首次领装／战斗,施放过渡术式,不锁死后续构筑
地图节点,O,起点,固定入口,首次地图,进入B1,不计入内容节点
地图节点,B1,普通战斗1,雨后灯庭；正式规则已冻结并接入；奖励固定为焦痕跃进／熔障爆点／炉温护持；水面及灯藤v3本轮QA_PENDING,O后,完成战斗并固定三选一,规则按总案6.2.3.1–6.2.3.2；现有v3需重新人工审核，当前批准0/2
地图节点,EV1,受阻的温室传令,轻装传令衣＋承力合金×1,B1支线,将2×3装备放入6×10背包并比较／旋转／决定是否装备,只结算一次；独立保存；承担首次战外背包教学
地图节点,EV2,温室勤务签领,导位罗盘＋学院食材×1＋贡献1或金币3,B1支线,将法宝放入战术栏并选择勤务报酬,只结算一次；独立保存；承担法宝次数与资源去向教学
地图节点,B2,温室藏品间,主角B5；中央F5宝箱与8格灯藤圈；晶簇I3／I7；侧锋J3／检验偶J7；南侧普通路线,EV1和EV2均完成后,完成战斗／搜刮苗床回流芯／利用或绕开晶簇并进入固定三选一,地图、固定AI、晶簇与搜刮已冻结；奖励固定为熔障校准／脱线疾行／炉压震步
地图节点,W,工坊,一次装备锻造＋一次术式专精,B2支线,选择对象和固定结果,可复访但次数不刷新
地图节点,EV3,折光庭校验签领,增幅刻墨×1＋学院贡献1或截击铃×1完整2次实例,B2支线,确认公开选项并处理唯一必要去向,真实增幅刻墨资源与学院贡献／完整2次截击铃分支已接入并通过存档回归
地图节点,B3,雨痕晶庭,主角B5；检验偶F5；火矢G2；浅水D2–D8及E2–F2；H5器材匣；G5封门晶簇；D9普通绕行,EV3后,完成战斗／可选搜刮学院储能芯／完成固定三选一,正式关卡／敌人／掉落／路线标识与浅水熄灭已接入；EditMode已验证，Play Mode节奏、教学演出与视觉待验收
战场机制,MECHANIC-FIRST-B1,战斗1特色地块,水＋灯藤,普通战1,按公开条件触发,规则已冻结
战场机制,MECHANIC-FIRST-B2,战斗2特色地块,灯藤＋蓄能晶簇＋碎晶,普通战2,按公开条件触发,规则已冻结；中央藤圈宝箱为搜刮目标
战场机制,MECHANIC-FIRST-B3,战斗3特色地块,浅水＋封门晶簇＋器材匣；燃烧与熄灭形成状态教学闭环,普通战3,按公开条件触发或从D9普通路线绕行,规则已冻结；晶簇同时控制奖励入口并可伤害检验偶
战场机制,MECHANIC-FIRST-ELITE,精英战三材交互,浅水＋灯藤＋24耐久稳压晶簇；楔角锁线冲压按统一8点伤害损伤单位或物件,精英战,根据公开锁线改位并利用冲压结果反击,规则已冻结；双方持续改写可行路线／物件耐久／藏身边界／卸压窗口
战场机制,MECHANIC-TRIGGER,通用触发上下文,攻击／靠近／进入／经过／互动／受击／破坏,首次体验战斗,敌我双方按同一规则结算,阶段A接口可承载全部触发窗口
关卡路径,ROUTE-CONTRACT,理想通关路径,每场普通战至少3条；非机制路径仍可通关,首次体验三场普通战,查看入口／决策点／机制／风险／收益,四场正式遭遇已使用冻结路线标识并通过目录与构建校验；实机节奏待验收
构筑反馈,BUILD-FEEDBACK,新选择即时反馈,战斗2验证奖励1；战斗3验证奖励2与增幅专精；精英验证奖励3及完整构筑,普通战2／3／精英战,使用新选择解决战场问题,地形破坏／穿刺突进／通用保底均有固定承接
