"类别","ID","区域","名称","变体或池","底图","目标选择或功能","奖励或许可","时序"
"普通战斗","N01","中庭","中庭侧锋对练","弱／`weak_flank_drill","rail_patrol","盾术陪练生挡线、侧锋陪练生绕侧","基础攻击/防御","2"
"普通战斗","N02","中庭","宿舍外寻迹测试","弱／`weak_tracker_test","depot_wreck","寻迹兽贴身、盾术陪练生守线","生存/位移","2"
"普通战斗","N03","教学","护障课程示范","弱／`weak_barrier_demo","signal_hub","护障助教维护盾术陪练生","控制/驱散","2"
"普通战斗","N04","教学","讲坛重弩校准","弱／`weak_arbalist_calibration","gatehouse","重弩线与侧锋接近压力","精准/破势","2"
"普通战斗","N05","教学","档案庭火矢演练","弱／`weak_fire_drill","relay_raid","火矢远程压力与侧锋牵制","侦查/消耗品","2"
"普通战斗","N06","工坊","校准台约束考核","弱／`weak_restraint_exam","transmission_tower","约束助教封线、侧锋陪练生压近","元素/环境","2"
"普通战斗","N07","工坊","材料库承压事故","强／`strong_depot_wreck_a","depot_wreck","双束缚后由检验偶逼迫换位","护盾/治疗＋强池档","2"
"普通战斗","N08","工坊","实训场综合对抗","强／`strong_rail_patrol_a","rail_patrol","盾术、火矢与侧锋构成近远三角","武器/术式＋强池档","2"
"普通战斗","N09","市集","市集护送演练","强／`strong_gatehouse_a","gatehouse","盾线与重弩线夹住撤离路线","防护/资源＋强池档","2"
"普通战斗","N10","市集","药材铺权限误判","强／`strong_signal_hub_a","signal_hub","护障助教与巡查员构成维护链","修复/净化＋强池档","2"
"普通战斗","N11","市集","校门登记争执","强／`strong_relay_raid_a","relay_raid","双接近压力配合目标争夺","许可/消耗品＋强池档","2"
"普通战斗","N12","郊野","旧道综合巡查","强／`strong_rail_patrol_b","rail_patrol","开阔交叉线上的盾、火矢与侧锋","射程/位移＋强池档","2"
"普通战斗","N13","郊野","郊外导能柱回收","强／`strong_transmission_tower_a","transmission_tower","破坏目标时承受燃烧、束缚与显影","破障/环境＋强池档","2"
"普通战斗","N14","郊野","失踪测绘队搜寻","强／`strong_depot_wreck_b","depot_wreck","双束缚与检验偶迫使救援路线调整","治疗/侦查＋强池档","2"
"普通战斗","N15","封存外环","旧校舍封门检查","强／`strong_gatehouse_b","gatehouse","双向门厅内的盾线、检验偶和重弩","护盾/控制＋强池档","2"
"普通战斗","N16","封存外环","观测塔显影误报","强／`strong_signal_hub_b","signal_hub","先处理破势来源再拆护障维护","破势/反制＋强池档","2"
"普通战斗","N17","教学","图书室导能演算","强／`strong_relay_raid_b","relay_raid","偏心目标与双接近敌群","个人魔力/卷轴＋强池档","2"
"普通战斗","N18","工坊","试制器具回收","强／`strong_transmission_tower_b","transmission_tower","中央目标周围的三种远程状态压力","法宝/消耗品＋强池档","2"
"精英战斗","E01","工坊","刻阵工坊高阶考核","elite_foundry","elite_foundry","刻阵教官重击窗口 + 护障维护链","是","3"
"精英战斗","E02","工坊","失控校准室封锁","core_approach","core_approach","约束助教束缚后接重弩重击","否","3"
"精英战斗","E03","郊野","断崖导能柱考察","elite_foundry","elite_foundry","教官与检验偶迫使拆维护顺序","是","3"
"精英战斗","E04","郊野","封存器材护送","core_approach","core_approach","远近交叉封线、救援目标","否","3"
"精英战斗","E05","封存","封存库权限核验","elite_foundry","elite_foundry","回合盾教官和护障助教；明确的少数敌方护盾编成","是","3"
"精英战斗","E06","封存","高塔外环清障","core_approach","core_approach","束缚、重弩与教官的最终门槛","是","3"
"事件","EV01","中庭","新生实战委托","","","支付 1 贡献取得折盾匣；或参加已预览追加演练，胜利额外得 1 金币，存活失败只取基础失败档","","1"
"事件","EV02","教学","档案室异常索引","","","支付 1 贡献取得 3 金币；或免费登记并额外取得 1 贡献","","1"
"事件","EV03","教学","被封存的观察记录","","","进入已预览的档案库战斗，胜利获核心许可；或放弃并获 1 学院贡献","","1"
"事件","EV04","工坊","器材登记窗口","","","支付 2 贡献取得复元编架；或免费协助基础校准并恢复 2 个人魔力","","1"
"事件","EV05","市集","退货的护盾组件","","","支付 4 金币取得折盾匣；或免费登记退货并取得 1 贡献","","1"
"事件","EV06","郊野","观测塔求援信号","","","进入已预览救援战，胜利获核心许可；或支付 2 金币取得 2 贡献","","1"
"事件","EV07","郊野","路障与巡查告示","","","承受 2 生命损失取得 3 金币与 1 贡献；或绕行取得 2 金币","","1"
"事件","EV08","封存","高塔值守记录","","","支付 1 贡献取得 3 金币；或进入已预览精英变体，胜利获冒险封签","","1"
"事件","EV09","中庭","医务室临时征集","","","支付 3 金币恢复 6 生命；或完成已预览护送战，胜利获复元编架","","1"
"事件","EV10","市集","赞助账目追索","","","支付 3 金币取得 2 贡献；或进入已预览考核战，胜利额外得 1 金币","","1"
"事件","EV11","郊野","猎团旧标记","","","支付 2 贡献取得显迹测镜；或进入已预览寻迹兽演练，按战斗档结算","","1"
"事件","EV12","教学","术式抄录争议","","","支付 4 金币取得火术 `F-P-U03`；或协助核对取得 2 贡献","","1"
"事件","EV13","工坊","护具压力复核","","","支付 3 金币取得折盾匣；或参加已预览维护链战斗，胜利获远投定距杖","","1"
"事件","EV14","市集","临时医护征集","","","免费协助分拣并取得 1 贡献；或支付 1 贡献恢复 4 生命与 2 魔力","","1"
"事件","EV15","郊野","导能柱错位读数","","","支付 1 贡献取得 3 金币；或进入已预览破坏目标战，胜利获险地冷凝器","","1"
"事件","EV16","封存","维护链替班","","","支付 2 贡献取得折盾匣；或进入已预览精英战，胜利获核心许可","","1"
"服务","S01","中庭","医务室","","","支付 1 贡献恢复 6 生命与 4 魔力；或支付 2 金币登记补给并取得 1 贡献","","0"
"服务","S02","市集","学院补给登记处","","","4 金币购复元编架、2 学院贡献换折盾匣满次数新实例，或 5 金币购险地冷凝器；不提供贡献直接兑换金币","","0"
"服务","S03","工坊","校准工坊","","","4 金币取得远投定距杖；或免费协助整理器材取得 1 贡献","","0"
"服务","S04","市集","临时补给点","","","与学院补给登记处共用公开商店表；每个地图节点只可结算一次","","0"
"宝藏","T01","教学/郊野","遗失器材库","","","冒险封签与险地冷凝器二选一，不含核心许可，零时序且只结算一次","","0"
"宝藏","T02","郊野/封存","封存管理员匣","","","冒险封签与核心许可二选一，零时序且只结算一次","","0"
"首领","B01","学院封存塔核心","学院封存塔核心","core_finale","core_finale","击败固定的区域核心守卫并瓦解维护链","","3"
