"字段名","字段说明","内容要求","格式或示例","是否必填"
"装备ID","装备定义的稳定主键","全表唯一","ACA-EQ-MH01","是"
"名称","界面显示名","使用正式短名称","学院练习剑","是"
"类别","装备结构分类","武器／防具／背包／施法单元／饰品／待重归类","武器","是"
"品质","固定品质或命名品质","沿用内容表受控值","蓝","是"
"槽位","可装备位置","武器／头／胸／鞋／背包／戒指／项链／施法单元；未归类内容写待重归类","胸","是"
"占格","背包占用尺寸","正整数×正整数","2×3","是"
"重量","基础重量","非负整数","2","是"
"技能ID","装备提供的主动动作","多个ID用|分隔；没有写无","EQ-ACA-EQ-MH01-ACTION","是"
"被动ID","装备提供的监听规则","多个ID用|分隔；没有写无","PASSIVE-ACA-EQ-CH01","是"
"属性修正","装备期间持续生效的直接属性变化","多项用；分隔；没有写无","个人魔力上限+2","是"
"规则说明","供策划审阅的完整效果摘要","不得与技能、被动或属性修正冲突","自己回合开始获得2护盾","是"
"来源","当前投放来源","多来源可用、或；分隔","商店、普通战利品","是"
"启用","是否进入当前内容池","是／否","是","是"
"版本","规则版本","从1开始的整数","1","是"
