"类别","ID","区域","名称","变体或池","底图","目标选择或功能","奖励","时序"
"普通战斗","FIRST-B1","首次固定","雨后灯庭","first_battle_rain_lantern_court","rain_lantern_court","击倒寻迹兽与火矢生；学院实地对抗课程","焦痕跃进／熔障爆点／炉温护持固定三选一","2"
"普通战斗","FIRST-B2","首次固定","温室藏品间","first_battle_greenhouse_collection","greenhouse_collection","击倒替身偶与侧锋生；可选搜刮苗床回流芯","熔障校准／脱线疾行／炉压震步固定三选一","2"
"普通战斗","FIRST-B3","首次固定","雨痕晶庭","first_battle_rain_prism_court","rain_prism_court","击倒替身偶与火矢生；可选摧毁封门晶簇搜刮学院储能芯","刻印战锤／接触耦合环／余烬格挡固定三选一","2"
"精英战斗","FIRST-X","首次固定","三材承压场","first_elite_three_material_pressure","three_material_pressure","击倒楔角；利用或绕开浅水／灯藤／稳压晶簇","回火导流／动势点火／缓冲覆层三选一＋低压回路护额×1＋定锚支架×1完整4次＋金币6","3"
"普通战斗","N01","中庭","中庭侧锋对练","弱／weak_flank_drill","rail_patrol","胜利条件：击倒盾术生与侧锋生。压力：盾术生的正面护盾与侧锋生的侧向钩刃；应对：分路绕侧、先破盾或利用浅掩体切线。地图无额外目标。","REWARD-NORMAL-WEAK：金币3、贡献1、构筑三选一","2"
"普通战斗","N02","中庭","宿舍外寻迹测试","弱／weak_tracker_test","depot_wreck","胜利条件：击倒寻迹兽与盾术生。压力：寻迹兽循痕追击与盾术生守线；应对：用浅水清痕、借掩体改变接敌顺序或正面击倒。地图无额外目标。","REWARD-NORMAL-WEAK：金币3、贡献1、构筑三选一","2"
"普通战斗","N03","教学","护障课程示范","弱／weak_barrier_demo","signal_hub","补盾助教维护盾术生","控制/驱散","2"
"普通战斗","N04","教学","锅炉房火线演练","弱／weak_fire_drill","relay_raid","火矢远程压力与侧锋牵制","侦查/消耗品","2"
"普通战斗","N05","教学","回廊重弩校准","弱／weak_arbalist_calibration","gatehouse","重弩线与侧锋接近压力","精准/破势","2"
"普通战斗","N06","工坊","校准台约束考核","弱／weak_restraint_exam","transmission_tower","拴索助教封线、侧锋生压近","元素/环境","2"
"普通战斗","N07","工坊","材料库承压事故","强／strong_depot_wreck_a","depot_wreck","胜利条件：击倒寻迹兽、替身偶与拴索助教。压力：双束缚与中路重击；应对：分散站位、先击倒一个束缚来源或利用场地隔断攻击线。地图无额外目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N08","工坊","实训场综合对抗","强／strong_rail_patrol_a","rail_patrol","胜利条件：击倒盾术生、火矢生与侧锋生。压力：正面护盾、远程燃烧与侧向接近；应对：切断射线、浅水灭火或集中火力。地图无额外目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N09","市集","市集通道封锁演练","强／strong_gatehouse_a","gatehouse","胜利条件：击倒盾术生、替身偶与背弩生。压力：护盾与破势近战夹击重弩直线；应对：利用双向门厅切线、贴近重弩死区或优先处理破势来源。撤离路线仅为地形，不设护送或撤离目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N10","市集","药材铺误入演练","强／strong_signal_hub_a","signal_hub","胜利条件：击倒补盾助教、提灯巡查与盾术生。压力：贴墙续盾、显影破势与回合护盾；应对：拆除掩体、切断直线光带或集中击倒补盾助教。地图无额外目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N11","市集","校门登记争执","强／strong_relay_raid_a","relay_raid","双接近压力配合目标争夺","消耗品＋强池档","2"
"普通战斗","N12","郊野","旧道综合巡查","强／strong_rail_patrol_b","rail_patrol","胜利条件：击倒盾术生、火矢生与侧锋生。压力：开阔交叉线上的护盾、燃烧与侧击；应对：沿掩体换线、浅水清燃烧或先击倒远程来源。地图无额外目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N13","郊野","郊外导能柱值守演练","强／strong_transmission_tower_a","transmission_tower","胜利条件：击倒火矢生、拴索助教与提灯巡查。压力：燃烧、束缚与显影三线压制；应对：浅水清燃烧、覆盖约束纹或利用遮挡切断显影。导能柱为场景物，不是胜利目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
