"类别","ID","名称","数量或配置","出现位置","玩家操作","验收结果"
"Build","NEXT-BUILD-01","学院核心闭环","固定种子；30–40分钟","全流程","新游戏到阶段结算","一轮完整通关"
"路线","fire_universal","均衡训练","唯一开放路线","学院入口","选择并确认覆盖存档","创建固定单轮"
"资源","PLAYER-START","开局资源","生命18；魔力12；金币8；贡献0","创建单轮","查看资源","数值写入存档"
"装备","ACA-EQ-MH01","学院练习剑","开局装备","开局／战斗","相邻攻击","动作可预览并结算"
"装备","ACA-EQ-CH01","夹棉练习衣","开局装备","开局／战斗","被动生效","回合开始获得2护盾"
"装备","ACA-EQ-BP01","勘验背架","开局装备／背包位","开局／背包","装备并提供背包被动","本Build基础容量6×10"
"装备","ACA-EQ-MH04","猎团短弓","开局背包","开局／战斗","换装后远程攻击","4格6伤"
"装备","ACA-EQ-CH04","轻装传令衣","N03奖励","N03","选择并装备","每回合首次移动+1"
"装备","ACA-EQ-HD01","测距护目镜","SHOP01商品／4金币","SHOP01","购买并装备","远程武器射程+1"
"装备","ACA-EQ-LG01","石路行靴","N01奖励","N01","选择并装备","每回合首次移动+1"
"装备","ACA-EQ-CR01","学院储能芯","E01奖励／施法单元位","E01","选择并装备","魔力上限+2"
"基础术式","BASE-FIRE-MELEE","灼触","开局术式","战斗","选择目标并确认","1AP1魔力造成8伤害"
"基础术式","BASE-FIRE-RANGED","火花","开局术式","战斗","选择目标并确认","1AP2魔力造成6伤害"
"基础术式","BASE-AETHER-SHIELD","以太护幕","开局术式","战斗","确认施放","1AP2魔力获得6护盾"
"基础术式","BASE-MANA-RECOVER","回路调息","开局术式","战斗","确认施放","1AP恢复2魔力"
"个人术式","F-P-M01","热脉增压","N01奖励","N01／战斗","选择奖励并装备施放","移动+2且下次近战追加8火伤"
"个人术式","F-P-M06","熔势贯击","N03奖励","N03／战斗","选择奖励并装备施放","下次近战施加破势"
"个人术式","F-P-U01","武器热载","E01奖励","E01／战斗","选择奖励并装备施放","下次武器攻击追加8火伤"
"个人术式","F-P-R01","火弹","N01奖励","N01／战斗","选择奖励并装备施放","3格12火伤"
"法宝","G-T01","折盾匣","N03奖励","奖励／战斗","加入战术栏并使用","1AP获得20护盾；3次"
"法宝","G-T02","移相线轴","SHOP01商品／6金币","SHOP01／战斗","购买、加入战术栏并使用","移动至3格内合法空格；2次"
"法宝","G-T03","缚位框","E01奖励","E01／战斗","加入战术栏并使用","2AP施加束缚；2次"
"法宝","G-T08","解构楔","SHOP01商品／3金币","SHOP01／战斗","购买、加入战术栏并使用","1AP对相邻物件造成24耐久伤害；4次"
"锻造材料","FORGE-LOAD","承力合金","N01二选一","N01／W01／背包","放入装备主体位","效果由装备栏位固定决定"
"锻造材料","FORGE-CIRCUIT","导能晶片","N01二选一","N01／W01／背包","放入装备回路位","效果由装备栏位固定决定"
"专精材料","SPEC-AMPLIFY","增幅刻墨","N03二选一","N03／W01／背包","用于一个术式专精","效果按术式表固定"
"专精材料","SPEC-EFFICIENT","节流刻墨","N03二选一","N03／W01／背包","用于一个术式专精","降低魔力成本或回路调息冷却"
"餐食材料","MEAL-INGREDIENT-01","学院食材","N01固定掉落1份","N01／S01／背包","支付1份购买指定餐食","购买后消耗"
"餐食","MEAL-POWER","强攻炖肉","3金币／持续3场战斗","S01随机池","购买并查看剩余场数","武器直接伤害+2"
"餐食","MEAL-AETHER","导能热饮","1贡献／持续3场战斗","S01随机池","购买并查看剩余场数","个人魔力上限+2且进入战斗恢复满"
"餐食","MEAL-GUARD","岩盐浓汤","1学院食材／持续3场战斗","S01随机池","购买并查看剩余场数","每场战斗开始获得6护盾"
"餐食","MEAL-MOVE","疾行烤串","3金币／持续3场战斗","S01随机池","购买并查看剩余场数","每个自己回合第一次移动的移动力+1"
"餐食","MEAL-SPELL","节流茶","1贡献／持续3场战斗","S01随机池","购买并查看剩余场数","每场战斗第一次施放术式时魔力成本-1且最低0"
"餐食","MEAL-VITAL","坚韧面包","1学院食材／持续3场战斗","S01随机池","购买并查看剩余场数","最大生命+4；每场战斗开始恢复4生命"
"餐食","MEAL-HUNTER","猎团香汤","4金币／持续3场战斗","S01随机池","购买并查看剩余场数","每场战斗第一次武器命中额外造成4伤害"
"餐食","MEAL-CLEAR","清醒粥","1学院食材／持续3场战斗","S01随机池","购买并查看剩余场数","每场战斗第一次受到负面状态时持续时间-1回合且最低1回合"
"地图节点","START","开始节点","固定入口","学院地图","查看并选择N01","只允许进入相连节点"
"地图节点","N01","中庭侧锋对练","raider+shieldguard","第一场战斗","击败全部敌人；获得学院食材；选锻造材料；再三选一","获得2金币1贡献1学院食材"
"地图节点","EV02","档案室异常索引","固定事件","N01后","确认一个公开选项","1贡献换3金币或免费得1贡献"
"地图节点","S01","医务室","固定功能2项","EV02后","分别选择恢复和餐食","恢复最大生命50%；从8种餐食中无重复抽3种并可购买1种；两项各一次"
"地图节点","SHOP01","学院补给商店","固定商品3件","S01后","购买商品","商品各限购1件"
"地图节点","N03","护障课程示范","barrier_mender+shieldguard","第二场战斗","击败全部敌人；选专精材料；再三选一","获得3金币1贡献"
"地图节点","W01","校准工坊","一次锻造＋一次专精","N03后","在工坊中选择对象、部件位和背包内材料","固定结果生效并保存"
"地图节点","E01","刻阵工坊高阶考核","elite_vanguard+barrier_mender+sigil_mauler","精英战斗","击败刻阵教官并三选一","获得4金币2贡献"
"地图节点","B01","学院封存塔核心","academy_sealed_core+barrier_mender+lantern_revealer","首领战斗","击败核心守卫","进入阶段结算"
"界面","UI-ENTRY","学院入口","1页","启动","新游戏／继续游戏","均衡训练可用；其他路线不进入Build"
"界面","UI-MAP","学院地图与节点摘要","1页1侧栏","节点间","选择节点并确认","显示连接、状态、代价、目标和奖励"
"界面","UI-PREP","出发准备","1页","战斗前","出发或返回","不出发不消耗资源"
"界面","UI-COMBAT","战斗界面","1页","战斗","移动／攻击／术式／法宝／背包／结束回合","预览、非法原因、行动条、日志完整"
"界面","UI-EVENT","事件","1页","EV02","确认事件选项","代价和结果公开"
"界面","UI-INFIRMARY","医务室","1页2标签","S01","分别执行恢复或购买一种随机餐食","显示费用、效果、剩余战斗场数和已使用状态"
"界面","UI-SHOP","商店","1页","SHOP01","购买商品","显示费用、效果和限购状态"
"界面","UI-REWARD","奖励与整理","1页","N01／N03／E01","选择材料、三选一并整理","空间不足时不能离开"
"界面","UI-FORGE","工坊","1页2标签","W01","在装备锻造／术式专精页签选择对象、背包内材料和部件位后确认","结果唯一；离开工坊后不可操作；完成后立即保存"
"界面","UI-SETTLE","阶段结算","1页","B01后","查看结果并返回入口","记录路线、构筑、资源和战斗数据"
"存档","SAVE-NEXT","自动保存","创建单轮／选择节点／事件选择／战斗结算／领取奖励／整理后","全流程","退出并继续","状态不丢失且内容不重抽"
