"敌人","敌人分类","意图","伤害","范围","施加状态","获得效果／护盾","节奏","口径"
"替身偶","训练构造物","双手重锤","6物理","相邻1格","无","无","攻击","现有"
"替身偶","训练构造物","锤印震环","2物理","自身周围正交4格","破势","无","范围攻击","提案"
"替身偶","训练构造物","重锤蓄势","0","自身","无","本场双手重锤与锤印震环伤害永久+1","成长","提案"
"补盾助教","普通支援","以太手杖","3奥术","直线3格","无","无","攻击","现有"
"补盾助教","普通支援","覆障投射","0","以友军为中心十字5格","无","同结构旁友军各+2护盾","范围支援","提案"
"补盾助教","普通支援","护障蓄能","0","自身","无","本场贴墙续盾与覆障投射提供的护盾永久+1","成长","提案"
"寻迹兽","普通魔法生物","导能撕咬","3物理","相邻1格","无","无","攻击","现有"
"寻迹兽","普通魔法生物","缚环低吼","0","自身周围十字5格","束缚1回合","无","范围控制","提案"
"寻迹兽","普通魔法生物","猎意增长","0","自身","无","本场导能撕咬伤害永久+1，移动距离永久+1格","成长","提案"
"盾术生","普通学生","训练盾击","2物理","相邻1格","无","无","攻击","现有"
"盾术生","普通学生","盾面横扫","2物理","前方3格扇面","迟缓1回合","无","范围攻击","提案"
"盾术生","普通学生","整盾成长","0","自身","无","本场训练盾击与盾面横扫伤害永久+1；立即获得2护盾","成长","提案"
"火矢生","普通学生","以太手杖","3奥术","直线3格","无","无","攻击","现有"
"火矢生","普通学生","爆炎散射","3火焰","目标格加正交4格","燃烧2，持续2目标回合","无","范围攻击","提案"
"火矢生","普通学生","火矢蓄热","0","自身","无","本场火矢与爆炎散射的火焰伤害永久+1","成长","提案"
"侧锋生","普通学生","限位钩刃","6物理","相邻1格","无","无","攻击","现有"
"侧锋生","普通学生","钩刃扫切","2物理","前方3格扇面","中心格束缚1回合","无","范围攻击","提案"
"侧锋生","普通学生","侧锋蓄势","0","自身","无","本场限位钩刃与钩刃扫切伤害永久+1","成长","提案"
"划线教官","精英教职","刻阵重锤","7物理","相邻1格","无","无","攻击","提案"
"划线教官","精英教职","封线夯墙","0","直线3格","无","生成3段耐久12重掩体","范围控制","提案"
"划线教官","精英教职","阵列加固","0","自身","无","本场刻阵重锤伤害永久+2；立即获得4护盾","成长","提案"
"拴索助教","普通控制","以太手杖","3奥术","直线3格","无","无","攻击","现有"
"拴索助教","普通控制","石索封线","0","直线3格","约束纹持续2回合","无","范围控制","提案"
"拴索助教","普通控制","石索蓄能","0","自身","无","本场石索伤害永久+1，束缚时间永久+1回合","成长","提案"
"提灯巡查","普通支援","刻纹铜灯","3奥术","直线3格","无","无","攻击","现有"
"提灯巡查","普通支援","双灯扫照","每格1奥术","两条平行3格线","无法藏身；清除护盾","无","范围攻击","提案"
"提灯巡查","普通支援","灯芯增亮","0","自身","无","本场转灯与双灯扫照每格伤害永久+1","成长","提案"
"背弩生","普通学生","绞盘重弩","3物理","直线2至4格","无","无","攻击","现有"
"背弩生","普通学生","裂矢","3物理","目标格加正交4格","无","无","范围攻击","提案"
"背弩生","普通学生","绞盘上紧","0","自身","无","本场绞盘重弩与裂矢伤害永久+2","成长","提案"
"塔之守卫","固定首领","核心重击","8物理","相邻1格","无","无","攻击","提案"
"塔之守卫","固定首领","塔压","9以太","正交直线6格","无","无","范围攻击","提案"
"塔之守卫","固定首领","维护增压","0","自身","无","本场塔压每格伤害永久+2","成长","提案"
"楔角","精英构装体","普通撞击","6物理","相邻1格","无","无","攻击","提案"
"楔角","精英构装体","贯场冲压","8物理","公开路线最多5格","推1格","无","范围攻击","现有"
"楔角","精英构装体","冲压蓄能","0","自身","无","本场贯场冲压伤害永久+2","成长","提案"
"老寻","精英兽类","近战撕咬","4物理","相邻1格","无","无","攻击","提案"
"老寻","精英兽类","环鸣","0","4格内所有单位","标记1回合；藏身无效","无","范围控制","现有"
"老寻","精英兽类","猎群本能","0","自身","无","本场近战撕咬与扑咬伤害永久+2","成长","提案"
"小铃","精英图书管理员（风系）","引风短杖","3奥术","直线3格","无","无","攻击","提案"
"小铃","精英图书管理员（风系）","卷页","4物理","直线4格","无","消耗1格散页","范围攻击","现有"
"小铃","精英图书管理员（风系）","引火","6火焰","沿风最多3格","生成火场","吹动已着火散页","范围攻击","现有"
"小铃","精英图书管理员（风系）","风场增强","0","全场","无","本场卷页与引火伤害永久+2","成长","提案"
"试制员","精英工坊试制岗","工具","4物理","相邻1格","无","无","攻击","提案"
"试制员","精英工坊试制岗","连锁过载","8以太（两次）","相邻过载装置及正交相邻装置","无","引爆2件过载装置；敌我同伤","范围攻击","提案"
"试制员","精英工坊试制岗","过载校准","0","自身","无","本场过载装置爆炸伤害永久+2","成长","提案"
"老库管","精英封存保管","旧式检定器","4奥术","直线3格","无","无","攻击","提案"
"老库管","精英封存保管","旧脉冲","7以太","正交直线4格","破势；清除护盾","无","范围攻击","提案"
"老库管","精英封存保管","检定加压","0","自身","无","本场旧脉冲每格伤害永久+2","成长","提案"
"灯台值守","普通郊野值守","塔上灯镜","3奥术","直线3格","无","无","攻击","提案"
"灯台值守","普通郊野值守","转镜","6以太","直线6格","被遮挡处形成暗段","无","范围攻击","提案"
"灯台值守","普通郊野值守","灯台升压","0","自身","无","本场光柱每格伤害永久+2","成长","提案"
