"法宝ID","slug","名称","元素","稀有度","占格","重量","次数","技能ID","来源","构筑用途","启用","版本"
"F-T01","demolition_canister","炎脉封装筒","火倾向；火","稀有","2×1","2","2","ARTIFACT-F-T01","学院试制，当代制作；精英、首领奖励；事件或商店来源待定","唯一“破障伤害 + 临时火场”法宝；破障、区域封锁、火构筑联动","是","1"
"G-T01","aegis_fold","折盾匣","通用；光相位护幕","少见","2×2","1","3","ARTIFACT-G-T01","持证护具工坊，当代制作；普通/精英奖励、商店","纯即时加盾；守点、救援、护送容错","是","1"
"G-T02","phase_spindle","移相线轴","通用；风相位动量","稀有","1×2","1","2","ARTIFACT-G-T02","学院定距器旧型，当代制作；精英；事件或商店来源待定","唯一主动自位移；接敌、撤离、越过单位堵位","是","1"
"G-T03","binding_frame","缚位框","通用；土相位锚定","少见","2×2","2","2","ARTIFACT-G-T03","边境猎团，当代制作；精英、猎团事件","单体硬控，不附伤害；守点、断追击、拆近战阵型","是","1"
"G-T04","survey_lens","显迹测镜","通用；光相位显影","普通","1×1","1","4","ARTIFACT-G-T04","遗迹勘验行，当代制作；不作为当前可用内容；重写后再确定来源","保留条目编号，不作为当前可用内容","否","1"
"G-T05","field_siphon","以太虹吸泵","通用；暗相位吸收","少见","3×2","2","3","ARTIFACT-G-T05","边境检修工坊，当代制作；商店、检修事件、精英奖励","唯一“生命换魔力”；资源循环与风险爆发","是","1"
"G-T06","mending_lattice","复元编架","通用；水相位复元","稀有","3×2","3","2","ARTIFACT-G-T06","教会救护工坊，当代制作；医护事件、精英奖励；其他事件或商店来源待定","唯一“护盾换生命”；恢复、救援与护盾构筑转换","是","1"
"G-T07","cover_stamp","掩体压模","通用；土相位构筑","少见","3×2","4","2","ARTIFACT-G-T07","城镇守备石工作坊，当代制作；商店、精英奖励、守备事件","唯一造掩体；守点、改线、保护 NPC/装置","是","1"
"G-T08","breach_wedge","解构楔","通用；土相位震裂","普通","1×2","2","4","ARTIFACT-G-T08","采石行会，当代制作；普通奖励、商店、物件战利品","唯一低成本近距破障；开路、任务物攻坚、拆敌构筑","是","1"
"G-T09","relay_compass","导位罗盘","通用；风相位牵引","少见","1×1","1","3","ARTIFACT-G-T09","商路救援队，当代制作；教程事件2温室勤务签领、商店、救援事件、精英奖励","唯一他者牵引；救援、拉离掩体、聚怪、调整任务位置","是","1"
"G-T10","reaction_bell","截击铃","通用；风相位声压","稀有","1×2","1","2","ARTIFACT-G-T10","边境猎团，当代制作；精英、首领奖励；事件或商店来源待定","唯一入格截击反应；警戒路线、守点、打断突进","是","1"
"G-T11","hazard_condenser","险地冷凝器","通用；水相位冷凝","普通","2×2","2","4","ARTIFACT-G-T11","消防与勘验人员共制，当代制作；普通奖励、商店、环境战利品","唯一指定环境清理；安全通路、救援、克制火场/烟尘构筑","是","1"
"G-T12","turn_ledger","行程簿","通用；风相位动量调度","稀有","2×1","1","2","ARTIFACT-G-T12","失落人类文明行旅遗物，远古；首领奖励；事件或商店来源待定","唯一 AP 跨时调度；爆发回合、任务互动链、风险运营","是","1"
"G-T13","anchor_brace","定锚支架","通用；土相位锚定","少见","2×2","2","4","ARTIFACT-G-T13","驿站装卸工坊，当代制作；教程精英固定奖励；其他普通/精英奖励、商店","唯一有限次数防位移反应；站桩、护送、边界安全","是","1"
"G-T14","prism_regulator","棱返调节器","通用；光相位折返","稀有","2×1","1","2","ARTIFACT-G-T14","光学师行会，当代制作；精英；事件或商店来源待定","唯一远程折返反应；抗射手、逼迫换位、风险对射","是","1"
"G-T15","decoy_lantern","诱导灯","通用；光相位诱导","少见","1×2","2","2","ARTIFACT-G-T15","商队驱兽灯改型，当代制作；商店、商队事件","唯一诱饵部署；分担火力、改敌意图、保护目标","是","1"
"G-T16","shield_balancer","护盾均衡阀","通用；光相位护幕","少见","2×2","2","3","ARTIFACT-G-T16","医护护具工坊，当代制作；精英、医护事件、商店","唯一两单位护盾重分配；救援、护盾资源调度","是","1"
"G-T17","seismic_plumb","震测铅锤","通用；土相位震荡","稀有","1×3","3","2","ARTIFACT-G-T17","失落人类文明测绘遗物，远古；精英、首领奖励；事件或商店来源待定","唯一范围行动条延后；控制、打断敌群窗口、次序重排","是","1"
"G-T18","null_veil","静默幕","通用；暗相位吸收","少见","3×2","2","2","ARTIFACT-G-T18","失落人类文明封存布，远古；不作为当前可用内容；重写后再确定来源","保留条目编号，不作为当前可用内容","否","1"
"G-T19","fortune_seal","冒险封签","通用；暗相位压缩","稀有","1×1","1","2","ARTIFACT-G-T19","黑市回收的远古封签，远古；高风险事件、首领奖励；其他事件或商店来源待定","唯一“未击杀即反噬”的高伤封签；风险收益、斩杀、首领权衡","是","1"
