"字段名","字段说明","内容要求","格式或示例","是否必填"
"规则ID","规则或原型的稳定主键","全表唯一","PRESS-REACTION-POST","是"
"类别","规则所属审查维度","被动反击／行动经济／结算边界／结算顺序／认知上限／交叉火力／射程边界／伤害边界／堵路边界／反放风筝／压力预算／战斗内成长／敌方原型","被动反击","是"
"名称","策划与校验显示的短名称","不得只写内部缩写","后置反击","是"
"适用范围","哪些模式、遭遇或单位使用","必须说明教程、普通、精英、Boss或敌我共用边界","敌我共用","是"
"触发或压力","何时检查该规则或它代表什么压力","使用正式动作、范围、路径、状态和时点术语","进入公开触发格后","是"
"结算与上限","确定性结果、次数、具体数值和该规则自身的叠加限制","反击效果数值由具体被动与遭遇填写，不套用全局上下限；不得用适量、较低、大概率等模糊词","每个玩家回合最多1次；造成6点伤害并推开1格","是"
"预览要求","玩家确认前必须看到的信息","覆盖来源、目标、几何、顺序、结果和最终状态中相关项目","显示伤害与推位终点","是"
"取消或反制","条件失效和玩家可用的处理方式","至少给出一种基础配置可执行反制","切断攻击线或控制来源","是"
"启用","是否作为当前正式设计规则","是／否","是","是"
"版本","规则版本","从1开始的整数","1","是"
