"装备ID","名称","类别","品质","槽位","占格","重量","技能ID","被动ID","属性修正","规则说明","来源","启用","版本"
"ACA-EQ-AC01","余烬珠","饰品","蓝","戒指","1×1","1","无","PASSIVE-ACA-EQ-AC01","无","每个自己回合第一次对已燃烧单位造成直接伤害时追加 2 点火焰伤害","无固定盾；商店、火术事件","是","1"
"ACA-EQ-AC02","空槽魔力计","饰品","蓝","戒指","1×1","1","无","PASSIVE-ACA-EQ-AC02","无","每场战斗第一次因支付术式成本使魔力恰好变为 0 时，立即恢复 1 魔力","无固定盾；学院商店、工坊","是","1"
"ACA-EQ-AC03","贴身守誓牌","饰品","紫色命名","项链","1×1","1","无","PASSIVE-ACA-EQ-AC03","无","自己回合开始时若相邻至少一个敌人，获得 2 护盾","固定条件盾；守备事件、精英","是","1"
"ACA-EQ-AC04","灰线行程扣","饰品","紫色命名","项链","1×1","1","无","PASSIVE-ACA-EQ-AC04","无","停用待重写；当前不提供战斗效果","不进入库存、商店或奖励","否","1"
"ACA-EQ-BP01","勘验背架","背包","蓝","背包","2×3","2","无","PASSIVE-ACA-EQ-BP01","无","提供 6 列×10 行背包容量；每场战斗第一次“继续搜索”合法提交时 AP 成本降为 0","开局装备、商店、调查事件、战利品容器","是","1"
"ACA-EQ-BP02","快挂整备架","背包","紫色命名","背包","2×3","2","无","PASSIVE-ACA-EQ-BP02","无","提供 6 列×10 行背包容量；每场战斗第一次在背包与 4 格快捷栏之间交换战术道具时 AP 成本降为 0","工坊、精英奖励；事件或商店来源待定","是","1"
"ACA-EQ-CH01","夹棉练习衣","防具","白","胸","2×3","2","无","PASSIVE-ACA-EQ-CH01","无","自己回合开始获得 2 护盾","开局库存、商店、普通战利品","是","1"
"ACA-EQ-CH02","补强巡行衣","防具","蓝","胸","2×3","3","无","PASSIVE-ACA-EQ-CH02","无","自己回合开始获得 4 护盾","商店、普通战利品、工坊","是","1"
"ACA-EQ-CH03","塔卫承压带","防具","紫色命名","胸","2×3","4","无","PASSIVE-ACA-EQ-CH03","无","自己回合开始获得 6 护盾；固定盾占用命名效果位，不生成随机盾词条","精英、首领前工坊；事件或商店来源待定","是","1"
"ACA-EQ-CH04","轻装传令衣","防具","蓝","胸","2×3","1","无","PASSIVE-ACA-EQ-CH04","无","不提供回合盾；每个自己回合第一次移动行动的步数 +1","教程事件1受阻的温室传令、商店、普通战利品","是","1"
"ACA-EQ-CH05","封存巡检袍","防具","紫色命名","胸","2×3","2","无","PASSIVE-ACA-EQ-CH05","无","不提供回合盾；每场战斗第一次对任务设备执行合法互动或继续搜索时，AP 成本降为 0","封存库事件、精英；其他事件或商店来源待定","是","1"
"ACA-EQ-CR01","学院储能芯","施法单元","蓝","施法单元","2×2","1","无","无","个人魔力上限+2","个人魔力上限 +2；当前魔力不因装备或卸下而免费增加，卸下后超出新上限部分立即截断","学院商店、工坊、普通战利品","是","1"
"ACA-EQ-CR02","余焰回收芯","施法单元","蓝","施法单元","2×2","1","无","PASSIVE-ACA-EQ-CR02","无","每个自己回合第一次对单位施加燃烧后恢复 1 魔力","刻阵工坊、火术事件、精英","是","1"
"ACA-EQ-CR03","塔心并联芯","施法单元","金色命名","施法单元","2×2","2","无","PASSIVE-ACA-EQ-CR03","无","停用；效果待按当前进入战斗恢复满个人魔力的规则重写","不作为当前可用内容；重写后再确定来源","否","1"
"ACA-EQ-CR04","苗床回流芯","施法单元","蓝","施法单元","2×2","1","无","PASSIVE-ACA-EQ-CR04","无","装备期间每场战斗第一次成功支付至少1魔力施放个人术式后恢复2魔力，不超过上限；同场卸下再装备不刷新","教程战斗2温室藏品间中央宝箱","是","1"
"ACA-EQ-DG01","远投定距杖","施法单元","蓝","施法单元","1×3","1","无","无","R线个人术式射程+1；魔力成本+1","R 线个人术式射程 +1，但其魔力成本 +1；不改变范围形状","学院工坊、商店、传讯事件","是","1"
"ACA-EQ-DG02","接触耦合环","施法单元","蓝","施法单元","1×1","1","无","PASSIVE-ACA-EQ-DG02","无","每个自己回合第一次施放 M 线术式时魔力成本 -1，最低 1","工坊、猎团事件、精英","是","1"
"ACA-EQ-HD01","测距护目镜","防具","蓝","头","2×1","1","无","无","远程武器普通攻击射程+1","远程武器普通攻击射程 +1；不提高 R 线术式射程","无固定盾；商店、调查事件","是","1"
"ACA-EQ-HD02","低压回路护额","防具","紫色命名","头","2×1","1","无","PASSIVE-ACA-EQ-HD02","无","自己回合开始时若当前魔力 ≤2，获得 2 护盾","固定条件盾；教程精英固定奖励；其他精英、事件或商店来源待定","是","1"
