ID,类别,名称,货币,价格,效果,时序,限制
ECO-GOLD-UPGRADE,工坊,普通装备基础强化或校准,金币,4,执行一次合法基础强化或校准,0,按装备强化节点
ECO-GOLD-REROLL-PURPLE,工坊,紫色装备整组重铸,金币,6,重掷全部可变词条,0,同实例每次递增2金币且不能锁词条
ECO-GOLD-REROLL-GOLD,工坊,金色装备整组重铸,金币,9,重掷全部可变词条,0,同实例每次递增2金币且不能锁词条
ECO-GOLD-MEDICAL,商店,普通医疗道具满次数新实例,金币,4,获得一个满次数医疗道具,0,不能补已有实例单次次数
ECO-GOLD-SHIELD,商店,普通护盾道具满次数新实例,金币,3,获得一个满次数护盾道具,0,不能补已有实例单次次数
ECO-GOLD-DETECTOR,商店,个人侦测器3次新实例,金币,5,获得3次侦测器,0,同名实例不合并次数
ECO-GOLD-SCROLL,商店,普通卷轴,金币,5–7,获得1次卷轴,0,使用后销毁
ECO-CONTRIB-CALIBRATE,学院服务,学院装备基础校准,学院贡献,1,执行一次合法基础校准,0,当前阶段限定
ECO-CONTRIB-RECOVER,学院服务,基础治疗与魔力整备,学院贡献,1,恢复6生命与4个人魔力,0,不超过上限
ECO-CONTRIB-REVEAL,学院服务,揭示节点精确信息,学院贡献,1,揭示一个节点的精确信息,0,不提供直接金币兑换
ECO-CONTRIB-MEDICAL,学院库存,医疗或护盾道具满次数新实例,学院贡献,2,获得对应满次数新实例,0,不能补已有实例
ECO-CONTRIB-SPECIAL,学院库存,特殊工具或卷轴,学院贡献,3–5,按种子库存获得条目,0,库存有限
ECO-INCOME-FAST,路线目标,快速路线基础收入,混合,31金币+8贡献,6普通战+1精英战,按节点,约12个处理节点
ECO-INCOME-STANDARD,路线目标,标准路线基础收入,混合,45金币+13贡献,9普通战+2精英战,按节点,约20个处理节点
ECO-INCOME-LONG,路线目标,延长路线基础收入,混合,59金币+18贡献,12普通战+3精英战,按节点,时序28前自然结束
