"序号","累计时间点","本段耗时","类型","玩家经历","后台阶段","备注"
"T00","0:00–0:02","2秒","固定","OC世界品牌印记→OCC游戏品牌印记；可跳过品牌段","PRE-00","每次启动；跳过不绕过首次设置"
"T01","0:02–0:29","约27秒","设置","首次设置页载入；调整音量、分辨率和显示模式","PRE-00","仅本机首次强制出现"
"T02","0:29–0:31","2秒","操作反馈","应用设置；分辨率变更可恢复旧值","PRE-00","设备级保存"
"T03","0:31–1:01","30秒","固定","世界观动画；游戏级首次播放；可跳过","PRE-01","已看玩家在设置后直接进入以太主界面"
"T04","1:01–1:24","约23秒","决策＋反馈","进入以太主界面；选择新游戏和存档位；确认准备创建或覆盖","FR-00","此时不写存档；取消仍保留原档"
"T05","1:24–1:51","约27秒","阅读＋反馈","选择维克多并同屏阅读固定基础配置；点击以此角色开始","FR-01","此时创建或覆盖存档"
"T06","1:51–2:06","15秒","固定","学院阶段介绍；可跳过","FR-01","按存档保存；中断则下次重播"
"T07","2:06–2:43","约37秒","地图＋决策","地图展开；选择战斗1；阅读摘要与战前信息；确认并载入","FR-02","未确认可返回地图"
"T08","2:43–5:03","约2分20秒","战斗＋教学＋决策","完成战斗1","FR-03","快速操作另按65–75秒验收"
"T09","5:03–5:23","约20秒","结果＋决策","只读战果；奖励1三选一；去向处理；保存返回地图","FR-04","待领取奖励不可关闭"
"T10","5:23–6:08","约45秒（事件1约25秒；事件2约20秒）","事件＋决策","默认先完成受阻的温室传令：放置轻装传令衣与承力合金并比较是否换装；再完成温室勤务签领：装备导位罗盘、领取食材并选择贡献或金币；实际顺序可交换","FR-05","两者独立保存；均完成后开放战斗2"
"T11","6:08–8:15","约2分07秒","准备＋战斗＋战果","查看温室藏品间预览并完成战斗；验证第一组奖励、事件装备和导位罗盘；搜刮并处理苗床回流芯","FR-06","快速操作另按65–75秒验收"
"T12","8:15–8:45","约30秒","奖励决策","从熔障校准／脱线疾行／炉压震步中三选一并确认","FR-07","开放折光庭校验签领与工坊"
"T13","8:45–10:05","约1分20秒","事件＋加工决策","领取增幅刻墨并在学院贡献1／截击铃完整2次实例间选择；工坊各完成一次锻造和专精","FR-08","允许往返；焦痕跃进与熔障爆点均有增幅专精"
"T14","10:05–12:08","约2分03秒","准备＋战斗＋战果","查看雨痕晶庭预览并击倒检验偶与火矢生；完成燃烧／浅水状态教学；可选破晶搜刮学院储能芯","FR-09","破坏开匣／冷却反压／南侧干路；快速操作另按65–75秒验收"
"T15","12:08–12:38","约30秒","奖励决策","从刻印战锤／接触耦合环／余烬格挡中三选一并确认","FR-10","开放医务室与三材承压场精英入口"
"T16","12:38–13:08","约30秒","整备决策","可选锻造、专精、健康确认、治疗和餐食；也可直接挑战精英","FR-11","全部整备可跳过；本时间段仅作选择参考"
"T17","13:08–15:41～16:41","约2分33秒～3分33秒","精英决策＋战斗","查看三材承压场、楔角锁线和当前构筑；确认风险并击倒楔角","FR-12","地形破坏／穿刺突进／诱导卸压三条路线；120–180秒目标待实测校准"
"T18","15:41～16:41 至 16:26～17:26","约45秒","结果＋奖励＋购物决策","精英战果；被动术式三选一并领取固定装备、法宝和金币6；商店开放并首次进入；购买可选","FR-13","失败时直接进入F61且商店不开放；整包奖励写入前不能开放商店"
"T19","16:26～17:26 至 16:36～17:36","约10秒","固定","离开商店；写入教程完成标记与继承快照；按首轮种子生成后续随机常规节点并进入学院地图","FR-14","典型首次玩家约17分钟；理解与操作均较快玩家约10分钟；两种口径不冲突；随机地图生成与接续不计入教程目标时长"
