"状态ID","状态名称","类别","目标","直接效果","持续时间","叠加与移除","口径"
"status_burning","燃烧","负面","单位","自身回合结束时受到来源指定的火焰伤害。","来源指定","重复施加只刷新持续时间；进入浅水移除。","现有"
"status_slow","迟缓","负面","单位","每次移动最大步数固定为3格。","来源指定","重复施加刷新持续时间；到期或净化移除。","现有"
"status_bound","束缚","控制","单位","不能主动移动。","来源指定","重复施加刷新持续时间；到期或净化移除。","现有"
"status_break_stance","破势","负面","单位","立即清空护盾；不能获得护盾。","至目标下一次自身回合结束","重复施加刷新持续时间；到期移除。","现有"
"status_fireground_boost","火势","增益","单位","己方来源火场伤害+N。","来源指定","重复施加刷新持续时间；强度不叠加。","现有"
"status_fireground_vulnerable","助燃","负面","单位","承受火场伤害+N。","来源指定","重复施加刷新持续时间；强度不叠加。","现有"
"status_strength","力量","增益","单位","造成的所有物理伤害+N。","本场","同名状态数值相加；战斗结束移除。","草案"
"status_spell_power","法强","增益","单位","造成的所有奥术、火焰、以太伤害+N。","本场","同名状态数值相加；战斗结束移除。","草案"
"status_agility","敏捷","增益","单位","每次移动最大步数+N。","本场","同名状态数值相加；战斗结束移除。","草案"
"status_tenacity","韧性","增益","单位","每次获得或给予护盾时，护盾量+N。","本场","同名状态数值相加；战斗结束移除。","草案"
"status_control","控制","增益","单位","施加的束缚、迟缓、标记持续时间+N回合。","本场","同名状态数值相加；战斗结束移除。","草案"
