技能ID,单位ID,单位名称,技能名,类型,花费,冷却,次数,射程,针对,效果词条,效果要点,反应触发,反应结果,版本
SK-BOSS-01,core_overseer,塔之守卫,往前走一步,固定意图,0,—,3,自身,本单位,霸体|放行,前3回合固定执行：向前移动1格并放行一道门槛的机关；期间不会被打倒、推离或阻挡,无,无,1
SK-BOSS-02,core_overseer,塔之守卫,放行·护障维护,被动,0,—,1,全场,场地,临时重掩体|结构护盾,第1回合自动放行：维护链开始为核心供盾，核心回合开始获得2点护盾；在机关正交相邻合法空格生成最多2面耐久12的临时重掩体,无,无,2
SK-BOSS-03,core_overseer,塔之守卫,放行·显影巡查,被动,0,—,1,直线5格,场地,光带|暗段|破势,第2回合自动放行：亮起朝玩家角色方向、直线5格的光带；光带上单位护盾被清除，被阻挡攻击线的物块遮断处形成暗段,无,无,1
SK-BOSS-04,core_overseer,塔之守卫,放行·冲压隔离,被动,0,—,1,直线4格,场地,场地伤害,第3回合自动放行：公开朝玩家角色方向、直线4格的冲压线；核心回合结束时线上单位受到6点以太伤害，被遮断处截断,无,无,1
SK-BOSS-05,core_overseer,塔之守卫,拆架重锤,主动,0,2回合,无限,相邻1格,单个单位,破势,已实装（enemy_sunder_maul）：8 点物理伤害并施加破势（肉鸽下即清盾禁盾）；冷却 2 回合；相邻 1 格,无,无,1
SK-BOSS-06,core_overseer,塔之守卫,塔压,主动,0,1回合,无限,直线基础4格,直线上的单位,以太伤害,本单位回合选择此意图时沿核心到主角的正交直线结算，长度＝4＋已放行机关数（上限6格）；每个命中单位受到5＋已放行机关数点以太伤害（阶段一上限8，阶段二受法强+2后上限10）；物块截断,无,无,2
SK-BOSS-07,core_overseer,塔之守卫,引链,主动,0,—,3,全场,一组机关,—,将最近一组已放行机关拉至核心正交相邻格；承伤转移如纳入后续内容，必须占用核心一次行动，每场最多3次,无,无,2
SK-BOSS-08,core_overseer,塔之守卫,并链,被动,0,—,无限,全场,全场机关,—,已实装（两半）：阶段二核心每次出手时存活已放行机关同时结算一次；换装当回合全部攻击冷却 −1（最低 1 回合）,无,无,1
SK-CORE-01,elite_vanguard,划线教官,划线,主动,0,1回合,无限,直线3格,地面,—,公开标出下一处临时重掩体的位置与形状；划线对双方公开,无,无,2
SK-CORE-02,elite_vanguard,划线教官,夯墙,主动,0,2回合,无限,划线位置,地面,临时重掩体|结构护盾,沿划线位置生成临时重掩体（耐久12、阻挡移动与攻击线）；划线教官站于墙旁时回合开始额外获得4护盾,无,无,2
SK-CORE-03,elite_vanguard,划线教官,拆架,主动,0,2回合,无限,相邻1格,一段墙,破势,拆除一段墙；站于其上或贴墙的单位护盾清空并被施加破势；拆除本身不造成伤害,无,无,1
SK-CORE-04,elite_vanguard,划线教官,守位,被动,0,—,无限,自身,本单位,结构护盾,站于本单位所筑墙旁时回合开始额外获得4护盾,无,无,1
SK-CORE-05,elite_vanguard,划线教官,应对·拆除玩家角色所倚结构,条件应对,0,—,每回合1次,相邻1格,自筑墙原格,重掩体|破势,无,玩家角色在其所筑墙旁获得过护盾，或拆除了其中一段墙,下回合优先处理该段结构：仍完好则拆除并清盾施加破势；被玩家拆毁且原格空置则重筑24耐久加厚墙；两者均占用一次行动,1
SK-CORE-06,wind_librarian,小铃,换风,主动,0,每回合1次,3,全场,全场,风|散页,改变全场风向与风级并公开；风级按已用次数从1递增到3，每场最多3次；风只搬动散页、碎晶、烟尘，不改变攻击线；场上有火场时优先把火吹向玩家角色一侧,无,无,1
SK-CORE-07,wind_librarian,小铃,扬页,主动,消耗3格散页,—,无限,直线3格,区域,攻击线|散页,消耗3格散页立起3格页幕；页幕持续到自身下一回合开始，截断穿过该格的攻击线；散页不足3格或直线不成立时不发动,无,无,1
