"敌人","敌人分类","意图名字","意图效果描述","被动","状态"
"替身偶","训练构造物","贴压","近战造成2点伤害，清空目标护盾并施加破势。","无","破势：清空护盾，至目标下一次自身回合结束前无法获得护盾。"
"补盾助教","普通支援","贴墙续盾","为贴着同一堵墙或同一物块且护盾最少的友军提供4护盾。","借墙：一段掩体被拆除时获得4护盾。","护盾；结构护盾。"
"补盾助教","普通支援","应对·优先为受击友军续盾","玩家角色本回合对某友军造成伤害后，下回合优先为该友军续盾。","借墙：一段掩体被拆除时获得4护盾。","护盾；结构护盾。"
"寻迹兽","普通魔法生物","撕咬","近战造成3点伤害并束缚1回合。","搜查：目标藏入灯藤时改赴已知入口搜查；命中摧毁该格灯藤并伤害同格单位。","束缚：禁止主动移动。"
"盾术生","普通学生","铭盾冲撞","造成2点物理伤害并施加敏捷-1持续1回合。","回合整盾：自身回合开始获得2护盾。","敏捷-1：有效步数减少1，最低为0。"
"火矢生","普通学生","火矢","造成5点火焰伤害并施加燃烧4，持续2个目标自身回合。","无","燃烧：目标自身回合结束时按强度受到火焰伤害；重复施加仅刷新持续量，进入浅水移除。"
"侧锋生","普通学生","钩刃牵制","造成3点物理伤害并束缚1回合。","无","束缚：禁止主动移动。"
"划线教官","精英教职","划线","公开标出下一处临时重掩体的位置与形状。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","临时重掩体。"
"划线教官","精英教职","夯墙","沿划线位置生成耐久12、阻挡移动与攻击线的临时重掩体。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","临时重掩体；结构护盾。"
"划线教官","精英教职","拆架","拆除一段墙；站于其上或贴墙的单位护盾清空并被施加破势；拆除本身不造成伤害。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","破势：清空护盾，至目标下一次自身回合结束前无法获得护盾。"
"划线教官","精英教职","应对·拆除玩家角色所倚结构","玩家角色在其所筑墙旁获得过护盾，或拆除了其中一段墙后，下回合优先拆除或在原位重筑并加厚该段结构。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","临时重掩体；结构护盾。"
"拴索助教","普通控制","刻印","在3格内空格刻下持续3回合的约束纹；进入该格的单位该回合留在原地。","无","约束纹。"
"拴索助教","普通控制","石索","造成1点伤害并束缚2回合；施放前公开警告。","无","束缚：禁止主动移动。"
"拴索助教","普通控制","应对·绕行时前移约束纹","玩家角色绕开约束纹后，在新路线的下一格补刻一处。","无","约束纹。"
"提灯巡查","普通支援","转灯","投出直线4格显影光带；光带上单位无法藏身、护盾被清除并受到1点奥术伤害。","无","光带；暗段；护盾清除；藏身无效。"
"提灯巡查","普通支援","应对·藏身时转向显影","玩家角色进入藏身后，下回合优先将显影光带转向玩家角色方向。","无","光带；藏身。"
"背弩生","普通学生","架弩","占一整个回合完成重弩架设；架设回合无法攻击；架设后射程2至5格。","退距：无法命中目标（相邻或无攻击线）时，公开后退1格并重新架设。","攻击线。"
"背弩生","普通学生","重矢","造成5点物理伤害；相邻两格内无法命中。","退距：无法命中目标（相邻或无攻击线）时，公开后退1格并重新架设。","攻击线。"
"背弩生","普通学生","应对·失去攻击线时更换架设点","失去攻击线后，公开选出新架设点，并在下回合重新架设。","退距：无法命中目标（相邻或无攻击线）时，公开后退1格并重新架设。","攻击线。"
"塔之守卫","固定首领","门槛放行","前三个自身回合依序放行护障维护、显影巡查、冲压隔离机关；移动与霸体只属于该首领门槛技能，不构成通用移动意图。","放行·护障维护：核心回合开始获得2护盾，并生成最多2面耐久12临时重掩体；放行·显影巡查：公开直线5格光带，光带上单位护盾被清除，遮挡处形成暗段；放行·冲压隔离：公开直线4格冲压线，核心回合结束时线上单位受到6点以太伤害；并链：阶段二每次出手时，已放行机关同时结算，换装当回合全部攻击冷却减1（最低1回合）。","临时重掩体；光带；暗段；冲压线；霸体。"
"塔之守卫","固定首领","拆架重锤","相邻1格造成8点物理伤害并施加破势；冷却2回合。","放行·护障维护：第1回合放行，核心回合开始获得2护盾，并生成最多2面耐久12临时重掩体；放行·显影巡查：第2回合放行直线5格光带，光带上单位护盾被清除，受物块遮断处形成暗段；放行·冲压隔离：第3回合公开直线4格冲压线，核心回合结束时线上单位受6点以太伤害；并链：阶段二每次出手时，存活已放行机关同时结算一次，换装当回合全部攻击冷却减1（最低1回合）。","破势：清空护盾，至目标下一次自身回合结束前无法获得护盾。"
"塔之守卫","固定首领","引链","把最近一组已放行机关拉至自身正交相邻格；每场3次。","放行·护障维护：第1回合放行，核心回合开始获得2护盾，并生成最多2面耐久12临时重掩体；放行·显影巡查：第2回合放行直线5格光带，光带上单位护盾被清除，受物块遮断处形成暗段；放行·冲压隔离：第3回合公开直线4格冲压线，核心回合结束时线上单位受6点以太伤害；并链：阶段二每次出手时，存活已放行机关同时结算一次，换装当回合全部攻击冷却减1（最低1回合）。","已放行机关。"
"楔角","精英构装体","应对·地形变化时重算路线","路线上的地形或占位变化后，即时公开重算路线、终点与碰撞物；上一轮撞空后，下一轮优先撞击单位。","锁线：意图生成时公开锁定目标格与路线，锁定后不擅自变更目标；干地卸压：在非浅水格结束冲压时清空自身护盾，至下个自身回合结束前无法获得护盾；浅水冷却：在浅水格结束冲压时不进入卸压状态。","移动消耗；浅水；强制位移。"
"老寻","精英兽类","循味","沿气味痕移动时移动力加2，且不受浅水与碎晶额外消耗影响。","留味：玩家角色经过的每格留下持续3回合的气味痕。","气味痕；浅水；碎晶；移动消耗。"
"老寻","精英兽类","扑咬","近战造成3点伤害；目标位于气味痕上时改为6点并束缚1回合。","留味：玩家角色经过的每格留下持续3回合的气味痕。","气味痕；束缚：禁止主动移动。"
"老寻","精英兽类","应对·停留时间延长气味痕","玩家角色在同一格停留超过一个自身回合后，该格气味痕加深；循味至该格可直接扑击。","留味：玩家角色经过的每格留下持续3回合的气味痕。","气味痕。"
"小铃","精英图书管理员（风系）","换风","公开改变全场风向与风级；风级按已用次数由1递增至3，每场最多3次；风只搬动散页、碎晶、烟尘，不改变攻击线；场上有火场时优先把火吹向玩家角色一侧。","无","风；散页；碎晶；烟尘；火场。"
"小铃","精英图书管理员（风系）","扬页","消耗3格散页立起持续至自身下一回合开始的3格页幕；截断穿过该格的攻击线；散页不足3格或直线不成立时不发动。","无","散页；页幕；攻击线。"
"小铃","精英图书管理员（风系）","卷页","消耗离玩家角色最近的1格散页，打出风刃造成4点伤害，射程4。","无","散页。"
"小铃","精英图书管理员（风系）","推风","将3格内一个单位沿主轴推开1格；目标格不合法时不发动。","无","强制位移。"
"小铃","精英图书管理员（风系）","应对·玩家角色生成火场时改换风向","玩家角色本回合生成火场或点燃散页后，下回合改为换风，将着火散页吹向玩家角色所在的一侧。","无","火场；散页；风。"
"试制员","精英工坊试制岗","布放","每自身回合在正交相邻空格布放1件试制件；全场最多4件，先放护罩发生器再放过载装置；双方均可拆除。","无","护罩发生器；过载装置；困难地形。"
"试制员","精英工坊试制岗","引爆","立即引爆与玩家角色正交相邻的一件过载装置；造成8点以太伤害且不分敌我。","无","过载装置。"
"试制员","精英工坊试制岗","应对·装置被拆除时补充布放","玩家角色拆除一件试制件后，下回合优先补放一件，库存减1。","无","护罩发生器；过载装置。"
"试制员","精英工坊试制岗","应对·玩家角色贴近时引爆","玩家角色站在某件试制件相邻时，优先引爆该件。","无","过载装置。"
