"来源","名称","旧效果描述","状态化描述","口径"
"敌人成长意图","重锤蓄势","力量+1","施加状态：力量+1（本场）。","草案"
"敌人成长意图","猎意增长","力量+1；敏捷+1","施加状态：力量+1、敏捷+1（本场）。","草案"
"敌人成长意图","护障蓄能","韧性+1","施加状态：韧性+1（本场）。","草案"
"敌人成长意图","石索蓄能","法强+1；控制+1","施加状态：法强+1、控制+1（本场）。","草案"
"术式","借障导流","本回合下一次移动最大步数+2","施加状态：行进强化+2格（本回合下一次主动移动）。","草案"
"被动术式","动势点火","本回合下次武器命中额外造成4点火焰伤害","施加状态：火焰附着4（本回合下一次武器命中）。","草案"
"术式","炉压蓄势","下一次武器攻击基础伤害+12；行动条+4","施加状态：武器蓄力+12（下次武器命中）；待行动条+4（下次自身回合结束）。","草案"
"术式","火线协同","友方下一次攻击额外造成8点火焰伤害","目标施加状态：火焰附着8（下次武器命中）。","草案"
"法宝","移相线轴","下一次行动延后4刻度","施加状态：待行动条-4（下次自身回合结束）。","草案"
"法宝","行程簿","立即获得2行动点；下一次行动延后8刻度","立即获得2行动点；施加状态：待行动条-8（下次自身回合结束）。","草案"
"装备被动","轻装传令衣","本次移动最大步数+1","施加状态：行进强化+1格（本回合下一次主动移动）。","草案"
"装备被动","接触耦合环","本次魔力成本-1","施加状态：术式调律-1魔力（本回合下一次术式）。","草案"
