"基准ID","类别","参照动作或边界","行动点","个人魔力","冷却","次数","目标与几何","基准结果","偏离时需要的解释","启用","版本"
"BAL-DMG-MELEE-1AP","伤害基准","相邻单体普通攻击","1","0","0","无限","相邻可见敌方单体","造成8点伤害","更高伤害需要额外行动点、个人魔力、冷却、有限次数、位置前置或可执行反制","是","1"
"BAL-DMG-RANGED-1AP","伤害基准","四格远程普通攻击","1","0","0","无限","4格内可见敌方单体；要求攻击线","造成6点伤害","不要求攻击线、扩大射程或多目标都必须降低即时伤害或增加成本与风险","是","1"
"BAL-DMG-HEAVY-2AP","伤害基准","相邻单体重击","2","0","0","无限","相邻可见敌方单体","造成16点伤害","范围化、位移或附加控制不能在同成本下继续保留完整16点单体效率","是","1"
"BAL-SHIELD-1AP","防护基准","主动架盾","1","0","0","无限","自身","获得4点普通护盾","作用友军、范围化或跨回合保留需要个人魔力、冷却、有限次数或条件","是","1"
"BAL-SPELL-COMMON","术式区间","普通术式","1","2–3","按效果","无限或明确次数","单一空间动作或稳定伤害","一个清晰主效果＋至多一个因果相关附带效果","不能只凭普通稀有度突破伤害、范围、资源和控制的多个边界","是","1"
"BAL-AP-GAIN","资源边界","获得行动点","按技能","按技能","按技能","按技能","施放者","单个效果最多获得1行动点；同一来源每个自己回合至多一次","0行动点技能不得无条件产出行动点或通过自减冷却重复提交","是","1"
"BAL-COOLDOWN-REDUCE","资源边界","缩短冷却","按技能","按技能","按技能","按技能","另一项已进入冷却的主动术式","每次最多缩短1自身回合且最低为0","不能选择自身、被动术式或次数归零内容；同一命令只接受一次","是","1"
"BAL-MANA-RECOVER","资源边界","恢复个人魔力","按技能","按技能","按技能","按技能","自身","恢复至当前上限以内","即时恢复不低于实际成本时必须消耗战场对象、支付生命、占用至少1行动点并有冷却，或受每回合／每场次数限制","是","1"
"BAL-DELAY-WINDOW","时点边界","蓄力／法阵／延迟结算","按技能","按技能","按技能","按技能","公开目标、格位或法阵范围","可以获得高于即时技能的范围或复合效果","必须留下至少一个完整敌方行动或一个可执行玩家处理窗口，否则按即时技能定价","是","1"
"BAL-MOVEMENT","空间边界","推离／牵引／换位／自身位移","按技能","按技能","按技能","按技能","声明路径、方向与合法落点","价值只按实际改变的位置和触发的公开局面计算","位移失败不补发隐藏伤害、行动点或个人魔力","是","1"
