"字段名","字段说明","内容要求","格式或示例","是否必填"
"技能ID","敌人技能的稳定主键","前缀 SK-，按所属层级分段：BOSS／CORE／SUP／NOR；同一单位内顺序编号","SK-CORE-03","是"
"单位ID","技能归属单位","必须与 `OCC_学院敌人数据表_v1.0.csv` 的 ID 一致","elite_vanguard","是"
"单位名称","归属单位的显示名","使用正式短名称；改名时本列同步","划线教官","是"
"技能名","玩家可见的技能名","动词开头；2–4 字；不使用设计术语","拆架","是"
"类型","技能的执行方式","主动／被动／条件应对／固定意图；反击统一填写为被动，后置反击与路径截击写入反应触发和反应结果，不作为独立类型","主动","是"
"花费","执行该技能支付的资源","数值加单位；不使用资源写 0；消耗场地材料写明数量","消耗3格散页","是"
"冷却","再次使用前的等待","N回合／每回合N次／—（无冷却）","2回合","是"
"次数","每场可用次数或每次上限","正整数／无限／—（不适用）","每场3次／3／无限","是"
"射程","技能的作用距离或形状","形状加格数；自身写自身；无距离写全场","直线基础4格","是"
"针对","技能的合法目标类型","单个单位／直线上的单位／一个空格／场地／一组机关／自身等；无目标写—","一段墙","是"
"效果词条","本技能引用的词条","多个用 | 分隔；词条必须存在于 `学院敌人技能与意图.md` 词条总表；无写—","破势","是"
"效果要点","技能的结算内容","一段话写清动作、数值与结果；不含数值以外的新规则；只使用 ASCII 逗号之外的标点","造成8点物理伤害并清空目标护盾、施加破势","是"
"反应触发","条件应对或被动反击的触发条件；字段名为兼容现有导表保留","条件应对与具有反击效果的被动行填写；被动反击需注明后置反击或路径截击窗口、玩家角色行为和检查时点；其他行写无","玩家角色在其所筑墙旁获得过护盾","是"
"反应结果","触发后的公开结果；字段名为兼容现有导表保留","条件应对写后续优先级或公开状态；被动反击写当前命令中的伤害、位移、状态和结算窗口，具体数值按单位与遭遇独立配置，不设全局上下限；其他行写无","下回合优先处理该段结构","是"
"版本","规则版本","从1开始的整数","1","是"
