"字段名","字段说明","内容要求","格式或示例","是否必填"
"被动ID","被动定义的稳定主键","全表唯一","PASSIVE-ELITE-01","是"
"名称","状态栏与日志显示名","使用正式短名称","回火导流","是"
"来源","提供该被动的内容类型与ID","写类型:内容ID","装备:ACA-EQ-CH01","是"
"触发","监听的结算窗口","必须是可判定事件","自己回合开始","是"
"条件","触发时额外检查","总是生效写总是","当前个人魔力≤2","是"
"效果","条件满足后执行的有序结果","多步用；分隔","获得2护盾；恢复1个人魔力","是"
"上限与重置","触发次数、作用范围与重置或到期","没有上限写无限；仍须说明到期","每场1次；战斗开始重置","是"
"优先级","同窗口结算顺序","整数；高值先结算，同值按ID","20","是"
"启用","是否注册该被动","是／否","是","是"
"备注","不参与解析的必要补充","没有写无","多目标同一伤害包只触发一次","是"
"版本","规则版本","从1开始的整数","1","是"
