"技能ID","名称","卡面文案"
"F-P-M01","热脉增压","本次行动可多移动2格。你下一次近战武器攻击额外造成8点火焰伤害。"
"F-P-M02","炉压突步","沿直线突进到敌人旁边，不造成伤害。"
"F-P-M03","焦痕跃进","突进时，起点生成持续2回合、每次造成8点伤害的火场。路径旁的单位和物件各受到8点伤害。"
"F-P-M04","热流折步","与目标交换位置。"
"F-P-M05","爆燃追步","标记一名相邻敌人。它第一次主动移动后，若不再与你相邻，你移到它刚离开的格子。"
"F-P-M06","熔势贯击","你的下一次近战命中会对目标施加破势。"
"F-P-M07","炉心穿刺","对燃烧的相邻敌人造成20点武器伤害和8点火焰伤害，并施加破势。你的行动条提前4刻度。"
"F-P-M08","炉压横扫","对扇形内所有单位造成12点武器伤害和4点火焰伤害，包括友军。"
"F-P-M09","热震重击","造成16点武器伤害和8点火焰伤害，并将目标推开1格。你的行动条提前4刻度。"
"F-P-M10","熔隙刺击","目标处于破势时，造成20点武器伤害；否则造成12点。不会消耗破势。"
"F-P-M11","热障架势","架起防势：你首次受到远程伤害前获得8点护盾。相邻攻击不会触发此效果。"
"F-P-M12","余烬格挡","获得12点护盾。首次相邻攻击结算后，再获得4点护盾。"
"F-P-M13","炉心反击","首次受到相邻攻击时反击，造成12点武器伤害和4点火焰伤害。远程攻击不会触发反击。"
"F-P-M14","灼缚解离","解除自身束缚，并对敌人造成8点火焰伤害。"
"F-P-M15","焰压退击","造成8点火焰伤害，并将目标推开1格。若推位撞上物件，你和物件各受到4点伤害；其他无法到达的落点只会取消推位。"
"F-P-M16","燃势收割","对燃烧的敌人造成16点武器伤害和8点火焰伤害，不会移除燃烧。"
"F-P-M17","焦甲吸热","对燃烧的敌人造成12点火焰伤害，移除其燃烧，并获得12点护盾。"
"F-P-M18","火场踏行","沿相连的火场移动3格，不会触发火场伤害。"
"F-P-M19","炉心超限","沿直线冲到目标前一格，造成24点武器伤害和12点火焰伤害。然后你失去8点生命，此损失无视护盾。你的行动条提前8刻度。"
"F-P-M20","终炉断击","对燃烧或处于破势的敌人造成28点武器伤害和12点火焰伤害。移除目标的燃烧。你的行动条提前8刻度。"
"F-P-U01","脱线疾行","沿直线突进最多3格。若起点位于敌人的攻击范围内，且终点离开所有敌人的攻击范围，下回合多获得1点行动点。"
"F-P-U02","烙痕传递","你的下一次武器命中会使目标燃烧1回合；目标回合结束时受到8点火焰伤害。"
"F-P-U03","灼蚀校准","你的下一次武器命中会对目标施加破势：清空其护盾，并使其暂时无法获得护盾。"
"F-P-U04","熔障校准","对目标造成8点伤害，并标记4回合。目标被摧毁时，你恢复2点个人魔力并获得4点护盾。"
"F-P-U05","爆燃弹芯","你的下一次命中额外造成4点火焰伤害。目标上下左右相邻的单位各受到4点火焰伤害，包括友军。"
"F-P-U06","热压续步","你的下一次武器攻击额外造成4点火焰伤害。攻击后，你向远离目标的方向后退1格。"
"F-P-U07","炉温护持","目标获得12点护盾。"
"F-P-U08","余烬护幕","若你正在燃烧，移除燃烧并获得20点护盾；否则获得12点护盾。"
"F-P-U09","温血苏醒","解除你的迟缓，并恢复本次行动的基础移动距离。"
"F-P-U10","热障偏流","架起防势：你首次受到远程伤害前获得8点护盾。近战和环境伤害不会触发此效果。"
"F-P-U11","热源回收","移除一处火场，恢复2点个人魔力。"
"F-P-U12","余热转护","你下一次命中燃烧的敌人后，移除其燃烧并获得12点护盾。"
"F-P-U13","燃势回收","你下一次命中燃烧的敌人后，恢复3点个人魔力；不会移除燃烧。"
"F-P-U14","追火校准","你下一次攻击燃烧的敌人时，额外造成12点火焰伤害。"
"F-P-U15","灰烬复燃","你下一次命中燃烧的敌人时，额外造成4点火焰伤害，并使其燃烧至少持续2回合。"
"F-P-U16","炉压蓄势","你的下一次武器攻击基础伤害提高12点。你的行动条提前4刻度。"
"F-P-U17","焦土警戒","标记一格。首名敌人进入时，该格生成持续2回合、每次造成8点伤害的火场。"
"F-P-U18","炉压震步","沿直线突进最多2格。落点上下左右相邻的单位和物件各受到8点伤害；单位同时被向外推开1格。"
"F-P-U19","火线协同","你攻击燃烧的敌人后，友军下一次攻击额外造成8点火焰伤害。每名友军最多触发一次。"
"F-P-U20","炉心共振","对燃烧或处于破势的敌人额外造成20点火焰伤害；目标同时满足两项时改为28点，并移除燃烧。你的行动条提前8刻度。"
"F-P-R01","火弹","造成12点火焰伤害。"
"F-P-R02","火矢","造成8点火焰伤害。"
"F-P-R03","烙印","使目标燃烧1回合。目标回合结束时受到8点火焰伤害。"
"F-P-R04","火种","使目标燃烧2回合。目标回合结束时受到8点火焰伤害。"
