"地图ID","名称","配置文件","宽","高","总格数","复杂机制","地板主题","目标类型","等级","精英","首领","主角出生","敌人编成","地形数量","永久重物块","动态变化数量","动态变化摘要","空间语法","公开风险","反制窗口","启用","版本"
"calibration_lockdown","精英战斗 04 · 失控校准室封锁","Worldbuilding/地图配置/战斗地图/calibration_lockdown.occ-map.json","7","6","42","是","Ruins","Elimination","3","是","否","0:3","prototype_hand@4:3|rune_arbalist@6:1|stone_snare@6:4","14","4","1","试制员布放临时装置@试制员回合开始","设备间短走廊、冷却沟与双装置区","试制件逐段堵路，背弩射线覆盖主廊。","可先拆试制件、反用过载区，或从外侧短路绕行。","是","2"
"cliff_relay_survey","精英战斗 05 · 断崖导能柱考察","Worldbuilding/地图配置/战斗地图/cliff_relay_survey.occ-map.json","7","6","42","是","Ruins","Elimination","3","是","否","0:4","elder_tracker_hound@4:4|signal_keeper@6:3|barrier_mender@6:1","17","4","0","","断崖坡面、积水带、灯藤暗段与基座","光柱封住中廊，老寻沿痕提速。","走积水清痕，或借重物块与基座留下的暗段换线。","是","2"
"core_approach","精英战斗 03 · 塔前石庭","Worldbuilding/地图配置/战斗地图/core_approach.occ-map.json","6","6","36","否","Courtyard","Elimination","4","是","否","0:4","elite_vanguard@2:3|rune_arbalist@5:1|stone_snare@5:4","9","3","1","划线教官生成临时重掩体@划线教官回合开始","对角封线与中央缺口","背弩与约束控制相反对角，教官惩罚直穿。","外围路线较慢，中心两侧缺口允许在意图公开后换线。","是","2"
"core_finale","Boss战斗 01 · 古塔核心","Worldbuilding/地图配置/战斗地图/core_finale.occ-map.json","8","6","48","是","AetherMarked","Elimination","5","否","是","0:3","core_overseer@4:3","14","4","5","第1回合放行护障维护@阶段〇·第1自身回合|护障维护生成临时重掩体@第1回合机关放行时|第2回合放行显影巡查@阶段〇·第2自身回合|第3回合放行冲压隔离@阶段〇·第3自身回合|阶段二并链@生命不高于30%","中心核心、三道机关与四角塔墙","核心居中，三组机关按阶段逐组放行。","机关耐久与阶段公开，可先拆已放行机关切断对应加成。","是","2"
"depot_wreck","普通战斗 05 · 废弃驿站","Worldbuilding/地图配置/战斗地图/depot_wreck.occ-map.json","6","5","30","否","Ruins","Elimination","1","否","否","2:2","tether_hound@0:0|sigil_mauler@5:4|stone_snare@5:0","10","4","0","","三口收束的小驿站废墟","三股追击从不同方向抵达，中线停留会叠加控制。","上下宽口都能拆开三名敌人的接触节奏。","是","2"
"elite_foundry","精英战斗 02 · 刻阵工坊","Worldbuilding/地图配置/战斗地图/elite_foundry.occ-map.json","6","6","36","否","Ruins","Destruction","3","是","否","2:5","elite_vanguard@2:2|barrier_mender@0:0|sigil_mauler@0:4","8","2","1","划线教官生成临时重掩体@划线教官回合开始","编织狭口与双短路","左路承受破势，右路更快接近目标但会被教官横移拦截。","两路在中部连通，单个敌人无法封死双路。","是","2"
"first_b3_rain_prism_court","普通战斗 03 · 雨痕晶庭","Worldbuilding/地图配置/战斗地图/first_b3_rain_prism_court.occ-map.json","8","5","40","是","Courtyard","Elimination","3","否","否","1:2","sigil_mauler@4:2|pyromancer@5:0","26","16","0","","纵向冷却沟、封门晶簇与南侧干路","火矢生从干地施加燃烧，封门晶簇与永久重物块围出器材匣。","可破晶开匣并爆伤替身偶、退入浅水熄火，或放弃搜刮走北侧普通路线。","是","2"
"first_battle_greenhouse_collection_room","普通战斗 02 · 温室藏品间","Worldbuilding/地图配置/战斗地图/first_battle_greenhouse_collection_room.occ-map.json","7","6","42","是","Courtyard","Elimination","2","否","否","1:3","raider@6:1|sigil_mauler@6:4","26","16","0","","中央藤圈宝箱、东侧双晶簇、南侧普通长路","侧锋与替身偶分守两枚晶簇，藤圈遮断中央攻击线。","可跃进入藤搜刮、等待敌人贴晶后引爆，或沿南侧干路稳健推进。","是","2"
"first_elite_three_material_pressure","精英战斗 01 · 三材承压场","Worldbuilding/地图配置/战斗地图/first_elite_three_material_pressure.occ-map.json","8","6","48","是","Courtyard","Elimination","4","是","否","1:3","breach_ram@6:3","15","4","0","","冷却沟、双灯藤带、中央稳压晶簇与两侧干路","楔角公开锁定冲压线，并会撞击晶簇、单位或灯藤。","可诱导撞晶、藏入灯藤、用浅水缩短冲压，或走南侧干路等待卸压。","是","2"
"gatehouse","普通战斗 08 · 石闸关口","Worldbuilding/地图配置/战斗地图/gatehouse.occ-map.json","6","6","36","否","Courtyard","Elimination","3","否","否","3:3","shieldguard@0:3|sigil_mauler@5:1|rune_arbalist@5:4","21","15","0","","双向门厅与上下门楣","两条门道分别暴露于近战截击与背弩射线。","两路均保持两格宽，可在门厅中央改变方向。","是","2"
