"ID","阶段","进入条件","必须完成","可选操作","唯一正常出口","保存点","首次教学","关卡内容状态","页面状态"
"PRE-00","双品牌印记与本机首次设置","应用启动","看完或跳过品牌段；本机首次启动时应用音量、分辨率和显示模式","非首次启动不显示设置页","未看世界观动画时进入PRE-01；否则进入FR-00","设备设置写入本机","设置作用与恢复入口","不涉及","OC印记→OCC印记→首次设置"
"PRE-01","世界观动画","PRE-00完成且游戏级动画未看","看完或跳过动画","跳过动画","进入FR-00","游戏级已看标记写入成功","可跳过提示","不涉及","动画→以太主界面"
"FR-00","以太主界面与存档位确认","PRE-00／PRE-01完成","选择三个存档位之一并确认准备创建；已有存档时明确覆盖对象","取消返回主界面；可继续有效存档","进入FR-01角色选择且不写入新档","无；原档与当前地图运行保持不变","开始／继续／设置／三人生阶段／覆盖后果","不涉及","主界面→存档位→创建／覆盖确认→角色选择"
"FR-01","角色选择、固定基础配置与学院阶段介绍","FR-00确认目标存档位","选择已开放的维克多；查看身份、简介、核心特性、学生背景、就地接线与借障导流；点击以此角色开始；看完或跳过学院阶段介绍","返回存档位；跳过学院阶段介绍","创建或覆盖存档后进入首轮固定教程地图并取得控制权","点击以此角色开始后才写入角色、首轮固定教程段版本、首轮种子与对应槽位","预设角色／未开放槽／固定配置／学院阶段","不涉及","角色档案→以此角色开始→写档→学院介绍→地图接管"
"FR-02","首轮固定教程地图与战斗1预览","FR-01完成","选择唯一可达的战斗1；查看摘要并确认出发","暂不出发并返回地图","创建战斗1状态后进入FR-03","确认节点时保存位置；确认出发时保存战斗入口快照","节点状态／摘要／任务／敌人／地形／奖励类型","战斗1已冻结","地图→节点摘要→出发确认→提交中"
"FR-03","战斗1","战斗1状态创建成功","完成学院实地对抗课程或生命归零","暂停／返回标题／主动放弃","胜利进入FR-04；失败进入F61","每个完整命令结算后保存","B1-01至B1-09","战斗1已冻结；时长待按65–75秒合同复核","战斗→结束演出或F61"
"FR-04","战斗1战果与第一组固定三选一","战斗1胜利","确认战果；从焦痕跃进／熔障爆点／炉温护持中选择一项并确认","查看详情／比较／处理背包","奖励与解锁原子保存后返回地图","战损／节点完成／奖励选择／解锁结果同事务保存","B1-10／B1-11","奖励内容已冻结；在战斗2分别验证突进搜刮／破坏引爆／稳健承伤","结束演出→只读战果→三选一→确认→F41或原子保存"
"FR-05","事件1受阻的温室传令／事件2温室勤务签领","FR-04完成","两节点均完成；访问顺序自由；事件1放置轻装传令衣与承力合金并比较换装；事件2装备导位罗盘、领取食材并选择贡献或金币","在未确认前返回地图；事件1可保留传令衣不换装","两事件完成后开放战斗2","每个事件结果独立保存","事件1：背包占格／旋转／装备比较；事件2：法宝／战术栏／次数／资源选择","两事件内容已冻结","地图摘要→独立事件正文→交付／选择→领取与去向→独立保存"
"FR-06","战斗2温室藏品间预览、战斗与战果","FR-05完成","确认出发并完成任务；验证第一组奖励、事件1装备和事件2导位罗盘；搜刮并处理苗床回流芯","暂不挑战／暂停／返回标题／主动放弃；可沿南侧普通路线不碰机制","胜利进入FR-07；失败进入F61","入口快照／逐命令／战果结算分别保存","战斗内搜刮／背包与装备／法宝次数／灯藤绕行／晶簇爆裂／五格碎晶","核心布局与机制已冻结；侧锋J3、替身偶J7已落表并接入固定AI","摘要→确认→战斗→结束演出→只读战果或F61"
"FR-07","第二组固定三选一","战斗2胜利结算","从熔障校准／脱线疾行／炉压震步中选择一项并确认","查看详情／比较／处理背包","奖励写入后返回地图并开放工坊与事件3","奖励与解锁同事务保存","摧毁回流／脱险提速／突进冲击比较","三项同时展示且不按第一组选择自动替换；单位与物件使用同一伤害数字","三选一→比较→确认→F41或原子保存"
