ID,类别,名称,货币,价格,效果,时序,限制
ECO-GOLD-UPGRADE,工坊,普通装备基础强化或校准,金币,4,执行一次合法基础强化或校准,0,按装备强化节点
ECO-GOLD-REROLL-PURPLE,工坊,紫色装备整组重铸,金币,6,重掷全部可变词条,0,同实例每次递增2金币且不能锁词条
ECO-GOLD-REROLL-GOLD,工坊,金色装备整组重铸,金币,9,重掷全部可变词条,0,同实例每次递增2金币且不能锁词条
ECO-GOLD-MEDICAL,商店,普通医疗道具满次数新实例,金币,4,获得一个满次数医疗道具,0,不能补已有实例单次次数
ECO-GOLD-SHIELD,商店,普通护盾道具满次数新实例,金币,3,获得一个满次数护盾道具,0,不能补已有实例单次次数
ECO-GOLD-DETECTOR,商店,个人侦测器3次新实例,金币,5,获得3次侦测器,0,同名实例不合并次数
ECO-GOLD-SCROLL,商店,普通卷轴,金币,5–7,获得1次卷轴,0,使用后销毁
ECO-CONTRIB-CALIBRATE,工坊,学院装备基础校准,学院贡献,1,执行一次合法基础校准,0,当前阶段限定
ECO-CONTRIB-RECOVER,医务室,比例治疗,学院贡献,1,恢复最大生命的50%,0,生命已满时不能使用；与餐食购买互不占用
ECO-SHOP-WEDGE,商店,解构楔满次数新实例,金币,3,获得解构楔满次数新实例,0,SHOP01限购1件
ECO-SHOP-SPINDLE,商店,移相线轴满次数新实例,金币,6,获得移相线轴满次数新实例,0,SHOP01限购1件
ECO-SHOP-GOGGLES,商店,测距护目镜,金币,4,获得测距护目镜,0,SHOP01限购1件
ECO-MEAL-POWER,餐食,强攻炖肉,金币,3,接下来3场战斗武器直接伤害+2,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-AETHER,餐食,导能热饮,学院贡献,1,接下来3场战斗个人魔力上限+2且进入战斗恢复满,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-GUARD,餐食,岩盐浓汤,学院食材,1,接下来3场战斗开始时获得6护盾,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-MOVE,餐食,疾行烤串,金币,3,接下来3场战斗每个自己回合第一次移动的移动力+1,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-SPELL,餐食,节流茶,学院贡献,1,接下来3场战斗第一次施放术式时魔力成本-1且最低0,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-VITAL,餐食,坚韧面包,学院食材,1,接下来3场战斗最大生命+4且战斗开始恢复4生命,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-HUNTER,餐食,猎团香汤,金币,4,接下来3场战斗第一次武器命中额外造成4伤害,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-MEAL-CLEAR,餐食,清醒粥,学院食材,1,接下来3场战斗第一次受到负面状态时持续时间-1回合且最低1回合,0,S01从8种中随机显示3种；同时只能存在一种餐食增益
ECO-W01-FORGE,校准工坊,装备锻造,锻造材料,1,按材料与装备栏位和部件位执行固定强化,0,每件装备在下一套Build最多锻造一次
ECO-W01-SPEC,校准工坊,术式专精,专精材料,1,按术式与材料执行固定专精,0,每个术式在下一套Build只能选择一种专精
ECO-CONTRIB-REVEAL,商店,揭示节点精确信息,学院贡献,1,揭示一个节点的精确信息,0,不提供直接金币兑换
ECO-CONTRIB-MEDICAL,商店,医疗或护盾道具满次数新实例,学院贡献,2,获得对应满次数新实例,0,不能补已有实例
ECO-CONTRIB-SPECIAL,商店,特殊工具或卷轴,学院贡献,3–5,按种子库存获得条目,0,库存有限
ECO-INCOME-FAST,路线目标,快速路线基础收入,混合,31金币+8贡献,6普通战+1精英战,按节点,约12个处理节点
ECO-INCOME-STANDARD,路线目标,标准路线基础收入,混合,45金币+13贡献,9普通战+2精英战,按节点,约20个处理节点
ECO-INCOME-LONG,路线目标,延长路线基础收入,混合,59金币+18贡献,12普通战+3精英战,按节点,时序28前自然结束
