"字段名","字段说明","内容要求","格式或示例","是否必填"
"基准ID","审查基准的稳定主键","全表唯一","BAL-DMG-MELEE-1AP","是"
"类别","基准用途","伤害基准／防护基准／术式区间／资源边界／时点边界／空间边界","伤害基准","是"
"参照动作或边界","用于横向比较的动作或规则","名称必须能在总案或技能表中定位","相邻单体普通攻击","是"
"行动点","参照成本","非负整数、区间或按技能","1","是"
"个人魔力","参照成本","非负整数、区间或按技能","2–3","是"
"冷却","参照冷却","0、N自身回合、按效果或按技能","2自身回合","是"
"次数","每战可用次数","正整数、无限、明确次数或按技能","无限","是"
"目标与几何","参照目标、射程、攻击线、路径或范围","不能只写裸射程","4格内可见敌方单体；要求攻击线","是"
"基准结果","在对应成本下的稳定效果或允许上限","使用正式术语与确定数值","造成8点伤害","是"
"偏离时需要的解释","超过或低于基准时必须提供的代价、条件或反制","不得只写稀有度更高","需要额外行动点或位置前置","是"
"启用","是否作为当前审查基准","是／否","是","是"
"版本","基准版本","从1开始的整数","1","是"
