"字段名","字段说明","内容要求","格式或示例","是否必填"
"单位ID","单位定义的稳定主键","全表唯一；进入存档后不得改义","hero","是"
"名称","界面与日志显示名","使用正式短名称","维克多·维恩","是"
"类别","单位内容分类","使用项目约定分类","普通学生","是"
"阵营","默认敌我归属","玩家／友方／敌对／中立","敌对","是"
"控制","默认决策来源","玩家／AI／脚本","AI","是"
"生命","生命上限","大于0的整数","16","是"
"初始护盾","进入战斗时的护盾","非负整数","0","是"
"回合护盾","每个自己回合开始获得的固定护盾","非负整数；没有写0","4","是"
"魔力","个人魔力上限","非负整数；不使用写0","2","是"
"速度","行动条基础速度","大于0的整数","9","是"
"移动","一次移动的基础步数","非负整数","5","是"
"AP","自己回合开始时的基础行动点","非负整数","3","是"
"占格","单位占用的宽×高格数","正整数×正整数","1×1","是"
"技能ID","单位直接拥有的技能引用","多个ID用|分隔；没有写无","wand|fire_bolt","是"
"被动ID","单位直接拥有的被动引用","多个ID用|分隔；没有写无","ORIGIN-TALENT-01","是"
"AI与反制","AI优先级和玩家可读反制摘要","玩家单位写不适用；敌人不得只写氛围文本","优先火矢；反制：进入浅水","是"
"启用","是否可生成该定义","是／否","是","是"
"版本","规则版本","从1开始的整数","1","是"
